event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-07 20:45:08.398,1974-09-07 20:45:12.208,all,794409.125,1969064.0,-3.455441804615882,0.45253218380140703,Neptune,rv2_coarse,combined
Egress,1974-09-07 21:07:28.505,1974-09-07 21:07:30.430,all,2310793.0,2359022.0,0.0338415645354787,0.0040379063839464545,Neptune,rv2_coarse,combined
Ingress,1974-09-08 00:27:05.267,1974-09-08 00:27:09.077,all,2188684.0,1213070.0,3.5131769891417695,0.08858000578953794,Neptune,rv2_coarse,combined
Egress,1974-09-08 00:49:29.215,1974-09-08 00:49:31.140,all,2535806.0,2375689.0,-0.05338341446997827,0.024377335678035864,Neptune,rv2_coarse,combined
Egress,1974-09-08 04:31:27.933,1974-09-08 04:31:29.858,all,1418036.0,2386117.0,2.5429511268718525,0.6883468460012856,Neptune,rv2_coarse,combined
Ingress,1974-09-08 07:50:58.904,1974-09-08 07:51:02.714,all,1089459.0,2822953.5,-0.5470810621515413,0.5061528681009304,Neptune,rv2_coarse,combined
Egress,1974-09-08 08:13:24.783,1974-09-08 08:13:26.708,all,2456860.0,675060.0,-4.719634755070454,0.1000755602027353,Neptune,rv2_coarse,combined
Egress,1974-09-08 11:55:23.527,1974-09-08 11:55:25.452,all,2265534.0,1346284.0,-0.12071974740780837,0.9401037677166222,Neptune,rv2_coarse,combined
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,all,1040301.90625,1075497.5,-0.06609170591328774,0.3159289495933498,Neptune,rv2_coarse,combined
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,all,1299796.0,2046034.5,-1.740351533085978,0.7126538363434185,Neptune,rv2_coarse,combined
Ingress,1974-09-12 08:00:39.315,1974-09-12 08:00:41.240,all,4158795.0,1293593.0,4.3145147595283255,0.0005014979798825198,Neptune,rv2_coarse,combined
Ingress,1974-09-12 11:42:32.338,1974-09-12 11:42:38.073,all,2635572.0,9031006.0,-5.364563962364652,0.016947464368051345,Neptune,rv2_coarse,combined
Ingress,1974-09-12 15:24:29.281,1974-09-12 15:24:33.091,all,13860444.0,2825599.0,0.13030147373521,0.006393529441317111,Neptune,rv2_coarse,combined
