event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-07 20:45:08.398,1974-09-07 20:45:12.208,1,468185.84375,492282.8125,-1.7094326522249128,0.11757093513698492,Neptune,rv2_coarse,per_band
Ingress,1974-09-07 20:45:08.398,1974-09-07 20:45:12.208,2,,2993686.0,,,Neptune,rv2_coarse,per_band
Ingress,1974-09-07 20:45:08.398,1974-09-07 20:45:12.208,3,,2471753.0,,,Neptune,rv2_coarse,per_band
Ingress,1974-09-07 20:45:08.398,1974-09-07 20:45:12.208,4,2100762.0,2100762.0,0.0,0.8903953652543616,Neptune,rv2_coarse,per_band
Ingress,1974-09-07 20:45:08.398,1974-09-07 20:45:12.208,5,5793369.0,5793369.0,0.0,0.9820608862198261,Neptune,rv2_coarse,per_band
Ingress,1974-09-07 20:45:08.398,1974-09-07 20:45:12.208,6,805926.375,869656.625,-0.84496595939227,0.5745606922656799,Neptune,rv2_coarse,per_band
Ingress,1974-09-07 20:45:08.398,1974-09-07 20:45:12.208,7,620760.65625,652336.625,-0.4400331539504622,0.17436965306374225,Neptune,rv2_coarse,per_band
Ingress,1974-09-07 20:45:08.398,1974-09-07 20:45:12.208,8,665008.1875,748251.625,-0.8754361704880355,0.8842381996618787,Neptune,rv2_coarse,per_band
Ingress,1974-09-07 20:45:08.398,1974-09-07 20:45:12.208,9,734142.375,618989.53125,0.4758270150000638,0.56153960384833,Neptune,rv2_coarse,per_band
Egress,1974-09-07 21:07:28.505,1974-09-07 21:07:30.430,1,750557.1875,27300656.0,3.24880785547414,0.0006854756843838728,Neptune,rv2_coarse,per_band
Egress,1974-09-07 21:07:28.505,1974-09-07 21:07:30.430,2,3608555.0,3339051.0,-1.8758688696312853,0.25468970327932916,Neptune,rv2_coarse,per_band
Egress,1974-09-07 21:07:28.505,1974-09-07 21:07:30.430,3,2562238.0,2398073.0,-2.675309893064828,0.0530197794892474,Neptune,rv2_coarse,per_band
Egress,1974-09-07 21:07:28.505,1974-09-07 21:07:30.430,4,2215178.5,1982822.0,-7.388530066842029,1.7291940931634224e-05,Neptune,rv2_coarse,per_band
Egress,1974-09-07 21:07:28.505,1974-09-07 21:07:30.430,5,6291828.0,6764769.0,2.15660993247137,0.028046645234484236,Neptune,rv2_coarse,per_band
Egress,1974-09-07 21:07:28.505,1974-09-07 21:07:30.430,6,1608385.0,2003573.0,1.6746539225859443,0.6538326606121458,Neptune,rv2_coarse,per_band
Egress,1974-09-07 21:07:28.505,1974-09-07 21:07:30.430,7,773396.75,760039.71875,-0.17097448474277896,0.8960581427768737,Neptune,rv2_coarse,per_band
Egress,1974-09-07 21:07:28.505,1974-09-07 21:07:30.430,8,1802524.0,1093861.0,-1.27670183661833,0.13370188683698914,Neptune,rv2_coarse,per_band
Egress,1974-09-07 21:07:28.505,1974-09-07 21:07:30.430,9,1017010.875,754606.875,-0.22914165265691835,0.40196030591712395,Neptune,rv2_coarse,per_band
Ingress,1974-09-08 00:27:05.267,1974-09-08 00:27:09.077,1,1324430.0,743934.3125,3.1708400913754273,0.008660647815988434,Neptune,rv2_coarse,per_band
Ingress,1974-09-08 00:27:05.267,1974-09-08 00:27:09.077,2,4128876.0,3913401.0,1.3990708576443236,0.06655158940994983,Neptune,rv2_coarse,per_band
Ingress,1974-09-08 00:27:05.267,1974-09-08 00:27:09.077,3,3136183.0,3765919.0,-3.516878415878847,0.016799824897246213,Neptune,rv2_coarse,per_band
Ingress,1974-09-08 00:27:05.267,1974-09-08 00:27:09.077,4,2083625.0,2296107.0,-2.667767685511109,0.002916235393316327,Neptune,rv2_coarse,per_band
Ingress,1974-09-08 00:27:05.267,1974-09-08 00:27:09.077,5,6275588.0,6781977.0,-2.7992074164364977,0.16609336702206778,Neptune,rv2_coarse,per_band
Ingress,1974-09-08 00:27:05.267,1974-09-08 00:27:09.077,6,878749.75,826273.0,0.9312677940569378,0.9923908879849136,Neptune,rv2_coarse,per_band
Ingress,1974-09-08 00:27:05.267,1974-09-08 00:27:09.077,7,1262538.0,1083471.0,0.9363834428170734,0.3950256018139524,Neptune,rv2_coarse,per_band
Ingress,1974-09-08 00:27:05.267,1974-09-08 00:27:09.077,8,1017864.75,1300689.0,-0.752011361083903,0.8817140904832486,Neptune,rv2_coarse,per_band
Ingress,1974-09-08 00:27:05.267,1974-09-08 00:27:09.077,9,774824.46875,830396.5,-0.26539198387056345,0.3424692351059566,Neptune,rv2_coarse,per_band
Egress,1974-09-08 00:49:29.215,1974-09-08 00:49:31.140,1,996152.78125,341439744.0,2.8221417383371086,0.011724063730801605,Neptune,rv2_coarse,per_band
