frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,1035,3.2643871038603236,0.10146855567691414,Sag-A,rv2_coarse,per_band
1,Ingress,1016,-1.6377471950215123,-0.051380699243249194,Sag-A,rv2_coarse,per_band
2,Egress,1055,-27.325146282020352,-0.8412716730073346,Sag-A,rv2_coarse,per_band
2,Ingress,1017,-5.803955189525626,-0.18199672553166776,Sag-A,rv2_coarse,per_band
3,Egress,1041,-46.005191511718806,-1.4258750775647535,Sag-A,rv2_coarse,per_band
3,Ingress,1007,-31.012490355929,-0.9772865165998628,Sag-A,rv2_coarse,per_band
4,Egress,1051,-55.61676850136094,-1.715554002702441,Sag-A,rv2_coarse,per_band
4,Ingress,1013,-24.631413900793483,-0.7738995950192633,Sag-A,rv2_coarse,per_band
5,Egress,1065,-16.233926041417277,-0.49744922568014005,Sag-A,rv2_coarse,per_band
5,Ingress,1032,-29.315606843295015,-0.9125549811357049,Sag-A,rv2_coarse,per_band
6,Egress,1066,-1.6426243265017313,-0.05031061751296537,Sag-A,rv2_coarse,per_band
6,Ingress,1026,-2.9789946159774314,-0.09300280300342398,Sag-A,rv2_coarse,per_band
7,Egress,1064,-1.0524089006783515,-0.03226366491150117,Sag-A,rv2_coarse,per_band
7,Ingress,1020,1.0952070395950988,0.0342922625980953,Sag-A,rv2_coarse,per_band
8,Egress,1064,4.4374577021520585,0.13603899422449936,Sag-A,rv2_coarse,per_band
8,Ingress,1018,-1.8878025713832511,-0.05916742709297714,Sag-A,rv2_coarse,per_band
9,Egress,1068,0.1848548574586494,0.005656466777960097,Sag-A,rv2_coarse,per_band
9,Ingress,1017,-3.64181097085895,-0.11419758596651144,Sag-A,rv2_coarse,per_band
