event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,all,1258815.0,1697819.0,1.5495580942875973,0.42490428658881896,Sag-A,rv2_coarse,combined
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,all,2033848.0,1906337.0,0.4486830055569015,0.24255181271148168,Sag-A,rv2_coarse,combined
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,all,1083530.0,1729291.0,2.2494191368473837,0.002439370035400986,Sag-A,rv2_coarse,combined
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,all,2296107.0,1529654.5,2.487140439690859,0.4616989346731708,Sag-A,rv2_coarse,combined
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,all,1576990.0,1494547.0,-0.2802836150974385,0.29587695882265164,Sag-A,rv2_coarse,combined
Egress,1974-09-08 04:50:20.705,1974-09-08 04:50:22.630,all,2604634.5,1583319.0,-0.08728449623552974,0.31420821651382397,Sag-A,rv2_coarse,combined
Egress,1974-09-08 08:31:35.321,1974-09-08 08:31:37.246,all,1854583.0,817939.6875,-0.061855849168265524,0.14847195307636482,Sag-A,rv2_coarse,combined
Egress,1974-09-08 12:14:16.298,1974-09-08 12:14:18.223,all,1960847.0,1417207.5,-0.4947846215644063,0.34633389895310707,Sag-A,rv2_coarse,combined
Egress,1974-09-08 19:38:10.003,1974-09-08 19:38:11.928,all,1150566.0,1594395.5,1.3958153362219285,0.026986546661439757,Sag-A,rv2_coarse,combined
Egress,1974-09-09 03:02:05.577,1974-09-09 03:02:07.502,all,1253989.0,894577.0,-1.4339369293988802,0.5358054983703265,Sag-A,rv2_coarse,combined
Egress,1974-09-09 17:49:49.032,1974-09-09 17:49:50.957,all,2108146.0,2759386.0,1.090194500178673,0.23494849180670238,Sag-A,rv2_coarse,combined
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,all,1040301.90625,1075497.5,-0.06609170591328774,0.3159289495933498,Sag-A,rv2_coarse,combined
Ingress,1974-09-13 02:33:14.873,1974-09-13 02:33:16.798,all,7845481.0,1221913.0,2.692217567700221,0.37876978098759273,Sag-A,rv2_coarse,combined
Ingress,1974-09-13 06:15:11.560,1974-09-13 06:15:13.485,all,4132522.0,7292804.0,-1.0416414320274805,0.35336307852578275,Sag-A,rv2_coarse,combined
Ingress,1974-09-13 09:57:06.366,1974-09-13 09:57:08.291,all,2334199.0,10151664.0,-1.8782588100712012,0.31519626769675063,Sag-A,rv2_coarse,combined
Ingress,1974-09-13 13:38:59.461,1974-09-13 13:39:03.271,all,6787730.0,12228999.0,-1.1904427971971319,0.000629183616952188,Sag-A,rv2_coarse,combined
Egress,1974-09-14 23:36:12.188,1974-09-14 23:36:15.998,all,3452010.0,1404938.5,-0.6149860754285379,0.06758149042833089,Sag-A,rv2_coarse,combined
Ingress,1974-09-15 02:38:43.709,1974-09-15 02:38:47.518,all,3609886.0,4777004.5,-0.7472776711724852,0.0087786641823293,Sag-A,rv2_coarse,combined
Egress,1974-09-15 03:18:09.105,1974-09-15 03:18:12.915,all,1091525.0,3057305.0,1.484111895909026,0.006164213238822189,Sag-A,rv2_coarse,combined
Ingress,1974-09-15 06:20:38.631,1974-09-15 06:20:40.556,all,2245894.5,13034632.0,-2.5688111641030646,1.758316441285478e-07,Sag-A,rv2_coarse,combined
Egress,1974-09-15 07:00:05.962,1974-09-15 07:00:09.772,all,3063569.0,6151766.0,1.7102911707878863,0.3428860022385327,Sag-A,rv2_coarse,combined
Ingress,1974-09-15 10:02:35.493,1974-09-15 10:02:37.418,all,5321433.0,900424.6875,2.4663739133665796,0.2935228461349448,Sag-A,rv2_coarse,combined
Egress,1974-09-15 10:42:02.830,1974-09-15 10:42:06.640,all,3443941.0,1021907.0625,-1.1106292667044115,0.3185304530016066,Sag-A,rv2_coarse,combined
Ingress,1974-09-15 13:44:32.550,1974-09-15 13:44:34.475,all,1414634.0,8109093.5,-1.4764695399363883,0.7370467072553482,Sag-A,rv2_coarse,combined
Egress,1974-09-15 14:23:59.859,1974-09-15 14:24:03.669,all,1467500.0,5040491.0,2.522363473361135,0.23680246897431562,Sag-A,rv2_coarse,combined
Ingress,1974-09-15 21:08:26.247,1974-09-15 21:08:28.172,all,6529565.5,3349972.0,2.1246227556328376,0.27284609721216224,Sag-A,rv2_coarse,combined
Egress,1974-09-15 21:47:57.311,1974-09-15 21:47:59.236,all,5386605.0,2296107.0,-1.5596092177022205,0.005672283719714701,Sag-A,rv2_coarse,combined
Ingress,1974-09-16 00:49:46.623,1974-09-16 00:49:48.548,all,5072118.0,766776.4375,4.8761960933101784,0.010010553243697994,Sag-A,rv2_coarse,combined
Egress,1974-09-16 01:29:13.954,1974-09-16 01:29:15.879,all,4162176.0,1041159.46875,-2.139655845224764,0.194706618683043,Sag-A,rv2_coarse,combined
Egress,1974-09-16 05:11:53.075,1974-09-16 05:11:55.000,all,2719141.0,4129460.5,0.5220038335570186,0.04889163095675456,Sag-A,rv2_coarse,combined
Ingress,1974-09-16 08:14:15.014,1974-09-16 08:14:16.939,all,20379344.0,1852637.0,0.5842903278748903,0.008034962803593684,Sag-A,rv2_coarse,combined
Egress,1974-09-16 08:53:51.930,1974-09-16 08:53:53.855,all,6867042.0,1527500.0,-4.717497702869134,0.004951241464520672,Sag-A,rv2_coarse,combined
Egress,1974-09-16 12:35:48.857,1974-09-16 12:35:50.782,all,3434741.0,2775844.5,-0.02005765611122173,0.0016815698810222345,Sag-A,rv2_coarse,combined
Ingress,1974-09-16 15:36:56.024,1974-09-16 15:38:16.631,all,16379020.0,25218176.0,-0.9255569294255591,0.73563478346402,Sag-A,rv2_coarse,combined
Egress,1974-09-16 16:17:47.785,1974-09-16 16:17:49.710,all,11391378.0,1346434.0,-1.5322430471238118,0.17518600858810973,Sag-A,rv2_coarse,combined
Egress,1974-09-16 19:59:44.558,1974-09-16 19:59:46.483,all,2245248.0,1114998.0,-1.7119844018811172,0.7046713526914486,Sag-A,rv2_coarse,combined
Ingress,1974-09-16 23:02:02.566,1974-09-16 23:02:04.491,all,564345.625,3286325.0,-2.2707710436890283,0.058679270620402936,Sag-A,rv2_coarse,combined
