frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,757,-2.296079647348257,-0.08345243424052776,Saturn,rv2_coarse,per_band
1,Ingress,1190,0.91058609974739,0.026396572305063398,Saturn,rv2_coarse,per_band
2,Egress,774,-14.542151397758278,-0.5227068378548444,Saturn,rv2_coarse,per_band
2,Ingress,1190,-4.446236083279825,-0.12888994493792147,Saturn,rv2_coarse,per_band
3,Egress,768,-18.06618719546566,-0.6519073775332668,Saturn,rv2_coarse,per_band
3,Ingress,1190,-13.26062851490072,-0.38440641637431894,Saturn,rv2_coarse,per_band
4,Egress,780,-2.458339930265109,-0.08802268947539534,Saturn,rv2_coarse,per_band
4,Ingress,1182,9.512912976363927,0.27669721351334886,Saturn,rv2_coarse,per_band
5,Egress,786,6.664758447981771,0.23772406109573305,Saturn,rv2_coarse,per_band
5,Ingress,1208,5.7457918176617735,0.16531658273269118,Saturn,rv2_coarse,per_band
6,Egress,777,0.467250396238337,0.016762514592865825,Saturn,rv2_coarse,per_band
6,Ingress,1207,5.516309099802179,0.1587796931491987,Saturn,rv2_coarse,per_band
7,Egress,769,1.373074461752752,0.049514331475637795,Saturn,rv2_coarse,per_band
7,Ingress,1197,2.520300793755606,0.07284593148216796,Saturn,rv2_coarse,per_band
8,Egress,759,-6.301042949742552,-0.22871336939911852,Saturn,rv2_coarse,per_band
8,Ingress,1191,0.4324143050158747,0.012529800955797645,Saturn,rv2_coarse,per_band
9,Egress,762,-1.1292853245553756,-0.040909690954399,Saturn,rv2_coarse,per_band
9,Ingress,1192,-3.399298464865912,-0.09845803646220594,Saturn,rv2_coarse,per_band
