event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-07 18:52:51.207,1974-09-07 18:52:53.132,1.925
Egress,1974-09-07 19:39:26.680,1974-09-07 19:39:28.605,1.925
Egress,1974-09-07 23:21:25.499,1974-09-07 23:21:27.424,1.925
Ingress,1974-09-08 02:16:44.927,1974-09-08 02:16:46.852,1.925
Egress,1974-09-08 03:03:22.250,1974-09-08 03:03:24.175,1.925
Egress,1974-09-08 06:45:19.121,1974-09-08 06:45:21.046,1.925
Ingress,1974-09-08 09:40:38.590,1974-09-08 09:40:40.515,1.925
Egress,1974-09-08 10:27:15.927,1974-09-08 10:27:17.852,1.925
Ingress,1974-09-08 13:22:33.499,1974-09-08 13:22:35.424,1.925
Egress,1974-09-08 17:51:09.665,1974-09-08 17:51:11.590,1.925
Ingress,1974-09-08 20:46:27.182,1974-09-08 20:46:29.107,1.925
Egress,1974-09-08 21:33:04.560,1974-09-08 21:33:06.485,1.925
Egress,1974-09-09 16:02:48.627,1974-09-09 16:02:50.552,1.925
Ingress,1974-09-09 18:58:04.369,1974-09-09 18:58:08.179,3.81
Egress,1974-09-09 19:44:45.470,1974-09-09 19:44:47.395,1.925
Ingress,1974-09-10 02:22:11.531,1974-09-10 02:22:13.456,1.925
Egress,1974-09-10 10:32:40.611,1974-09-10 10:32:42.536,1.925
Ingress,1974-09-10 13:27:56.285,1974-09-10 13:27:58.210,1.925
Ingress,1974-09-10 17:09:53.161,1974-09-10 17:09:55.086,1.925
Egress,1974-09-10 17:56:30.520,1974-09-10 17:56:32.445,1.925
Ingress,1974-09-11 00:33:43.034,1974-09-11 00:33:44.959,1.925
Ingress,1974-09-11 04:15:39.879,1974-09-11 04:15:41.804,1.925
Ingress,1974-09-11 07:57:32.907,1974-09-11 07:57:38.642,5.735
Egress,1974-09-11 08:44:15.961,1974-09-11 08:44:17.886,1.925
Ingress,1974-09-11 11:39:29.751,1974-09-11 11:39:33.561,3.81
Ingress,1974-09-11 15:21:26.634,1974-09-11 15:21:30.444,3.81
Ingress,1974-09-11 19:03:23.496,1974-09-11 19:03:27.306,3.81
Ingress,1974-09-12 02:27:17.221,1974-09-12 02:27:21.031,3.81
Ingress,1974-09-12 06:09:14.054,1974-09-12 06:09:17.864,3.81
Egress,1974-09-12 06:55:55.221,1974-09-12 06:55:57.146,1.925
Ingress,1974-09-12 09:51:08.997,1974-09-12 09:51:10.922,1.925
Ingress,1974-09-12 13:33:05.846,1974-09-12 13:33:07.771,1.925
Egress,1974-09-12 14:19:48.990,1974-09-12 14:19:50.915,1.925
Ingress,1974-09-12 20:56:23.100,1974-09-12 20:56:25.025,1.925
Egress,1974-09-12 21:43:42.727,1974-09-12 21:43:44.652,1.925
Ingress,1974-09-13 04:20:53.563,1974-09-13 04:20:55.488,1.925
Ingress,1974-09-13 08:02:50.250,1974-09-13 08:02:52.175,1.925
Ingress,1974-09-13 11:43:32.225,1974-09-13 11:44:52.833,80.608
Ingress,1974-09-13 15:26:43.987,1974-09-13 15:26:45.912,1.925
Egress,1974-09-13 16:13:29.044,1974-09-13 16:13:30.969,1.925
Ingress,1974-09-13 19:08:38.957,1974-09-13 19:08:40.882,1.925
Egress,1974-09-13 19:55:25.943,1974-09-13 19:55:27.868,1.925
Ingress,1974-09-13 22:50:35.827,1974-09-13 22:50:37.752,1.925
Egress,1974-09-13 23:37:22.813,1974-09-13 23:37:24.738,1.925
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1.925
Ingress,1974-09-14 02:32:36.569,1974-09-14 02:32:40.379,3.81
Egress,1974-09-14 03:19:25.480,1974-09-14 03:19:27.405,1.925
Ingress,1974-09-14 06:14:33.448,1974-09-14 06:14:37.258,3.81
Egress,1974-09-14 07:01:22.363,1974-09-14 07:01:24.288,1.925
Ingress,1974-09-14 09:56:30.340,1974-09-14 09:56:34.150,3.81
Egress,1974-09-14 10:43:09.633,1974-09-14 10:43:11.558,1.925
Ingress,1974-09-14 13:38:27.226,1974-09-14 13:38:31.036,3.81
Egress,1974-09-14 14:25:16.145,1974-09-14 14:25:18.070,1.925
Ingress,1974-09-14 17:20:24.173,1974-09-14 17:20:27.983,3.81
Egress,1974-09-14 18:07:13.091,1974-09-14 18:07:15.016,1.925
Ingress,1974-09-14 21:02:21.003,1974-09-14 21:02:24.813,3.81
Egress,1974-09-14 21:49:09.917,1974-09-14 21:49:11.842,1.925
Ingress,1974-09-15 00:44:17.889,1974-09-15 00:44:23.624,5.735
Egress,1974-09-15 01:30:18.800,1974-09-15 01:30:20.725,1.925
Ingress,1974-09-15 04:26:14.791,1974-09-15 04:26:18.601,3.81
Egress,1974-09-15 05:13:03.695,1974-09-15 05:13:05.620,1.925
Ingress,1974-09-15 08:08:09.738,1974-09-15 08:08:11.663,1.925
Egress,1974-09-15 08:55:00.578,1974-09-15 08:55:02.503,1.925
Ingress,1974-09-15 11:50:06.617,1974-09-15 11:50:08.542,1.925
Egress,1974-09-15 12:36:57.464,1974-09-15 12:36:59.389,1.925
Ingress,1974-09-15 15:32:03.598,1974-09-15 15:32:05.523,1.925
Ingress,1974-09-15 22:55:55.364,1974-09-15 22:55:57.289,1.925
Ingress,1974-09-16 02:37:52.301,1974-09-16 02:37:54.226,1.925
Ingress,1974-09-16 06:19:47.267,1974-09-16 06:19:49.192,1.925
Ingress,1974-09-16 10:01:34.611,1974-09-16 10:01:38.421,3.81
Ingress,1974-09-16 13:43:41.103,1974-09-16 13:43:43.028,1.925
Ingress,1974-09-16 17:25:36.154,1974-09-16 17:25:38.079,1.925
Ingress,1974-09-16 21:07:32.927,1974-09-16 21:07:34.852,1.925
Ingress,1974-09-17 00:48:45.678,1974-09-17 00:48:47.603,1.925
Ingress,1974-09-17 04:31:24.807,1974-09-17 04:31:26.732,1.925
Ingress,1974-09-17 08:13:21.724,1974-09-17 08:13:23.649,1.925
Ingress,1974-09-17 11:55:18.631,1974-09-17 11:55:20.556,1.925
Ingress,1974-09-17 15:37:15.530,1974-09-17 15:37:17.455,1.925
Ingress,1974-09-17 19:19:10.535,1974-09-17 19:19:12.460,1.925
Ingress,1974-09-17 23:01:07.445,1974-09-17 23:01:09.370,1.925
Ingress,1974-09-18 02:43:04.250,1974-09-18 02:43:06.175,1.925
Ingress,1974-09-18 06:25:01.231,1974-09-18 06:25:03.156,1.925
Ingress,1974-09-18 10:06:54.359,1974-09-18 10:06:58.169,3.81
Ingress,1974-09-18 13:48:51.271,1974-09-18 13:48:55.081,3.81
Ingress,1974-09-18 17:30:48.210,1974-09-18 17:30:52.019,3.809
Ingress,1974-09-18 21:12:45.121,1974-09-18 21:12:48.931,3.81
Ingress,1974-09-19 00:54:42.079,1974-09-19 00:54:45.889,3.81
Ingress,1974-09-19 04:36:38.961,1974-09-19 04:36:44.696,5.735
Ingress,1974-09-19 08:18:35.910,1974-09-19 08:18:39.720,3.81
Ingress,1974-09-19 12:00:32.843,1974-09-19 12:00:36.652,3.809
Ingress,1974-09-19 15:42:33.548,1974-09-19 15:42:35.473,1.925
Ingress,1974-09-19 19:24:30.564,1974-09-19 19:24:32.489,1.925
Ingress,1974-09-20 06:30:21.611,1974-09-20 06:30:23.536,1.925
Ingress,1974-09-20 10:12:20.098,1974-09-20 10:12:22.023,1.925
Ingress,1974-09-20 13:53:59.872,1974-09-20 13:54:01.797,1.925
Ingress,1974-09-20 21:18:11.019,1974-09-20 21:18:12.944,1.925
Ingress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,1.925
Ingress,1974-09-25 15:58:31.266,1974-09-25 15:58:35.076,3.81
Ingress,1974-09-25 19:40:28.230,1974-09-25 19:40:32.040,3.81
Ingress,1974-09-25 23:22:25.271,1974-09-25 23:22:29.081,3.81
Ingress,1974-09-26 03:04:12.541,1974-09-26 03:04:14.466,1.925
Ingress,1974-09-26 06:46:09.590,1974-09-26 06:46:11.515,1.925
Ingress,1974-09-26 10:28:04.639,1974-09-26 10:28:06.564,1.925
Ingress,1974-09-26 14:10:01.541,1974-09-26 14:10:03.466,1.925
Ingress,1974-09-26 17:51:58.591,1974-09-26 17:52:00.516,1.925
Ingress,1974-09-26 21:33:51.817,1974-09-26 21:33:55.627,3.81
Ingress,1974-09-27 01:15:48.746,1974-09-27 01:15:54.481,5.735
Ingress,1974-09-27 08:39:40.866,1974-09-27 08:39:42.791,1.925
Ingress,1974-09-27 12:21:37.833,1974-09-27 12:21:39.758,1.925
Ingress,1974-09-27 16:03:32.896,1974-09-27 16:03:34.821,1.925
Ingress,1974-09-27 19:45:27.925,1974-09-27 19:45:31.775,3.85
Ingress,1974-09-27 23:27:25.188,1974-09-27 23:27:27.113,1.925
Ingress,1974-09-28 03:09:21.736,1974-09-28 03:09:23.661,1.925
Ingress,1974-09-28 06:51:17.044,1974-09-28 06:51:18.969,1.925
Egress,1974-09-28 11:20:25.993,1974-09-28 11:20:27.918,1.925
Ingress,1974-09-28 14:15:09.070,1974-09-28 14:15:10.995,1.925
Egress,1974-09-28 15:02:22.988,1974-09-28 15:02:24.913,1.925
Ingress,1974-09-28 17:57:05.974,1974-09-28 17:57:07.899,1.925
Egress,1974-09-28 18:44:19.914,1974-09-28 18:44:21.839,1.925
Ingress,1974-09-28 21:38:45.797,1974-09-28 21:38:47.722,1.925
Ingress,1974-09-29 01:21:00.073,1974-09-29 01:21:01.998,1.925
Egress,1974-09-29 02:08:12.070,1974-09-29 02:08:13.995,1.925
Ingress,1974-09-29 05:02:55.143,1974-09-29 05:02:57.068,1.925
