event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-07 18:52:51.207,1974-09-07 18:52:53.132,all,1267949.5,1742201.0,-1.2084344015985922,0.0019175817791940784,Saturn,rv2_coarse,combined
Egress,1974-09-07 19:39:26.680,1974-09-07 19:39:28.605,all,1232202.0,1426195.0,0.386343854753114,0.15101102670776753,Saturn,rv2_coarse,combined
Egress,1974-09-07 23:21:25.499,1974-09-07 23:21:27.424,all,5288609.0,1459357.0,-0.08244018210042053,0.04038691267854567,Saturn,rv2_coarse,combined
Ingress,1974-09-08 02:16:44.927,1974-09-08 02:16:46.852,all,1776256.0,3611734.5,-4.577142086962588,0.8460234430077845,Saturn,rv2_coarse,combined
Egress,1974-09-08 03:03:22.250,1974-09-08 03:03:24.175,all,631108.0,1294747.0,2.105749153967851,0.4092615314902739,Saturn,rv2_coarse,combined
Egress,1974-09-08 06:45:19.121,1974-09-08 06:45:21.046,all,487751.75,1390185.0,0.2133106100085786,0.11960710672556955,Saturn,rv2_coarse,combined
Ingress,1974-09-08 09:40:38.590,1974-09-08 09:40:40.515,all,1548156.5,1611449.0,-0.20670484921440957,0.10230581766487762,Saturn,rv2_coarse,combined
Egress,1974-09-08 10:27:15.927,1974-09-08 10:27:17.852,all,1504650.0,1756224.0,0.8794306211062248,0.8482073784843777,Saturn,rv2_coarse,combined
Ingress,1974-09-08 13:22:33.499,1974-09-08 13:22:35.424,all,1475250.0,1017864.75,2.0496072902412634,0.42805325998987587,Saturn,rv2_coarse,combined
Egress,1974-09-08 17:51:09.665,1974-09-08 17:51:11.590,all,1479654.0,2056208.0,1.3810623972328193,0.08475976290957654,Saturn,rv2_coarse,combined
Ingress,1974-09-08 20:46:27.182,1974-09-08 20:46:29.107,all,1573459.0,1882450.0,-0.11546073409259099,0.9573722492472891,Saturn,rv2_coarse,combined
Egress,1974-09-08 21:33:04.560,1974-09-08 21:33:06.485,all,1807247.0,1827281.0,0.06226825529073003,0.9508625092157799,Saturn,rv2_coarse,combined
Egress,1974-09-09 16:02:48.627,1974-09-09 16:02:50.552,all,532164.875,1887106.0,0.8723083696465833,0.10218637483141194,Saturn,rv2_coarse,combined
Ingress,1974-09-09 18:58:04.369,1974-09-09 18:58:08.179,all,1545328.0,2228014.0,-1.904456794263241,0.33738838140925664,Saturn,rv2_coarse,combined
Egress,1974-09-09 19:44:45.470,1974-09-09 19:44:47.395,all,1566015.0,1610664.0,0.14543143403651124,0.17012255821723934,Saturn,rv2_coarse,combined
Ingress,1974-09-10 02:22:11.531,1974-09-10 02:22:13.456,all,1625150.5,2550280.0,-2.332827278209019,0.0061500604555785625,Saturn,rv2_coarse,combined
Egress,1974-09-10 10:32:40.611,1974-09-10 10:32:42.536,all,717798.3125,3712671.0,0.5899861094177599,0.14083993773649395,Saturn,rv2_coarse,combined
Ingress,1974-09-10 13:27:56.285,1974-09-10 13:27:58.210,all,1340308.5,4621153.0,-3.9173871953529575,0.955651335781763,Saturn,rv2_coarse,combined
Ingress,1974-09-10 17:09:53.161,1974-09-10 17:09:55.086,all,3926402.5,3957511.0,-0.044120501310587854,0.4135950196131548,Saturn,rv2_coarse,combined
Egress,1974-09-10 17:56:30.520,1974-09-10 17:56:32.445,all,8799528.0,6855256.0,-0.14005858042056807,0.006058698153876741,Saturn,rv2_coarse,combined
Ingress,1974-09-11 00:33:43.034,1974-09-11 00:33:44.959,all,1471875.5,1614780.0,-0.5337895350317615,0.27286533812203184,Saturn,rv2_coarse,combined
Ingress,1974-09-11 04:15:39.879,1974-09-11 04:15:41.804,all,5055457.0,909111.0,4.546139973596346,3.3916543032292003e-05,Saturn,rv2_coarse,combined
Ingress,1974-09-11 07:57:32.907,1974-09-11 07:57:38.642,all,1068362.0625,611683.34375,0.17039859786818654,0.07619865236381197,Saturn,rv2_coarse,combined
Egress,1974-09-11 08:44:15.961,1974-09-11 08:44:17.886,all,1346750.5,696461.5,-1.9042241781193472,0.1233321114335748,Saturn,rv2_coarse,combined
Ingress,1974-09-11 11:39:29.751,1974-09-11 11:39:33.561,all,1017864.75,1106879.0,-0.07815066959297576,0.07527731624703213,Saturn,rv2_coarse,combined
Ingress,1974-09-11 15:21:26.634,1974-09-11 15:21:30.444,all,620393.71875,1774521.0,-0.3778244512412726,0.3028731304136074,Saturn,rv2_coarse,combined
Ingress,1974-09-11 19:03:23.496,1974-09-11 19:03:27.306,all,485624.375,645068.25,-0.5146331578446526,0.19533366577368486,Saturn,rv2_coarse,combined
Ingress,1974-09-12 02:27:17.221,1974-09-12 02:27:21.031,all,1257303.0,1900614.0,-1.3305007027828935,0.039618315002736076,Saturn,rv2_coarse,combined
Ingress,1974-09-12 06:09:14.054,1974-09-12 06:09:17.864,all,2202264.0,750987.5,3.765508197778378,0.0898702154880123,Saturn,rv2_coarse,combined
Egress,1974-09-12 06:55:55.221,1974-09-12 06:55:57.146,all,814455.6875,2178775.0,2.6817389503838682,9.446501047723614e-05,Saturn,rv2_coarse,combined
Ingress,1974-09-12 09:51:08.997,1974-09-12 09:51:10.922,all,619490.5625,3577469.0,-6.846597214982381,0.001377999064015334,Saturn,rv2_coarse,combined
Ingress,1974-09-12 13:33:05.846,1974-09-12 13:33:07.771,all,2116291.5,2371120.0,-0.07107957417546876,0.053449218703535036,Saturn,rv2_coarse,combined
Egress,1974-09-12 14:19:48.990,1974-09-12 14:19:50.915,all,3349972.0,2765197.0,-0.9529782573073803,0.3542699884606889,Saturn,rv2_coarse,combined
Ingress,1974-09-12 20:56:23.100,1974-09-12 20:56:25.025,all,5973219.0,1608287.0,2.178194492668805,0.08793222267435052,Saturn,rv2_coarse,combined
Egress,1974-09-12 21:43:42.727,1974-09-12 21:43:44.652,all,8398674.0,6790591.0,-1.1291510481075693,0.04752559932071299,Saturn,rv2_coarse,combined
Ingress,1974-09-13 04:20:53.563,1974-09-13 04:20:55.488,all,5458500.5,2291769.0,2.521354043151486,0.3462732066412213,Saturn,rv2_coarse,combined
Ingress,1974-09-13 08:02:50.250,1974-09-13 08:02:52.175,all,4527471.0,2357021.5,0.6716394098049211,0.0009481665940186345,Saturn,rv2_coarse,combined
Ingress,1974-09-13 11:43:32.225,1974-09-13 11:44:52.833,all,12040705.5,7378840.0,1.048554862069183,0.023352413297592634,Saturn,rv2_coarse,combined
Ingress,1974-09-13 15:26:43.987,1974-09-13 15:26:45.912,all,736296.375,1338246.0,-0.011309919742206253,0.6784579970987329,Saturn,rv2_coarse,combined
Egress,1974-09-13 16:13:29.044,1974-09-13 16:13:30.969,all,1557365.5,3995742.0,0.8715757843991206,0.6068630325899161,Saturn,rv2_coarse,combined
Ingress,1974-09-13 19:08:38.957,1974-09-13 19:08:40.882,all,710704.0625,1944532.0,-1.3283711933654092,0.6847422963143359,Saturn,rv2_coarse,combined
Egress,1974-09-13 19:55:25.943,1974-09-13 19:55:27.868,all,896344.8125,3957553.0,1.204022885365867,0.11572859523636396,Saturn,rv2_coarse,combined
Ingress,1974-09-13 22:50:35.827,1974-09-13 22:50:37.752,all,1645800.0,2999733.0,-1.9186901313925566,0.39035381292832505,Saturn,rv2_coarse,combined
Egress,1974-09-13 23:37:22.813,1974-09-13 23:37:24.738,all,1863851.0,824514.5,-1.261533196711292,0.022690288225913773,Saturn,rv2_coarse,combined
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,all,729351.0,2836490.0,-1.5128384497123266,0.001890590086779001,Saturn,rv2_coarse,combined
Ingress,1974-09-14 02:32:36.569,1974-09-14 02:32:40.379,all,3046902.0,1445900.5,2.561574812083855,0.04704382269389458,Saturn,rv2_coarse,combined
Egress,1974-09-14 03:19:25.480,1974-09-14 03:19:27.405,all,912555.59375,4497652.0,2.8261320389435975,0.009921540992369726,Saturn,rv2_coarse,combined
Ingress,1974-09-14 06:14:33.448,1974-09-14 06:14:37.258,all,995802.375,3159812.5,-6.220451427059374,8.272621883948361e-05,Saturn,rv2_coarse,combined
Egress,1974-09-14 07:01:22.363,1974-09-14 07:01:24.288,all,4761873.0,5013318.0,0.20577735405972777,0.04938771875709323,Saturn,rv2_coarse,combined
Ingress,1974-09-14 09:56:30.340,1974-09-14 09:56:34.150,all,4357576.0,7098428.0,-1.945159933772569,0.17861280975657443,Saturn,rv2_coarse,combined
Egress,1974-09-14 10:43:09.633,1974-09-14 10:43:11.558,all,6635805.5,2016076.0,-1.6148735456975432,0.32251723047383707,Saturn,rv2_coarse,combined
Ingress,1974-09-14 13:38:27.226,1974-09-14 13:38:31.036,all,6933578.5,3235856.0,1.587491500118959,0.22392345563868998,Saturn,rv2_coarse,combined
Egress,1974-09-14 14:25:16.145,1974-09-14 14:25:18.070,all,2167567.28125,6002313.0,2.4263317774066393,0.15792565858688762,Saturn,rv2_coarse,combined
Ingress,1974-09-14 17:20:24.173,1974-09-14 17:20:27.983,all,786234.4375,4321911.0,-0.6146101149285386,0.35858493497998356,Saturn,rv2_coarse,combined
Egress,1974-09-14 18:07:13.091,1974-09-14 18:07:15.016,all,4090837.5,4396469.0,0.1902768571896706,0.002496363015465324,Saturn,rv2_coarse,combined
Ingress,1974-09-14 21:02:21.003,1974-09-14 21:02:24.813,all,6090194.0,4377346.0,1.2291987921492047,0.7843781827272522,Saturn,rv2_coarse,combined
Egress,1974-09-14 21:49:09.917,1974-09-14 21:49:11.842,all,7172497.5,799692.75,-2.069974523336525,0.7483241203113944,Saturn,rv2_coarse,combined
Ingress,1974-09-15 00:44:17.889,1974-09-15 00:44:23.624,all,6282361.0,730356.84375,5.403604731855856,0.004023876500879506,Saturn,rv2_coarse,combined
Egress,1974-09-15 01:30:18.800,1974-09-15 01:30:20.725,all,4156547.0,936492.03125,-1.7672483063763262,0.2763592601778862,Saturn,rv2_coarse,combined
Ingress,1974-09-15 04:26:14.791,1974-09-15 04:26:18.601,all,2529305.0,7098428.0,-3.015824819147178,0.053845933918362184,Saturn,rv2_coarse,combined
Egress,1974-09-15 05:13:03.695,1974-09-15 05:13:05.620,all,4160738.5,6117016.0,1.6278995028744951,0.10041777723067956,Saturn,rv2_coarse,combined
Ingress,1974-09-15 08:08:09.738,1974-09-15 08:08:11.663,all,3169749.0,2526053.0,0.5991439349418429,0.0941008076526329,Saturn,rv2_coarse,combined
Egress,1974-09-15 08:55:00.578,1974-09-15 08:55:02.503,all,6796694.0,718217.375,-4.7923972275443365,0.007779057397025616,Saturn,rv2_coarse,combined
Ingress,1974-09-15 11:50:06.617,1974-09-15 11:50:08.542,all,5879559.0,7835879.0,-0.9522425471491689,0.3856914646195162,Saturn,rv2_coarse,combined
Egress,1974-09-15 12:36:57.464,1974-09-15 12:36:59.389,all,17423664.0,13407585.0,-0.12496265952839208,0.17900675913909345,Saturn,rv2_coarse,combined
Ingress,1974-09-15 15:32:03.598,1974-09-15 15:32:05.523,all,713757.25,3104095.5,-1.2628015328927122,0.8110984897668659,Saturn,rv2_coarse,combined
Ingress,1974-09-15 22:55:55.364,1974-09-15 22:55:57.289,all,1727305.0,1197026.0,0.5686115526736117,0.5168694487120072,Saturn,rv2_coarse,combined
Ingress,1974-09-16 02:37:52.301,1974-09-16 02:37:54.226,all,203901288.0,10232483.0,4.42901349165601,3.2907121380774616e-08,Saturn,rv2_coarse,combined
Ingress,1974-09-16 06:19:47.267,1974-09-16 06:19:49.192,all,2300159.0,3267481.0,-0.6843300691211234,0.3954974247043518,Saturn,rv2_coarse,combined
