event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-07 18:52:51.207,1974-09-07 18:52:53.132,1,1759249.0,4217766.0,-1.026815590026178,0.044928943101346173,Saturn,rv2_coarse,per_band
Ingress,1974-09-07 18:52:51.207,1974-09-07 18:52:53.132,2,2800660.0,3137829.0,-0.31124948270797326,0.1615243713999441,Saturn,rv2_coarse,per_band
Ingress,1974-09-07 18:52:51.207,1974-09-07 18:52:53.132,3,,1769218.0,,,Saturn,rv2_coarse,per_band
Ingress,1974-09-07 18:52:51.207,1974-09-07 18:52:53.132,4,,1402724.0,,,Saturn,rv2_coarse,per_band
Ingress,1974-09-07 18:52:51.207,1974-09-07 18:52:53.132,5,,5098859.5,,,Saturn,rv2_coarse,per_band
Ingress,1974-09-07 18:52:51.207,1974-09-07 18:52:53.132,6,,1713859.0,,,Saturn,rv2_coarse,per_band
Ingress,1974-09-07 18:52:51.207,1974-09-07 18:52:53.132,7,421680.625,421680.625,,,Saturn,rv2_coarse,per_band
Ingress,1974-09-07 18:52:51.207,1974-09-07 18:52:53.132,8,1080482.0,727219.4375,3.2341799269728058,0.13952856062678212,Saturn,rv2_coarse,per_band
Ingress,1974-09-07 18:52:51.207,1974-09-07 18:52:53.132,9,720468.4375,903119.40625,-1.0258476583711875,0.16368640902973344,Saturn,rv2_coarse,per_band
Egress,1974-09-07 19:39:26.680,1974-09-07 19:39:28.605,1,16821248.0,1449764.0,-7.117180015912113,0.0005382472522905054,Saturn,rv2_coarse,per_band
Egress,1974-09-07 19:39:26.680,1974-09-07 19:39:28.605,2,2413383.0,2528967.0,1.5536982119128075,0.2447295297620948,Saturn,rv2_coarse,per_band
Egress,1974-09-07 19:39:26.680,1974-09-07 19:39:28.605,3,1502804.0,1554111.0,0.9385085890976881,0.7364995028100039,Saturn,rv2_coarse,per_band
Egress,1974-09-07 19:39:26.680,1974-09-07 19:39:28.605,4,1326813.0,1342978.0,0.5611172994575669,0.20219531072522873,Saturn,rv2_coarse,per_band
Egress,1974-09-07 19:39:26.680,1974-09-07 19:39:28.605,5,5265851.0,5744887.0,2.260748570122989,0.3196023801957196,Saturn,rv2_coarse,per_band
Egress,1974-09-07 19:39:26.680,1974-09-07 19:39:28.605,6,508061.1875,489394.1875,-1.2659986935145797,0.91004545506435,Saturn,rv2_coarse,per_band
