frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,975,-3.2842605491896455,-0.10518051567132389,Fornax-A,rv2_coarse,per_band
1,Ingress,1206,3.3717981755542694,0.0970929993764723,Fornax-A,rv2_coarse,per_band
2,Egress,981,19.373469512031836,0.6185472778184895,Fornax-A,rv2_coarse,per_band
2,Ingress,1224,23.586574637590207,0.6741773631174839,Fornax-A,rv2_coarse,per_band
3,Egress,969,36.51655592189827,1.1730807861582186,Fornax-A,rv2_coarse,per_band
3,Ingress,1222,47.67527096943321,1.3638216084637567,Fornax-A,rv2_coarse,per_band
4,Egress,975,26.472884367655578,0.8478108199376477,Fornax-A,rv2_coarse,per_band
4,Ingress,1230,48.152124362015364,1.3729758436091077,Fornax-A,rv2_coarse,per_band
5,Egress,995,23.70662502464883,0.7515505379646006,Fornax-A,rv2_coarse,per_band
5,Ingress,1237,24.73258754293169,0.7032094610674873,Fornax-A,rv2_coarse,per_band
6,Egress,990,9.0293506781098,0.2869716025585672,Fornax-A,rv2_coarse,per_band
6,Ingress,1240,0.5300246122606672,0.015051687548782892,Fornax-A,rv2_coarse,per_band
7,Egress,998,1.5242491980076032,0.04824926528796556,Fornax-A,rv2_coarse,per_band
7,Ingress,1235,3.754970607057486,0.10684963993644106,Fornax-A,rv2_coarse,per_band
8,Egress,990,-3.196100064016799,-0.10157872808418202,Fornax-A,rv2_coarse,per_band
8,Ingress,1227,0.6844285037768535,0.019539156281282215,Fornax-A,rv2_coarse,per_band
9,Egress,997,3.225074553649184,0.10213913591691014,Fornax-A,rv2_coarse,per_band
9,Ingress,1234,0.6481556241675501,0.01845107669134009,Fornax-A,rv2_coarse,per_band
all,Egress,1083,1.0594783364270273,0.032194215933511634,Fornax-A,rv2_coarse,combined
all,Ingress,1376,3.3702588520522165,0.09085608960755684,Fornax-A,rv2_coarse,combined
1,Egress,179,20.43102876810649,1.5270867882307144,Cygnus-A,rv2_coarse,per_band
1,Ingress,665,-2.6562188051779767,-0.103003747219822,Cygnus-A,rv2_coarse,per_band
2,Egress,177,-2.696924564593759,-0.20271326368001574,Cygnus-A,rv2_coarse,per_band
2,Ingress,667,5.88553023885322,0.22788864094629044,Cygnus-A,rv2_coarse,per_band
3,Egress,177,5.540577505517345,0.4164553074863934,Cygnus-A,rv2_coarse,per_band
3,Ingress,665,-2.8888382590344763,-0.11202434272827165,Cygnus-A,rv2_coarse,per_band
4,Egress,177,4.757987068724717,0.35763220814957564,Cygnus-A,rv2_coarse,per_band
4,Ingress,671,6.3141931973985805,0.24375672480027488,Cygnus-A,rv2_coarse,per_band
5,Egress,181,-1.7843982987287783,-0.13263328100185032,Cygnus-A,rv2_coarse,per_band
5,Ingress,675,2.002319067564659,0.07706929684413176,Cygnus-A,rv2_coarse,per_band
6,Egress,177,6.009704554501002,0.4517170557861188,Cygnus-A,rv2_coarse,per_band
6,Ingress,675,1.9685215205091444,0.07576842865143507,Cygnus-A,rv2_coarse,per_band
7,Egress,173,4.738336954845018,0.36024908770006353,Cygnus-A,rv2_coarse,per_band
7,Ingress,670,-2.5458467802491005,-0.0983546418067414,Cygnus-A,rv2_coarse,per_band
8,Egress,171,2.5584594128792717,0.19565028126124825,Cygnus-A,rv2_coarse,per_band
8,Ingress,667,-1.8128260639384248,-0.07019290551864303,Cygnus-A,rv2_coarse,per_band
9,Egress,168,5.998262770559957,0.46277601972515003,Cygnus-A,rv2_coarse,per_band
9,Ingress,660,-1.7963444527582089,-0.06992261299113371,Cygnus-A,rv2_coarse,per_band
all,Egress,184,2.3757805469711584,0.17514486562008952,Cygnus-A,rv2_coarse,combined
all,Ingress,691,1.280574172775958,0.04871533740394662,Cygnus-A,rv2_coarse,combined
1,Egress,1035,3.2643871038603236,0.10146855567691414,Sag-A,rv2_coarse,per_band
1,Ingress,1016,-1.6377471950215123,-0.051380699243249194,Sag-A,rv2_coarse,per_band
2,Egress,1055,-27.325146282020352,-0.8412716730073346,Sag-A,rv2_coarse,per_band
2,Ingress,1017,-5.803955189525626,-0.18199672553166776,Sag-A,rv2_coarse,per_band
3,Egress,1041,-46.005191511718806,-1.4258750775647535,Sag-A,rv2_coarse,per_band
3,Ingress,1007,-31.012490355929,-0.9772865165998628,Sag-A,rv2_coarse,per_band
4,Egress,1051,-55.61676850136094,-1.715554002702441,Sag-A,rv2_coarse,per_band
4,Ingress,1013,-24.631413900793483,-0.7738995950192633,Sag-A,rv2_coarse,per_band
5,Egress,1065,-16.233926041417277,-0.49744922568014005,Sag-A,rv2_coarse,per_band
5,Ingress,1032,-29.315606843295015,-0.9125549811357049,Sag-A,rv2_coarse,per_band
6,Egress,1066,-1.6426243265017313,-0.05031061751296537,Sag-A,rv2_coarse,per_band
6,Ingress,1026,-2.9789946159774314,-0.09300280300342398,Sag-A,rv2_coarse,per_band
7,Egress,1064,-1.0524089006783515,-0.03226366491150117,Sag-A,rv2_coarse,per_band
7,Ingress,1020,1.0952070395950988,0.0342922625980953,Sag-A,rv2_coarse,per_band
8,Egress,1064,4.4374577021520585,0.13603899422449936,Sag-A,rv2_coarse,per_band
8,Ingress,1018,-1.8878025713832511,-0.05916742709297714,Sag-A,rv2_coarse,per_band
9,Egress,1068,0.1848548574586494,0.005656466777960097,Sag-A,rv2_coarse,per_band
9,Ingress,1017,-3.64181097085895,-0.11419758596651144,Sag-A,rv2_coarse,per_band
all,Egress,1180,0.5174202931387409,0.015062687083071397,Sag-A,rv2_coarse,combined
all,Ingress,1109,-5.052473918279715,-0.15171841857409035,Sag-A,rv2_coarse,combined
1,Egress,555,1.5445011831573274,0.06556042402083505,Mercury,rv2_coarse,per_band
1,Ingress,798,0.7265352608530791,0.025719069440997312,Mercury,rv2_coarse,per_band
2,Egress,561,-4.716521059413794,-0.19913167520791858,Mercury,rv2_coarse,per_band
2,Ingress,807,-3.0071058666539323,-0.10585513992436578,Mercury,rv2_coarse,per_band
3,Egress,553,-18.680540987061676,-0.7943774065007987,Mercury,rv2_coarse,per_band
3,Ingress,797,-16.668687238064994,-0.5904351947908572,Mercury,rv2_coarse,per_band
4,Egress,555,-21.25456069904692,-0.9022058558463081,Mercury,rv2_coarse,per_band
4,Ingress,798,-8.14657868046841,-0.28838575920389525,Mercury,rv2_coarse,per_band
5,Egress,571,-6.787163944314481,-0.28403397100482186,Mercury,rv2_coarse,per_band
5,Ingress,804,-4.137203999648433,-0.145907935153234,Mercury,rv2_coarse,per_band
6,Egress,572,4.120631819484956,0.17229227176126377,Mercury,rv2_coarse,per_band
6,Ingress,811,-2.5889844684160694,-0.09091154070803283,Mercury,rv2_coarse,per_band
7,Egress,573,4.530745248044636,0.18927459807809624,Mercury,rv2_coarse,per_band
7,Ingress,811,2.682889838244242,0.09420900423320402,Mercury,rv2_coarse,per_band
8,Egress,571,-3.552370834557977,-0.14866209257644886,Mercury,rv2_coarse,per_band
8,Ingress,813,-9.607632132188137,-0.3369543700014039,Mercury,rv2_coarse,per_band
9,Egress,561,-2.984895144137851,-0.12602237176187375,Mercury,rv2_coarse,per_band
9,Ingress,806,-3.5461618900574177,-0.12490822512087879,Mercury,rv2_coarse,per_band
all,Egress,631,-0.17191162483440775,-0.006843693726666578,Mercury,rv2_coarse,combined
all,Ingress,868,-1.4448600417736708,-0.0490417453643366,Mercury,rv2_coarse,combined
1,Egress,499,4.2456569735421334,0.19006170887460355,Venus,rv2_coarse,per_band
1,Ingress,870,-5.292997827848384,-0.1794494325904107,Venus,rv2_coarse,per_band
2,Egress,502,1.9168910753385584,0.08555503569570674,Venus,rv2_coarse,per_band
2,Ingress,871,-0.6439519401094399,-0.021819479104540265,Venus,rv2_coarse,per_band
3,Egress,497,-11.364798256711149,-0.5097808725912033,Venus,rv2_coarse,per_band
3,Ingress,866,-9.743068792625957,-0.3310829551753904,Venus,rv2_coarse,per_band
4,Egress,511,-6.3140759785590514,-0.27931827640925266,Venus,rv2_coarse,per_band
4,Ingress,873,-4.783617459880846,-0.16190092144520804,Venus,rv2_coarse,per_band
5,Egress,507,7.038455528341996,0.3125887841513431,Venus,rv2_coarse,per_band
5,Ingress,885,-1.7224170241477428,-0.0578984148868625,Venus,rv2_coarse,per_band
6,Egress,505,-3.083076026120971,-0.13719508248874238,Venus,rv2_coarse,per_band
6,Ingress,885,3.5908755364899188,0.12070596069593008,Venus,rv2_coarse,per_band
7,Egress,510,-5.233614076297107,-0.2317483265570447,Venus,rv2_coarse,per_band
7,Ingress,881,0.96261992076069,0.03243148915855118,Venus,rv2_coarse,per_band
8,Egress,503,2.149650152824282,0.09584816292998319,Venus,rv2_coarse,per_band
8,Ingress,871,0.08093162710513582,0.0027422635705031694,Venus,rv2_coarse,per_band
9,Egress,501,-1.194544926944875,-0.053368331502537565,Venus,rv2_coarse,per_band
9,Ingress,872,-7.555830868280087,-0.2558727198238651,Venus,rv2_coarse,per_band
all,Egress,554,0.9903325696000701,0.04207519910591829,Venus,rv2_coarse,combined
all,Ingress,927,-0.23092002739957393,-0.007584408797043366,Venus,rv2_coarse,combined
1,Egress,484,8.77840048606911,0.3990182039122323,Mars,rv2_coarse,per_band
1,Ingress,732,-2.6781131406107272,-0.09898590997812022,Mars,rv2_coarse,per_band
2,Egress,494,-8.377722799765898,-0.3769315687356915,Mars,rv2_coarse,per_band
2,Ingress,730,-15.473191572678791,-0.5726885134923276,Mars,rv2_coarse,per_band
3,Egress,483,-21.116314926070057,-0.9608255982985111,Mars,rv2_coarse,per_band
3,Ingress,734,-15.07670246847549,-0.5564912426667301,Mars,rv2_coarse,per_band
4,Egress,498,-27.139289332736226,-1.2161406346079053,Mars,rv2_coarse,per_band
4,Ingress,743,-6.008918182250969,-0.2204458278492299,Mars,rv2_coarse,per_band
5,Egress,504,-6.121584729413745,-0.2726770562092083,Mars,rv2_coarse,per_band
5,Ingress,752,-11.934302662685631,-0.43519923910648495,Mars,rv2_coarse,per_band
6,Egress,503,-0.547836642772436,-0.024426828582538973,Mars,rv2_coarse,per_band
6,Ingress,749,4.884613744188832,0.17847990178265183,Mars,rv2_coarse,per_band
7,Egress,503,-6.1485131663068096,-0.27414865203393624,Mars,rv2_coarse,per_band
7,Ingress,743,0.9782112324450936,0.03588708955710782,Mars,rv2_coarse,per_band
8,Egress,488,-0.06050834679105218,-0.0027390841592636705,Mars,rv2_coarse,per_band
8,Ingress,733,-6.340366567880907,-0.23418678257714756,Mars,rv2_coarse,per_band
9,Egress,495,-0.5462718395976767,-0.024553093274953055,Mars,rv2_coarse,per_band
9,Ingress,734,-5.2218769767522035,-0.19274299628328873,Mars,rv2_coarse,per_band
all,Egress,554,-2.3452706494918623,-0.09964100198631842,Mars,rv2_coarse,combined
all,Ingress,788,-1.2593614899912056,-0.04486289551512589,Mars,rv2_coarse,combined
1,Egress,298,2.42203672467561,0.14030482031257568,Jupiter,rv2_coarse,per_band
1,Ingress,519,-18.12321799721162,-0.7955209761266665,Jupiter,rv2_coarse,per_band
2,Egress,305,-0.7191596824735808,-0.04117896362900626,Jupiter,rv2_coarse,per_band
2,Ingress,516,-8.461516323188977,-0.37249748578203973,Jupiter,rv2_coarse,per_band
3,Egress,303,5.795362645974513,0.33293488495250684,Jupiter,rv2_coarse,per_band
3,Ingress,514,-2.0293876320639384,-0.08951245116066277,Jupiter,rv2_coarse,per_band
4,Egress,308,-3.7630304976504374,-0.2144185623737211,Jupiter,rv2_coarse,per_band
4,Ingress,521,2.0469057809496323,0.08967657044151318,Jupiter,rv2_coarse,per_band
5,Egress,310,-1.4437082883437817,-0.08199712075654247,Jupiter,rv2_coarse,per_band
5,Ingress,532,-1.5210566960096978,-0.06594617126607139,Jupiter,rv2_coarse,per_band
6,Egress,308,-3.170160077305322,-0.18063663493952245,Jupiter,rv2_coarse,per_band
6,Ingress,529,-0.09996265179923948,-0.004346202252140847,Jupiter,rv2_coarse,per_band
7,Egress,307,-0.653156658315004,-0.037277619465750485,Jupiter,rv2_coarse,per_band
