frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,202,15.587061046464664,1.0967017881853711,Uranus,rv2_coarse,per_band
1,Ingress,643,1.8255740518348786,0.07199361275812637,Uranus,rv2_coarse,per_band
2,Egress,205,9.21800745385483,0.6438135672402004,Uranus,rv2_coarse,per_band
2,Ingress,645,-2.749270302946092,-0.10825241246330745,Uranus,rv2_coarse,per_band
3,Egress,209,12.144326480882167,0.8400406280737981,Uranus,rv2_coarse,per_band
3,Ingress,647,-0.876673378828141,-0.03446558692134804,Uranus,rv2_coarse,per_band
4,Egress,212,9.56450276031394,0.6568927465227579,Uranus,rv2_coarse,per_band
4,Ingress,656,10.608088273042096,0.4141762630118476,Uranus,rv2_coarse,per_band
5,Egress,214,12.46107656733121,0.8518216577004414,Uranus,rv2_coarse,per_band
5,Ingress,663,8.459753735632843,0.3285496104964918,Uranus,rv2_coarse,per_band
6,Egress,216,3.4079138154536883,0.23187916486785817,Uranus,rv2_coarse,per_band
6,Ingress,664,3.4870731105248525,0.1353246813955141,Uranus,rv2_coarse,per_band
7,Egress,210,-0.9275300906244344,-0.06400565707936148,Uranus,rv2_coarse,per_band
7,Ingress,658,-0.654726264212125,-0.02552388716837899,Uranus,rv2_coarse,per_band
8,Egress,211,4.138702109159769,0.2849200033098467,Uranus,rv2_coarse,per_band
8,Ingress,654,-3.7679985027130996,-0.14734040096333706,Uranus,rv2_coarse,per_band
9,Egress,204,2.5659600839890464,0.17965314010103506,Uranus,rv2_coarse,per_band
9,Ingress,642,-4.66973131954623,-0.18429959439288404,Uranus,rv2_coarse,per_band
