event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1.925
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,1.925
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1.925
Ingress,1974-09-14 23:59:54.873,1974-09-14 23:59:56.798,1.925
Egress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,1.925
Egress,1974-09-29 23:59:57.978,1974-09-29 23:59:59.903,1.925
Ingress,1974-10-06 00:00:03.133,1974-10-06 00:00:05.058,1.925
Ingress,1974-10-10 00:00:00.606,1974-10-10 00:00:02.531,1.925
Ingress,1974-10-18 23:59:48.451,1974-10-18 23:59:50.376,1.925
Egress,1974-10-18 23:59:54.226,1974-10-18 23:59:56.151,1.925
Ingress,1974-10-24 23:59:56.611,1974-10-24 23:59:58.536,1.925
Egress,1974-10-25 00:00:02.386,1974-10-25 00:00:04.311,1.925
Ingress,1974-11-03 23:58:37.660,1974-11-03 23:58:39.585,1.925
Ingress,1974-11-04 00:00:09.818,1974-11-04 00:00:11.436,1.6179999999999999
Ingress,1974-11-04 00:00:25.177,1974-11-04 00:00:26.795,1.6179999999999999
Ingress,1974-11-04 00:00:40.537,1974-11-04 00:00:42.155,1.6179999999999999
Ingress,1974-11-04 00:00:55.589,1974-11-04 00:00:57.514,1.925
Ingress,1974-11-04 00:01:11.256,1974-11-04 00:01:12.874,1.6179999999999999
Ingress,1974-11-04 00:01:26.616,1974-11-04 00:01:28.234,1.6179999999999999
Ingress,1974-11-04 00:01:41.668,1974-11-04 00:01:43.593,1.925
Ingress,1974-11-04 00:01:57.335,1974-11-04 00:01:58.953,1.6179999999999999
Ingress,1974-11-04 00:02:28.054,1974-11-04 00:02:29.672,1.6179999999999999
Ingress,1974-11-04 00:02:43.414,1974-11-04 00:02:45.031,1.617
Ingress,1974-11-04 00:02:58.773,1974-11-04 00:03:00.391,1.6179999999999999
Ingress,1974-11-04 00:03:13.825,1974-11-04 00:03:15.750,1.925
Ingress,1974-11-04 00:03:29.185,1974-11-04 00:03:31.110,1.925
Ingress,1974-11-04 00:03:44.852,1974-11-04 00:03:46.469,1.617
Ingress,1974-11-04 00:04:00.211,1974-11-04 00:04:01.829,1.6179999999999999
Ingress,1974-11-04 00:04:15.571,1974-11-04 00:04:17.189,1.6179999999999999
Ingress,1974-11-04 00:04:46.290,1974-11-04 00:04:47.908,1.6179999999999999
Ingress,1974-11-04 00:05:01.650,1974-11-04 00:05:03.267,1.617
Ingress,1974-11-04 00:05:17.009,1974-11-04 00:05:18.627,1.6179999999999999
Ingress,1974-11-04 00:05:32.369,1974-11-04 00:05:33.986,1.617
Ingress,1974-11-04 00:05:47.421,1974-11-04 00:05:49.346,1.925
Ingress,1974-11-04 00:06:03.088,1974-11-04 00:06:04.705,1.617
Ingress,1974-11-04 00:06:18.448,1974-11-04 00:06:20.065,1.617
Ingress,1974-11-04 00:06:33.807,1974-11-04 00:06:35.424,1.617
Ingress,1974-11-04 00:06:58.484,1974-11-04 00:07:02.293,3.809
Ingress,1974-11-04 00:07:04.526,1974-11-04 00:07:06.143,1.617
Ingress,1974-11-04 00:07:19.886,1974-11-04 00:07:21.503,1.617
Ingress,1974-11-04 00:07:35.246,1974-11-04 00:07:36.863,1.617
Ingress,1974-11-04 00:07:50.605,1974-11-04 00:07:52.222,1.617
Ingress,1974-11-04 00:08:05.965,1974-11-04 00:08:07.582,1.617
Ingress,1974-11-04 00:08:21.324,1974-11-04 00:08:22.941,1.617
Ingress,1974-11-04 00:08:36.684,1974-11-04 00:08:38.301,1.617
Ingress,1974-11-04 00:08:52.043,1974-11-04 00:08:53.660,1.617
Ingress,1974-11-04 00:09:16.720,1974-11-04 00:09:20.529,3.809
Ingress,1974-11-04 00:09:22.763,1974-11-04 00:09:24.688,1.925
Ingress,1974-11-04 00:09:38.122,1974-11-04 00:09:39.739,1.617
Ingress,1974-11-04 00:09:53.482,1974-11-04 00:09:55.098,1.616
Ingress,1974-11-04 00:10:08.533,1974-11-04 00:10:10.458,1.925
Ingress,1974-11-04 00:10:24.201,1974-11-04 00:10:25.817,1.616
Ingress,1974-11-04 00:10:39.560,1974-11-04 00:10:41.177,1.617
Ingress,1974-11-04 00:10:54.920,1974-11-04 00:10:56.537,1.617
Ingress,1974-11-04 00:11:10.280,1974-11-04 00:11:11.896,1.616
Ingress,1974-11-04 00:11:34.956,1974-11-04 00:11:38.765,3.809
Ingress,1974-11-04 00:11:40.999,1974-11-04 00:11:42.615,1.616
Ingress,1974-11-04 00:11:56.358,1974-11-04 00:11:57.975,1.617
Ingress,1974-11-04 00:12:11.718,1974-11-04 00:12:13.334,1.616
Ingress,1974-11-04 00:12:26.769,1974-11-04 00:12:28.694,1.925
Ingress,1974-11-04 00:12:36.703,1974-11-04 00:12:40.203,3.5
Ingress,1974-11-04 00:12:42.437,1974-11-04 00:12:44.053,1.616
Ingress,1974-11-04 00:12:57.797,1974-11-04 00:12:59.413,1.616
Ingress,1974-11-04 00:13:13.156,1974-11-04 00:13:14.772,1.616
Ingress,1974-11-04 00:13:28.516,1974-11-04 00:13:30.132,1.616
Ingress,1974-11-04 00:13:53.191,1974-11-04 00:13:57.001,3.81
Ingress,1974-11-04 00:13:59.235,1974-11-04 00:14:00.851,1.616
Ingress,1974-11-04 00:14:14.595,1974-11-04 00:14:16.211,1.616
Ingress,1974-11-04 00:14:29.954,1974-11-04 00:14:31.570,1.616
Ingress,1974-11-04 00:14:45.314,1974-11-04 00:14:46.930,1.616
Ingress,1974-11-04 00:15:00.673,1974-11-04 00:15:02.289,1.616
Ingress,1974-11-04 00:15:16.033,1974-11-04 00:15:17.649,1.616
Ingress,1974-11-04 00:15:31.393,1974-11-04 00:15:33.008,1.615
Ingress,1974-11-04 00:15:46.752,1974-11-04 00:15:48.368,1.616
Ingress,1974-11-04 00:16:11.427,1974-11-04 00:16:15.237,3.81
Ingress,1974-11-04 00:16:17.471,1974-11-04 00:16:19.087,1.616
Ingress,1974-11-04 00:16:32.831,1974-11-04 00:16:34.446,1.615
Ingress,1974-11-04 00:16:48.190,1974-11-04 00:16:49.806,1.616
Ingress,1974-11-04 00:17:03.241,1974-11-04 00:17:05.166,1.925
Ingress,1974-11-10 23:59:51.755,1974-11-10 23:59:53.680,1.925
Egress,1974-11-11 23:59:58.368,1974-11-12 00:00:00.293,1.925
Ingress,1974-11-13 00:00:01.092,1974-11-13 00:00:03.017,1.925
Egress,1974-11-13 00:00:04.942,1974-11-13 00:00:06.867,1.925
Egress,1974-11-15 23:59:59.279,1974-11-16 00:00:01.204,1.925
Ingress,1974-11-16 23:59:48.297,1974-11-16 23:59:50.222,1.925
Egress,1974-11-16 23:59:52.147,1974-11-16 23:59:54.072,1.925
Egress,1974-11-18 00:00:08.074,1974-11-18 00:00:09.999,1.925
Ingress,1974-11-21 23:59:03.849,1974-11-21 23:59:05.774,1.925
Ingress,1974-11-22 00:00:29.940,1974-11-22 00:00:33.750,3.81
Egress,1974-11-22 00:00:33.750,1974-11-22 00:00:35.675,1.925
Ingress,1974-11-22 00:00:35.675,1974-11-22 00:00:37.600,1.925
Ingress,1974-11-22 00:01:02.916,1974-11-22 00:01:04.469,1.553
Ingress,1974-11-22 00:01:18.276,1974-11-22 00:01:19.829,1.553
Ingress,1974-11-22 00:01:21.754,1974-11-22 00:01:23.679,1.925
Ingress,1974-11-22 00:01:33.635,1974-11-22 00:01:35.188,1.553
Ingress,1974-11-22 00:01:48.995,1974-11-22 00:01:50.548,1.553
Ingress,1974-11-22 00:02:04.354,1974-11-22 00:02:05.908,1.554
Ingress,1974-11-22 00:02:19.714,1974-11-22 00:02:21.267,1.553
Ingress,1974-11-22 00:02:35.074,1974-11-22 00:02:36.627,1.553
Ingress,1974-11-22 00:02:50.433,1974-11-22 00:02:51.986,1.553
Ingress,1974-11-22 00:03:05.793,1974-11-22 00:03:07.346,1.553
Ingress,1974-11-22 00:03:21.152,1974-11-22 00:03:22.706,1.554
Ingress,1974-11-22 00:03:36.512,1974-11-22 00:03:38.065,1.553
Ingress,1974-11-22 00:03:39.990,1974-11-22 00:03:41.915,1.925
Ingress,1974-11-22 00:03:51.872,1974-11-22 00:03:53.425,1.553
Ingress,1974-11-22 00:04:07.231,1974-11-22 00:04:08.785,1.554
Ingress,1974-11-22 00:04:22.591,1974-11-22 00:04:24.144,1.553
Ingress,1974-11-22 00:04:37.950,1974-11-22 00:04:39.504,1.554
Ingress,1974-11-22 00:04:53.310,1974-11-22 00:04:54.863,1.553
Ingress,1974-11-22 00:05:08.670,1974-11-22 00:05:10.223,1.553
Ingress,1974-11-22 00:05:39.389,1974-11-22 00:05:40.942,1.553
Ingress,1974-11-22 00:05:43.198,1974-11-22 00:05:44.792,1.5939999999999999
Ingress,1974-11-22 00:05:54.748,1974-11-22 00:05:56.302,1.554
Ingress,1974-11-22 00:05:58.227,1974-11-22 00:06:00.152,1.925
Ingress,1974-11-22 00:06:10.108,1974-11-22 00:06:11.661,1.553
Ingress,1974-11-22 00:06:13.918,1974-11-22 00:06:15.511,1.593
Ingress,1974-11-22 00:06:25.468,1974-11-22 00:06:27.021,1.553
Ingress,1974-11-22 00:06:29.277,1974-11-22 00:06:30.871,1.5939999999999999
Ingress,1974-11-22 00:06:40.827,1974-11-22 00:06:42.381,1.554
Ingress,1974-11-22 00:06:44.637,1974-11-22 00:06:46.231,1.5939999999999999
