event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,all,1040301.90625,1075497.5,-0.06609170591328774,0.3159289495933498,Uranus,rv2_coarse,combined
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,all,1299796.0,2046034.5,-1.740351533085978,0.7126538363434185,Uranus,rv2_coarse,combined
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,all,729351.0,2836490.0,-1.5128384497123266,0.001890590086779001,Uranus,rv2_coarse,combined
Ingress,1974-09-14 23:59:54.873,1974-09-14 23:59:56.798,all,3582225.0,4609712.5,-0.5457544628042075,0.07909106444187666,Uranus,rv2_coarse,combined
Egress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,all,539858.0,700653.875,0.5178328364102106,0.06916333299369684,Uranus,rv2_coarse,combined
Egress,1974-09-29 23:59:57.978,1974-09-29 23:59:59.903,all,810595.9375,2196668.0,5.316950168181868,0.21121718983223137,Uranus,rv2_coarse,combined
Ingress,1974-10-06 00:00:03.133,1974-10-06 00:00:05.058,all,1552757.0,1335201.3125,0.6859695360473501,0.7238393302711215,Uranus,rv2_coarse,combined
Ingress,1974-10-10 00:00:00.606,1974-10-10 00:00:02.531,all,1692151.0,561563.1875,2.057439619868502,0.3314665896574671,Uranus,rv2_coarse,combined
Ingress,1974-10-18 23:59:48.451,1974-10-18 23:59:50.376,all,2059470.0,1753191.0,0.9144019633126298,0.4259750907652833,Uranus,rv2_coarse,combined
Egress,1974-10-18 23:59:54.226,1974-10-18 23:59:56.151,all,2097131.5,1753191.0,-1.0384677514497553,0.9407589959203702,Uranus,rv2_coarse,combined
Ingress,1974-10-24 23:59:56.611,1974-10-24 23:59:58.536,all,1792935.0,959144.71875,0.0509344808508773,0.2772758793787158,Uranus,rv2_coarse,combined
Egress,1974-10-25 00:00:02.386,1974-10-25 00:00:04.311,all,1856205.5,900424.6875,-0.058387657144280895,0.278878336986195,Uranus,rv2_coarse,combined
Ingress,1974-11-03 23:58:37.660,1974-11-03 23:58:39.585,all,2324962.5,1522093.0,2.975908947950299,0.1458726412423376,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:00:09.818,1974-11-04 00:00:11.436,all,1599958.0,1573230.0,0.09956732325873291,0.5170458380265179,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:00:25.177,1974-11-04 00:00:26.795,all,2095577.5,1660673.5,1.6922680333127804,0.3494702807995058,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:00:40.537,1974-11-04 00:00:42.155,all,2164512.5,1728304.0,1.6822906521464296,0.3016244330936531,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:00:55.589,1974-11-04 00:00:57.514,all,2124735.5,1674992.0,1.8167884760205046,0.19616037487932125,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:01:11.256,1974-11-04 00:01:12.874,all,2124735.5,1674992.0,1.8712284526064291,0.09838031907898777,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:01:26.616,1974-11-04 00:01:28.234,all,1900614.0,1646355.0,1.1141642541736512,0.8179730558256374,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:01:41.668,1974-11-04 00:01:43.593,all,1522093.0,1674992.0,-0.7047926210337797,0.5001369349398217,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:01:57.335,1974-11-04 00:01:58.953,all,1541836.0,1674992.0,-0.6263290647890188,0.8445148035171288,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:02:28.054,1974-11-04 00:02:29.672,all,1674992.0,1623312.0,0.24390790408518134,0.7960310462164494,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:02:43.414,1974-11-04 00:02:45.031,all,1674992.0,1674992.0,0.0,0.7072429840648169,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:02:58.773,1974-11-04 00:03:00.391,all,1623312.0,1700717.5,-0.38740027122094145,0.8229038996830482,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:03:13.825,1974-11-04 00:03:15.750,all,1573230.0,1623312.0,-0.2536411902912085,0.6123809478853156,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:03:29.185,1974-11-04 00:03:31.110,all,1701648.0,1573230.0,0.6568331334741451,0.5784318961801644,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:03:44.852,1974-11-04 00:03:46.469,all,1728304.0,1573230.0,0.75928094876932,0.6908521039461244,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:04:00.211,1974-11-04 00:04:01.829,all,1674992.0,1586168.0,0.41009422522435623,0.1393505567084022,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:04:15.571,1974-11-04 00:04:17.189,all,1634833.5,1623312.0,0.053155985482514156,0.13750138614727284,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:04:46.290,1974-11-04 00:04:47.908,all,1688963.0,1542527.0,0.7290640582150628,0.47381513002689124,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:05:01.650,1974-11-04 00:05:03.267,all,1611209.0,1573230.0,0.1815245892905399,0.17465413819451145,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:05:17.009,1974-11-04 00:05:18.627,all,1634833.5,1453053.5,0.945905424918755,0.49810215114740497,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:05:32.369,1974-11-04 00:05:33.986,all,1634833.5,1432288.0,1.0636450988553552,0.8099779247423112,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:05:47.421,1974-11-04 00:05:49.346,all,1674992.0,1336058.0,1.7854095680725146,0.9997571767024322,Uranus,rv2_coarse,combined
Ingress,1974-11-04 00:06:03.088,1974-11-04 00:06:04.705,all,1674992.0,1315184.0,1.8576147032194645,0.5631554629622164,Uranus,rv2_coarse,combined
