event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1,1204234.0,4592589.0,-9.153337348407403,9.982276290491907e-05,Uranus,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,2,4199409.5,5882969.0,,,Uranus,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,3,,1482844.0,,,Uranus,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,4,2000244.0,1318889.0,,,Uranus,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,5,9440902.0,4657390.0,12.56487001787383,2.945931492613772e-06,Uranus,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,6,654269.375,513250.625,6.151484391337748,0.004292597172054795,Uranus,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,7,1186987.0,484904.5,6.594372550543361,0.0006022369897078615,Uranus,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,8,722998.4375,839656.375,-1.298806816046046,0.0997763250049416,Uranus,rv2_coarse,per_band
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,9,347186.0625,615456.125,-6.4855676022874915,0.0006186104740489178,Uranus,rv2_coarse,per_band
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,1,4924991.5,434469.5625,9.622858332830846,3.467589427162699e-08,Uranus,rv2_coarse,per_band
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,2,4564595.0,5837054.0,-3.4215944946053725,0.1587701186520079,Uranus,rv2_coarse,per_band
