frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,499,4.2456569735421334,0.19006170887460355,Venus,rv2_coarse,per_band
1,Ingress,870,-5.292997827848384,-0.1794494325904107,Venus,rv2_coarse,per_band
2,Egress,502,1.9168910753385584,0.08555503569570674,Venus,rv2_coarse,per_band
2,Ingress,871,-0.6439519401094399,-0.021819479104540265,Venus,rv2_coarse,per_band
3,Egress,497,-11.364798256711149,-0.5097808725912033,Venus,rv2_coarse,per_band
3,Ingress,866,-9.743068792625957,-0.3310829551753904,Venus,rv2_coarse,per_band
4,Egress,511,-6.3140759785590514,-0.27931827640925266,Venus,rv2_coarse,per_band
4,Ingress,873,-4.783617459880846,-0.16190092144520804,Venus,rv2_coarse,per_band
5,Egress,507,7.038455528341996,0.3125887841513431,Venus,rv2_coarse,per_band
5,Ingress,885,-1.7224170241477428,-0.0578984148868625,Venus,rv2_coarse,per_band
6,Egress,505,-3.083076026120971,-0.13719508248874238,Venus,rv2_coarse,per_band
6,Ingress,885,3.5908755364899188,0.12070596069593008,Venus,rv2_coarse,per_band
7,Egress,510,-5.233614076297107,-0.2317483265570447,Venus,rv2_coarse,per_band
7,Ingress,881,0.96261992076069,0.03243148915855118,Venus,rv2_coarse,per_band
8,Egress,503,2.149650152824282,0.09584816292998319,Venus,rv2_coarse,per_band
8,Ingress,871,0.08093162710513582,0.0027422635705031694,Venus,rv2_coarse,per_band
9,Egress,501,-1.194544926944875,-0.053368331502537565,Venus,rv2_coarse,per_band
9,Ingress,872,-7.555830868280087,-0.2558727198238651,Venus,rv2_coarse,per_band
