event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-07 19:03:19.031,1974-09-07 19:03:20.956,1.925
Egress,1974-09-07 19:47:55.476,1974-09-07 19:47:57.401,1.925
Egress,1974-09-07 23:29:52.367,1974-09-07 23:29:54.292,1.925
Ingress,1974-09-08 02:27:39.584,1974-09-08 02:27:43.394,3.81
Egress,1974-09-08 03:11:51.047,1974-09-08 03:11:52.972,1.925
Egress,1974-09-08 06:53:01.837,1974-09-08 06:53:03.762,1.925
Egress,1974-09-08 10:35:46.648,1974-09-08 10:35:48.573,1.925
Egress,1974-09-08 17:59:42.309,1974-09-08 17:59:44.234,1.925
Ingress,1974-09-08 20:58:06.067,1974-09-08 20:58:07.992,1.925
Egress,1974-09-08 21:41:39.130,1974-09-08 21:41:41.055,1.925
Egress,1974-09-09 01:23:37.867,1974-09-09 01:23:41.677,3.81
Egress,1974-09-09 16:11:25.126,1974-09-09 16:11:28.936,3.81
Ingress,1974-09-09 19:10:35.075,1974-09-09 19:10:37.000,1.925
Egress,1974-09-09 19:53:21.970,1974-09-09 19:53:25.779,3.809
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1.925
Egress,1974-09-10 10:41:40.128,1974-09-10 10:41:43.938,3.81
Ingress,1974-09-10 13:41:14.994,1974-09-10 13:41:16.919,1.925
Egress,1974-09-10 14:23:37.043,1974-09-10 14:23:40.852,3.809
Egress,1974-09-10 18:05:33.886,1974-09-10 18:05:37.696,3.81
Ingress,1974-09-10 21:05:26.008,1974-09-10 21:05:27.933,1.925
Ingress,1974-09-11 00:47:32.457,1974-09-11 00:47:34.382,1.925
Ingress,1974-09-11 04:29:37.003,1974-09-11 04:29:38.928,1.925
Ingress,1974-09-11 08:11:41.505,1974-09-11 08:11:43.430,1.925
Egress,1974-09-11 08:53:21.254,1974-09-11 08:53:25.064,3.81
Ingress,1974-09-11 11:53:47.974,1974-09-11 11:53:49.899,1.925
Ingress,1974-09-11 15:35:54.438,1974-09-11 15:35:56.363,1.925
Ingress,1974-09-11 19:17:59.000,1974-09-11 19:18:02.810,3.81
Egress,1974-09-11 23:41:12.625,1974-09-11 23:41:14.550,1.925
Ingress,1974-09-12 02:42:13.815,1974-09-12 02:42:15.740,1.925
Egress,1974-09-12 03:23:09.380,1974-09-12 03:23:11.305,1.925
Ingress,1974-09-12 06:24:20.280,1974-09-12 06:24:24.090,3.81
Egress,1974-09-12 07:05:08.172,1974-09-12 07:05:10.097,1.925
Ingress,1974-09-12 10:05:54.088,1974-09-12 10:05:56.013,1.925
Ingress,1974-09-12 13:48:35.094,1974-09-12 13:48:37.019,1.925
Egress,1974-09-12 14:29:03.886,1974-09-12 14:29:05.811,1.925
Ingress,1974-09-12 21:12:49.973,1974-09-12 21:12:51.898,1.925
Egress,1974-09-12 21:52:57.603,1974-09-12 21:52:59.528,1.925
Egress,1974-09-13 01:34:56.757,1974-09-13 01:34:58.682,1.925
Ingress,1974-09-13 04:37:03.137,1974-09-13 04:37:06.946,3.809
Ingress,1974-09-13 08:19:13.258,1974-09-13 08:19:15.183,1.925
Egress,1974-09-13 08:58:50.111,1974-09-13 08:58:52.036,1.925
Ingress,1974-09-13 12:01:19.709,1974-09-13 12:01:21.634,1.925
Ingress,1974-09-13 15:43:28.104,1974-09-13 15:43:30.029,1.925
Ingress,1974-09-13 19:25:36.551,1974-09-13 19:25:40.361,3.81
Ingress,1974-09-13 23:07:44.931,1974-09-13 23:07:46.856,1.925
Egress,1974-09-13 23:46:39.615,1974-09-13 23:46:41.540,1.925
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1.925
Ingress,1974-09-14 02:49:53.333,1974-09-14 02:49:55.258,1.925
Egress,1974-09-14 03:28:19.222,1974-09-14 03:28:21.147,1.925
Ingress,1974-09-14 06:32:01.723,1974-09-14 06:32:03.648,1.925
Ingress,1974-09-14 10:14:10.166,1974-09-14 10:14:13.976,3.81
Egress,1974-09-14 10:52:13.001,1974-09-14 10:52:14.926,1.925
Ingress,1974-09-14 13:56:18.562,1974-09-14 13:56:20.487,1.925
Egress,1974-09-14 14:34:09.888,1974-09-14 14:34:11.813,1.925
Ingress,1974-09-14 17:37:17.920,1974-09-14 17:38:38.528,80.608
Egress,1974-09-14 18:16:04.909,1974-09-14 18:16:06.834,1.925
Ingress,1974-09-14 21:20:37.282,1974-09-14 21:20:39.207,1.925
Egress,1974-09-14 21:58:01.735,1974-09-14 21:58:03.660,1.925
Ingress,1974-09-15 01:02:43.794,1974-09-15 01:02:47.603,3.809
Egress,1974-09-15 01:39:58.621,1974-09-15 01:40:00.546,1.925
Ingress,1974-09-15 04:44:54.126,1974-09-15 04:44:56.051,1.925
Egress,1974-09-15 05:21:55.510,1974-09-15 05:21:57.435,1.925
Ingress,1974-09-15 08:27:04.437,1974-09-15 08:27:06.362,1.925
Egress,1974-09-15 09:03:33.186,1974-09-15 09:03:35.111,1.925
Ingress,1974-09-15 12:09:12.829,1974-09-15 12:09:14.754,1.925
Ingress,1974-09-15 15:51:23.231,1974-09-15 15:51:25.156,1.925
Ingress,1974-09-15 23:15:41.920,1974-09-15 23:15:45.730,3.81
Ingress,1974-09-16 02:57:52.288,1974-09-16 02:57:54.213,1.925
Ingress,1974-09-17 23:59:56.376,1974-09-18 00:00:00.185,3.809
Egress,1974-09-18 03:38:08.541,1974-09-18 03:38:10.466,1.925
Egress,1974-09-18 07:19:59.787,1974-09-18 07:20:05.522,5.735
Egress,1974-09-18 11:01:54.783,1974-09-18 11:01:56.708,1.925
Egress,1974-09-18 14:43:47.853,1974-09-18 14:43:49.778,1.925
Egress,1974-09-18 18:25:35.203,1974-09-18 18:25:40.937,5.734
Egress,1974-09-18 22:07:32.122,1974-09-18 22:07:35.932,3.81
Ingress,1974-09-22 23:59:58.151,1974-09-23 00:00:00.076,1.925
