event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-07 19:03:19.031,1974-09-07 19:03:20.956,1,1253214.0,1034644992.0,,,Venus,rv2_coarse,per_band
Ingress,1974-09-07 19:03:19.031,1974-09-07 19:03:20.956,2,2555961.0,0.0,8.262554057577066,0.00023048972107101841,Venus,rv2_coarse,per_band
Ingress,1974-09-07 19:03:19.031,1974-09-07 19:03:20.956,3,857592.0,,,,Venus,rv2_coarse,per_band
Ingress,1974-09-07 19:03:19.031,1974-09-07 19:03:20.956,4,684459.5,,,,Venus,rv2_coarse,per_band
Ingress,1974-09-07 19:03:19.031,1974-09-07 19:03:20.956,5,0.0,87300464.0,-18.78310224585508,1.2650674645428392e-06,Venus,rv2_coarse,per_band
Ingress,1974-09-07 19:03:19.031,1974-09-07 19:03:20.956,6,53272144.0,2709651.0,10.02582937449109,8.380262582308325e-05,Venus,rv2_coarse,per_band
Ingress,1974-09-07 19:03:19.031,1974-09-07 19:03:20.956,7,386494720.0,1195534.0,11.318938870857085,3.9578730122950745e-05,Venus,rv2_coarse,per_band
Ingress,1974-09-07 19:03:19.031,1974-09-07 19:03:20.956,8,69564832.0,1613702.0,6.096462284492631,0.002536822081818702,Venus,rv2_coarse,per_band
Ingress,1974-09-07 19:03:19.031,1974-09-07 19:03:20.956,9,3482181.0,1106899.0,3.3989030222047814,0.011231746167767391,Venus,rv2_coarse,per_band
Egress,1974-09-07 19:47:55.476,1974-09-07 19:47:57.401,1,891116.625,934648.4375,0.7142475369785888,0.8455784713099761,Venus,rv2_coarse,per_band
Egress,1974-09-07 19:47:55.476,1974-09-07 19:47:57.401,2,2631450.0,2394083.0,-3.1540277013674665,0.0035352581065517578,Venus,rv2_coarse,per_band
Egress,1974-09-07 19:47:55.476,1974-09-07 19:47:57.401,3,1545234.0,1398335.0,-2.832008321184413,0.005111258080124284,Venus,rv2_coarse,per_band
Egress,1974-09-07 19:47:55.476,1974-09-07 19:47:57.401,4,1255341.0,1194555.0,-1.536773802693139,0.11266821277086445,Venus,rv2_coarse,per_band
Egress,1974-09-07 19:47:55.476,1974-09-07 19:47:57.401,5,5231149.0,5231149.0,0.0,0.7097216179673616,Venus,rv2_coarse,per_band
Egress,1974-09-07 19:47:55.476,1974-09-07 19:47:57.401,6,489672.4375,471609.5625,-2.036212843387385,0.06407359859895975,Venus,rv2_coarse,per_band
Egress,1974-09-07 19:47:55.476,1974-09-07 19:47:57.401,7,538537.5,485322.25,-2.464304995006042,0.5341515303982772,Venus,rv2_coarse,per_band
Egress,1974-09-07 19:47:55.476,1974-09-07 19:47:57.401,8,941222.875,822195.0,-0.8912562175641168,0.03653888439462122,Venus,rv2_coarse,per_band
Egress,1974-09-07 19:47:55.476,1974-09-07 19:47:57.401,9,384907.875,384907.875,0.0,0.993768087548088,Venus,rv2_coarse,per_band
Egress,1974-09-07 23:29:52.367,1974-09-07 23:29:54.292,1,83918896.0,19972977.5,-4.76851180701534,0.005967229087843417,Venus,rv2_coarse,per_band
Egress,1974-09-07 23:29:52.367,1974-09-07 23:29:54.292,2,8819549.0,3314562.0,-2.9370351957359064,0.011374744972722506,Venus,rv2_coarse,per_band
Egress,1974-09-07 23:29:52.367,1974-09-07 23:29:54.292,3,1987613.0,1757551.0,-5.335187140976436,0.00011008521739413165,Venus,rv2_coarse,per_band
Egress,1974-09-07 23:29:52.367,1974-09-07 23:29:54.292,4,1294747.0,1326813.0,1.3141977700756686,0.8841207411318934,Venus,rv2_coarse,per_band
Egress,1974-09-07 23:29:52.367,1974-09-07 23:29:54.292,5,5505369.0,5744887.0,1.3563980534543325,0.6794361530450479,Venus,rv2_coarse,per_band
Egress,1974-09-07 23:29:52.367,1974-09-07 23:29:54.292,6,877972.4375,1579856.0,3.5749682058691126,0.03633606066208943,Venus,rv2_coarse,per_band
Egress,1974-09-07 23:29:52.367,1974-09-07 23:29:54.292,7,804402.125,593128.9375,-4.28224213046403,0.004193067700604552,Venus,rv2_coarse,per_band
Egress,1974-09-07 23:29:52.367,1974-09-07 23:29:54.292,8,491686.5,412884.25,-0.0012522121229340277,0.356365733213408,Venus,rv2_coarse,per_band
Egress,1974-09-07 23:29:52.367,1974-09-07 23:29:54.292,9,751072.0,2448726.0,0.3593474956020738,0.6853916386751258,Venus,rv2_coarse,per_band
Ingress,1974-09-08 02:27:39.584,1974-09-08 02:27:43.394,1,1101867.0,1355103.5,-2.057214626177175,0.08322212536884876,Venus,rv2_coarse,per_band
Ingress,1974-09-08 02:27:39.584,1974-09-08 02:27:43.394,2,3515582.0,3321352.0,1.205635761896165,0.9069426558093702,Venus,rv2_coarse,per_band
Ingress,1974-09-08 02:27:39.584,1974-09-08 02:27:43.394,3,1941754.0,1824958.0,2.2944292391916257,0.1553530348883527,Venus,rv2_coarse,per_band
Ingress,1974-09-08 02:27:39.584,1974-09-08 02:27:43.394,4,1437363.0,1509985.0,-1.8032361308112457,0.5945031092342485,Venus,rv2_coarse,per_band
Ingress,1974-09-08 02:27:39.584,1974-09-08 02:27:43.394,5,4595743.0,4903428.0,-1.9815979786675393,0.5587920712946131,Venus,rv2_coarse,per_band
Ingress,1974-09-08 02:27:39.584,1974-09-08 02:27:43.394,6,2447335.0,2002565.0,0.4352077257787157,0.9145348213140977,Venus,rv2_coarse,per_band
Ingress,1974-09-08 02:27:39.584,1974-09-08 02:27:43.394,7,385074.75,385074.75,0.0,0.48189209215555584,Venus,rv2_coarse,per_band
Ingress,1974-09-08 02:27:39.584,1974-09-08 02:27:43.394,8,1243381.5,1496478.0,-0.118074142605476,0.13843347348400054,Venus,rv2_coarse,per_band
Ingress,1974-09-08 02:27:39.584,1974-09-08 02:27:43.394,9,512997.125,512997.125,0.0,0.8719585981370654,Venus,rv2_coarse,per_band
Egress,1974-09-08 03:11:51.047,1974-09-08 03:11:52.972,1,1036522.875,815323.03125,-5.7108844168561745,7.418419906127837e-05,Venus,rv2_coarse,per_band
Egress,1974-09-08 03:11:51.047,1974-09-08 03:11:52.972,2,3515582.0,3712997.0,1.6633872308379536,0.2314936243556067,Venus,rv2_coarse,per_band
Egress,1974-09-08 03:11:51.047,1974-09-08 03:11:52.972,3,1730936.0,1554111.0,-3.1265612277904324,0.026754965594313757,Venus,rv2_coarse,per_band
Egress,1974-09-08 03:11:51.047,1974-09-08 03:11:52.972,4,1294747.0,1294747.0,0.0,0.7603784382483902,Venus,rv2_coarse,per_band
Egress,1974-09-08 03:11:51.047,1974-09-08 03:11:52.972,5,5265851.0,5744887.0,2.4099170405778234,0.08871167159941055,Venus,rv2_coarse,per_band
Egress,1974-09-08 03:11:51.047,1974-09-08 03:11:52.972,6,863053.5,590116.0625,-1.450954367284544,0.03784968671147058,Venus,rv2_coarse,per_band
Egress,1974-09-08 03:11:51.047,1974-09-08 03:11:52.972,7,483321.375,483321.375,0.0,0.8789097587073865,Venus,rv2_coarse,per_band
Egress,1974-09-08 03:11:51.047,1974-09-08 03:11:52.972,8,448708.875,448708.875,0.0,0.3611575812746264,Venus,rv2_coarse,per_band
Egress,1974-09-08 03:11:51.047,1974-09-08 03:11:52.972,9,373574.0625,436943.5625,0.8629599146854764,0.29607981337654576,Venus,rv2_coarse,per_band
Egress,1974-09-08 06:53:01.837,1974-09-08 06:53:03.762,1,6001867.0,1170511616.0,0.005772045475364588,0.1713336650015509,Venus,rv2_coarse,per_band
Egress,1974-09-08 06:53:01.837,1974-09-08 06:53:03.762,2,2942718.0,2773305.0,,,Venus,rv2_coarse,per_band
Egress,1974-09-08 06:53:01.837,1974-09-08 06:53:03.762,3,1476251.0,,,,Venus,rv2_coarse,per_band
Egress,1974-09-08 06:53:01.837,1974-09-08 06:53:03.762,4,1324997.0,1209563.0,,,Venus,rv2_coarse,per_band
Egress,1974-09-08 06:53:01.837,1974-09-08 06:53:03.762,5,5260174.0,5704933.0,3.0139449181295137,0.05530244242477114,Venus,rv2_coarse,per_band
Egress,1974-09-08 06:53:01.837,1974-09-08 06:53:03.762,6,453467.625,454209.9375,0.09740400433394956,0.44920695846363323,Venus,rv2_coarse,per_band
Egress,1974-09-08 06:53:01.837,1974-09-08 06:53:03.762,7,487751.75,485322.25,-0.13754450655945946,0.25164701396840133,Venus,rv2_coarse,per_band
Egress,1974-09-08 06:53:01.837,1974-09-08 06:53:03.762,8,382069.6875,328490.0625,-1.9290893884317177,0.13400113538901062,Venus,rv2_coarse,per_band
Egress,1974-09-08 06:53:01.837,1974-09-08 06:53:03.762,9,453995.375,432831.4375,-0.39738599400349467,0.4724229178881899,Venus,rv2_coarse,per_band
Egress,1974-09-08 10:35:46.648,1974-09-08 10:35:48.573,1,23685216.0,122662144.0,2.7011991691168844,0.030566782300566947,Venus,rv2_coarse,per_band
Egress,1974-09-08 10:35:46.648,1974-09-08 10:35:48.573,2,3415750.0,3315918.0,-0.5410699569712084,0.5469348946737583,Venus,rv2_coarse,per_band
Egress,1974-09-08 10:35:46.648,1974-09-08 10:35:48.573,3,1814938.0,1455593.0,-0.18734247163065185,0.23679866131979815,Venus,rv2_coarse,per_band
Egress,1974-09-08 10:35:46.648,1974-09-08 10:35:48.573,4,1481324.5,1463319.0,-0.6437549271277992,0.5575563458891507,Venus,rv2_coarse,per_band
Egress,1974-09-08 10:35:46.648,1974-09-08 10:35:48.573,5,5748598.0,5748598.0,0.0,0.842961948568085,Venus,rv2_coarse,per_band
Egress,1974-09-08 10:35:46.648,1974-09-08 10:35:48.573,6,491061.8125,454726.125,-4.592353581706866,0.03118777716108974,Venus,rv2_coarse,per_band
Egress,1974-09-08 10:35:46.648,1974-09-08 10:35:48.573,7,529444.4375,478931.6875,-3.4954974216854153,0.007226762607342848,Venus,rv2_coarse,per_band
