frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,1592,24.970344746804457,0.6258251421336062,Earth,rv2_coarse,per_band
1,Ingress,953,33.11699947367327,1.0727648395550624,Earth,rv2_coarse,per_band
2,Egress,1595,5.544767186773778,0.1388362811017757,Earth,rv2_coarse,per_band
2,Ingress,946,11.607258512781335,0.37738452608873707,Earth,rv2_coarse,per_band
3,Egress,1592,1.1863633062462524,0.029733509580346124,Earth,rv2_coarse,per_band
3,Ingress,952,0.2022022331147377,0.006553412020776786,Earth,rv2_coarse,per_band
4,Egress,1617,-6.860441677035474,-0.1706070865655874,Earth,rv2_coarse,per_band
4,Ingress,962,-1.6135285980200689,-0.05202224992385399,Earth,rv2_coarse,per_band
5,Egress,1627,-5.230867880573528,-0.12968208202954642,Earth,rv2_coarse,per_band
5,Ingress,973,-6.180053062233822,-0.19812340526110628,Earth,rv2_coarse,per_band
6,Egress,1621,26.883768777802107,0.6677265486702558,Earth,rv2_coarse,per_band
6,Ingress,969,46.75995659732162,1.5021462254882538,Earth,rv2_coarse,per_band
7,Egress,1614,17.712518448690094,0.4408882760882413,Earth,rv2_coarse,per_band
7,Ingress,960,30.48389329110782,0.9838634253668717,Earth,rv2_coarse,per_band
8,Egress,1602,11.246081947467555,0.2809764932223741,Earth,rv2_coarse,per_band
8,Ingress,965,10.565349922508322,0.34011064792835455,Earth,rv2_coarse,per_band
9,Egress,1593,37.725638411207676,0.9452108755218399,Earth,rv2_coarse,per_band
9,Ingress,959,38.112454630336394,1.2307153484772702,Earth,rv2_coarse,per_band
