event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,all,1040301.90625,932436.9375,0.2037339673011913,0.3853687022518043,Fornax-A,rv2_coarse,combined
Egress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,all,1299796.0,2046034.5,1.740351533085978,0.7126538363434185,Fornax-A,rv2_coarse,combined
Ingress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,all,808550.0,2836490.0,-1.4561327827886292,0.0019985339049976725,Fornax-A,rv2_coarse,combined
Egress,1974-09-14 23:59:54.873,1974-09-14 23:59:56.798,all,3582225.0,4609712.5,0.5457544628042075,0.07909106444187666,Fornax-A,rv2_coarse,combined
Ingress,1974-09-15 23:59:53.394,1974-09-15 23:59:55.319,all,647644.875,1161910.0,-0.2826031120958065,0.39646963347946984,Fornax-A,rv2_coarse,combined
Egress,1974-09-17 00:00:07.316,1974-09-17 00:00:09.241,all,1308487.0,1665859.0,0.19574764940375525,0.04584336877939393,Fornax-A,rv2_coarse,combined
Ingress,1974-09-18 00:00:05.960,1974-09-18 00:00:07.885,all,539858.0,700653.875,-0.5178328364102106,0.06916333299369684,Fornax-A,rv2_coarse,combined
Egress,1974-09-21 04:40:42.265,1974-09-21 04:40:46.075,all,1483842.5,631108.0,-3.6685220740560642,0.00437481375278465,Fornax-A,rv2_coarse,combined
Egress,1974-09-21 12:04:34.310,1974-09-21 12:04:36.235,all,551067.75,1465699.0,2.899886900246428,0.7143078587405781,Fornax-A,rv2_coarse,combined
Egress,1974-09-21 15:46:31.336,1974-09-21 15:46:33.261,all,1733479.5,1591640.0,-0.5237232332771823,0.17820326998626915,Fornax-A,rv2_coarse,combined
Egress,1974-09-21 19:28:05.168,1974-09-21 19:28:07.093,all,1411149.0,512772.0,-2.6552675792666105,0.17108797536579612,Fornax-A,rv2_coarse,combined
Egress,1974-09-21 23:10:23.316,1974-09-21 23:10:25.241,all,1460947.0,1578570.0,0.46138845915283494,0.3348341259860729,Fornax-A,rv2_coarse,combined
Egress,1974-09-22 02:52:12.503,1974-09-22 02:52:14.428,all,1670919.0,717902.375,-3.771588496506993,0.5778956007179834,Fornax-A,rv2_coarse,combined
