event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-07 14:23:11.847,1974-09-07 14:23:17.581,5.734
Ingress,1974-09-07 21:47:09.265,1974-09-07 21:47:11.190,1.925
Ingress,1974-09-08 01:29:06.109,1974-09-08 01:29:08.034,1.925
Egress,1974-09-08 02:15:12.770,1974-09-08 02:15:14.695,1.925
Ingress,1974-09-08 05:11:04.846,1974-09-08 05:11:06.771,1.925
Ingress,1974-09-08 08:53:01.686,1974-09-08 08:53:03.611,1.925
Egress,1974-09-08 09:39:06.432,1974-09-08 09:39:08.357,1.925
Ingress,1974-09-08 12:34:58.512,1974-09-08 12:35:00.437,1.925
Egress,1974-09-08 13:21:03.265,1974-09-08 13:21:05.190,1.925
Ingress,1974-09-08 19:58:52.210,1974-09-08 19:58:54.135,1.925
Egress,1974-09-08 20:44:56.949,1974-09-08 20:44:58.874,1.925
Ingress,1974-09-09 03:22:45.862,1974-09-09 03:22:47.787,1.925
Ingress,1974-09-09 18:10:33.177,1974-09-09 18:10:35.102,1.925
Egress,1974-09-09 18:56:36.020,1974-09-09 18:56:37.945,1.925
Ingress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,1.925
Egress,1974-09-10 00:15:44.047,1974-09-10 00:18:07.811,143.764
Ingress,1974-09-10 01:34:34.627,1974-09-10 01:34:36.552,1.925
Egress,1974-09-10 02:20:47.032,1974-09-10 02:20:48.957,1.925
Ingress,1974-09-10 12:40:19.366,1974-09-10 12:40:21.291,1.925
Egress,1974-09-10 13:25:15.028,1974-09-10 13:26:35.636,80.608
Ingress,1974-09-10 16:22:16.253,1974-09-10 16:22:18.178,1.925
Egress,1974-09-10 17:08:28.702,1974-09-10 17:08:34.437,5.735
Ingress,1974-09-10 20:04:11.180,1974-09-10 20:04:13.105,1.925
Ingress,1974-09-10 23:46:06.134,1974-09-10 23:46:08.059,1.925
Egress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,1.925
Ingress,1974-09-11 00:14:40.928,1974-09-11 00:17:04.655,143.727
Egress,1974-09-11 00:32:20.501,1974-09-11 00:32:22.426,1.925
Ingress,1974-09-11 03:28:02.975,1974-09-11 03:28:04.900,1.925
Egress,1974-09-11 04:14:15.421,1974-09-11 04:14:17.346,1.925
Ingress,1974-09-11 07:09:31.004,1974-09-11 07:09:32.929,1.925
Egress,1974-09-11 07:56:12.259,1974-09-11 07:56:14.184,1.925
Ingress,1974-09-11 10:51:52.832,1974-09-11 10:51:56.642,3.81
Egress,1974-09-11 11:38:07.177,1974-09-11 11:38:09.102,1.925
Ingress,1974-09-11 14:33:49.726,1974-09-11 14:33:53.536,3.81
Egress,1974-09-11 15:20:04.061,1974-09-11 15:20:05.986,1.925
Ingress,1974-09-11 18:15:46.588,1974-09-11 18:15:50.398,3.81
Egress,1974-09-11 19:02:00.923,1974-09-11 19:02:02.848,1.925
Egress,1974-09-12 02:25:52.723,1974-09-12 02:25:54.648,1.925
Ingress,1974-09-12 05:21:35.214,1974-09-12 05:21:37.139,1.925
Egress,1974-09-12 06:07:49.555,1974-09-12 06:07:51.480,1.925
Ingress,1974-09-12 09:03:32.081,1974-09-12 09:03:34.006,1.925
Egress,1974-09-12 09:49:46.423,1974-09-12 09:49:48.348,1.925
Ingress,1974-09-12 12:45:26.999,1974-09-12 12:45:28.924,1.925
Egress,1974-09-12 13:31:43.272,1974-09-12 13:31:45.197,1.925
Ingress,1974-09-12 16:27:23.917,1974-09-12 16:27:25.842,1.925
Ingress,1974-09-12 20:09:20.758,1974-09-12 20:09:22.683,1.925
Egress,1974-09-12 20:55:37.021,1974-09-12 20:55:38.946,1.925
Ingress,1974-09-13 03:33:12.846,1974-09-13 03:33:14.771,1.925
Egress,1974-09-13 04:19:29.066,1974-09-13 04:19:30.991,1.925
Ingress,1974-09-13 07:15:09.533,1974-09-13 07:15:11.458,1.925
Egress,1974-09-13 08:01:25.752,1974-09-13 08:01:27.677,1.925
Ingress,1974-09-13 10:57:04.404,1974-09-13 10:57:06.329,1.925
Egress,1974-09-13 11:43:16.865,1974-09-13 11:43:20.675,3.81
