frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,11,-8.765898366474493,-2.6430178029077465,Cygnus-A,rv2_coarse,per_band
1,Ingress,3,-12.278427741528684,-7.088953561796955,Cygnus-A,rv2_coarse,per_band
2,Egress,8,8.25203906731194,2.9175363915562933,Cygnus-A,rv2_coarse,per_band
2,Ingress,3,-7.045939384735037,-4.06797500047056,Cygnus-A,rv2_coarse,per_band
3,Egress,8,5.716205178645102,2.020983722236806,Cygnus-A,rv2_coarse,per_band
3,Ingress,3,10.305055228326369,5.9496264100881895,Cygnus-A,rv2_coarse,per_band
4,Egress,8,-2.1136204382721986,-0.7472776723783772,Cygnus-A,rv2_coarse,per_band
4,Ingress,3,4.011392253293742,2.3159783972643218,Cygnus-A,rv2_coarse,per_band
5,Egress,11,6.141374685663117,1.851694139030127,Cygnus-A,rv2_coarse,per_band
5,Ingress,3,16.74915279190763,9.670127873106042,Cygnus-A,rv2_coarse,per_band
6,Egress,11,-4.495686291188524,-1.3555004184560713,Cygnus-A,rv2_coarse,per_band
6,Ingress,3,6.744593598525441,3.89399292968329,Cygnus-A,rv2_coarse,per_band
7,Egress,11,-6.625312673349209,-1.9976069323896177,Cygnus-A,rv2_coarse,per_band
7,Ingress,3,3.228604323344185,1.8640355751895548,Cygnus-A,rv2_coarse,per_band
8,Egress,11,-2.4679178498709398,-0.7441052292220505,Cygnus-A,rv2_coarse,per_band
8,Ingress,2,-1.9070931201905523,-1.3485184776409511,Cygnus-A,rv2_coarse,per_band
9,Egress,11,-0.5775080757978639,-0.17412523643833097,Cygnus-A,rv2_coarse,per_band
9,Ingress,2,-1.9744726177821255,-1.3961629773008952,Cygnus-A,rv2_coarse,per_band
