event_type,pre_event_time,post_event_time,gap_seconds
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,1.925
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,1.925
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,80.608
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,3.81
Egress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,1.925
Egress,1974-09-10 00:26:25.096,1974-09-10 00:26:27.021,1.925
Egress,1974-09-11 00:00:05.182,1974-09-11 00:00:07.107,1.925
Egress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,1.925
Ingress,1974-09-14 00:30:45.323,1974-09-14 00:30:49.133,3.81
Egress,1974-09-14 00:37:40.037,1974-09-14 00:37:43.846,3.809
Ingress,1974-09-14 04:12:51.778,1974-09-14 04:12:53.703,1.925
Egress,1974-09-14 04:19:33.057,1974-09-14 04:19:34.982,1.925
Ingress,1974-09-14 11:36:58.981,1974-09-14 11:37:00.906,1.925
Egress,1974-09-14 11:42:25.387,1974-09-14 11:42:27.312,1.925
