event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,all,2881332.0,2298133.0,-0.6521379227636844,0.878864348365856,Cygnus-A,rv2_coarse,combined
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,all,2144665.0,645997.0,-3.5995408057155367,0.40953860319225976,Cygnus-A,rv2_coarse,combined
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,all,3697008.0,1167699.0,-5.495557203747875,0.0031154364190631723,Cygnus-A,rv2_coarse,combined
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,all,3044828.0,3167591.0,0.16191347842827455,0.11502941167887251,Cygnus-A,rv2_coarse,combined
Egress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,all,1040301.90625,932436.9375,-0.2037339673011913,0.3853687022518043,Cygnus-A,rv2_coarse,combined
Egress,1974-09-10 00:26:25.096,1974-09-10 00:26:27.021,all,2526142.0,3297545.0,1.286960151498318,0.6146157046312252,Cygnus-A,rv2_coarse,combined
Egress,1974-09-11 00:00:05.182,1974-09-11 00:00:07.107,all,1175573.0,2210556.5,2.440417214974975,0.4949612564115595,Cygnus-A,rv2_coarse,combined
Egress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,all,808550.0,2836490.0,1.4561327827886292,0.0019985339049976725,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-14 00:30:45.323,1974-09-14 00:30:49.133,all,3415214.0,9428809.0,-4.2076600323579605,0.10241710819967315,Cygnus-A,rv2_coarse,combined
Egress,1974-09-14 00:37:40.037,1974-09-14 00:37:43.846,all,4788936.5,6772128.0,2.8531813547678855,0.020878273847139958,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-14 04:12:51.778,1974-09-14 04:12:53.703,all,3280826.0,2229693.0,0.8477818625428121,0.00023749272964775217,Cygnus-A,rv2_coarse,combined
Egress,1974-09-14 04:19:33.057,1974-09-14 04:19:34.982,all,9646518.0,2550280.0,-5.970350088963953,2.0555525552713266e-05,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-14 11:36:58.981,1974-09-14 11:37:00.906,all,865688.0625,7423611.0,-3.487858327731163,9.282415159646771e-05,Cygnus-A,rv2_coarse,combined
Egress,1974-09-14 11:42:25.387,1974-09-14 11:42:27.312,all,6434913.0,752088.375,-5.47217282115616,8.558178986531923e-06,Cygnus-A,rv2_coarse,combined
