event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,1,1030807.3125,896524.3125,-5.789191418066712,0.00010728246770655295,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,2,4019403.5,4864058.0,5.488623713761866,0.0009910953704873483,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,3,3005311.0,3005311.0,0.0,0.27694501128517673,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,4,2298133.0,2225873.0,-1.0349242804217422,0.21128473897871985,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,5,6276929.0,6276929.0,0.0,0.8153380763917761,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,6,20079312.0,27136608.0,1.1090984888048943,0.48605652253427,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,7,1680486.0,1897149.0,0.32821060077869446,0.45102598236587077,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,8,1629429.0,1983763.5,0.0871099395869971,0.2630299561677477,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-08 22:34:50.093,1974-09-08 22:34:52.018,9,369009.0,533532.875,1.7424347206217266,0.03841467749548315,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,1,796669.25,2386431.0,7.659341165966167,0.00036338542290263704,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,2,4611887.0,3918786.0,,,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,3,3533266.5,,,,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,4,2179920.0,2127774.5,,,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,5,5277202.0,6278306.0,2.9347060424981852,0.2314350647371935,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,6,1030067.3125,631309.0,-2.1330330308916206,0.041715501959669866,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,7,576300.9375,488528.6875,-1.9678005422033564,0.1055938203110037,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,8,1212909.0,578950.5625,-0.40526124048295803,0.5796240374371837,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 02:16:00.831,1974-09-09 02:16:02.756,9,621149.71875,344954.71875,-4.827172784800721,0.000858943470620364,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,1,1176197.0,1319550.0,1.5194310194595064,0.022561233683630864,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,2,8182702.0,6962865.0,-3.2634761438458404,0.00482527172345148,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,3,6434913.0,6268207.0,-0.8717104106800273,0.6793578627879282,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,4,3697008.0,3707512.0,0.10199027102077414,0.9936758996764099,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,5,6268829.0,6779093.0,2.1962612943311948,0.7962798911485951,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,6,530298.4375,502887.8125,-1.8408479552668344,0.9029032669663435,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,7,529444.4375,488528.6875,-2.272861866414296,0.03915231204107882,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,8,1229001.0,995802.375,-0.9670096436486825,0.9525975758674256,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 17:03:07.810,1974-09-09 17:04:28.418,9,259083.25,276954.125,0.5705606504340172,0.24426790875017468,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,1,1618744.5,1126164.0,-2.024532948191384,0.010039854703943769,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,2,6420894.0,8774848.0,14.551059464965453,4.1629832792000147e-10,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,3,5429603.0,6014134.0,2.6509271447679295,0.03325408780101635,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,4,3561018.0,3701510.0,0.8567627674170564,0.5191066534518982,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,5,5759770.0,6784837.0,4.57246254521677,0.00019417129179603667,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,6,32077840.0,6649026.0,-2.50547134307252,0.020083020805356063,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,7,508865.28125,465997.3125,-2.8641219010125516,0.005881560969506117,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,8,2263436.0,1889235.53125,-0.4494915532576111,0.14018447236301435,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-09 20:46:21.456,1974-09-09 20:46:25.266,9,694506.875,191022.5625,-3.333536604161051,0.0035385982612453895,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,1,1204234.0,4592589.0,9.153337348407403,9.982276290491907e-05,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,2,3660721.0,5882969.0,,,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,3,,1482844.0,,,Cygnus-A,rv2_coarse,per_band
Egress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,4,2104615.0,1175275.0,,,Cygnus-A,rv2_coarse,per_band
