frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,22,8.99878583824754,1.9185475870450979,Earth,rv2_coarse,per_band
1,Ingress,23,-6.779706524542956,-1.413666533444001,Earth,rv2_coarse,per_band
2,Egress,21,-4.1683283211146795,-0.9096038120445816,Earth,rv2_coarse,per_band
2,Ingress,22,0.5340486875392165,0.11385956275213455,Earth,rv2_coarse,per_band
3,Egress,22,8.450253762160237,1.8016001554792547,Earth,rv2_coarse,per_band
3,Ingress,23,8.857198817416325,1.8468536216005804,Earth,rv2_coarse,per_band
4,Egress,22,-5.559516108930006,-1.1852928170144332,Earth,rv2_coarse,per_band
4,Ingress,24,19.766918437878914,4.034905330001339,Earth,rv2_coarse,per_band
5,Egress,20,-3.6767870158848592,-0.8221545706307145,Earth,rv2_coarse,per_band
5,Ingress,23,2.6162311612655484,0.5455219076291461,Earth,rv2_coarse,per_band
6,Egress,25,-8.592071244095532,-1.7184142488191063,Earth,rv2_coarse,per_band
6,Ingress,23,8.580328893345921,1.7891222516130134,Earth,rv2_coarse,per_band
7,Egress,23,4.4262189738036595,0.9229304558109767,Earth,rv2_coarse,per_band
7,Ingress,21,5.981718038153403,1.305317890272415,Earth,rv2_coarse,per_band
8,Egress,25,0.8910690184204461,0.1782138036840892,Earth,rv2_coarse,per_band
8,Ingress,21,5.101474152892789,1.1132329267377108,Earth,rv2_coarse,per_band
9,Egress,21,13.703742744421097,2.9904018300243598,Earth,rv2_coarse,per_band
9,Ingress,20,8.957197984746115,2.0028903581816437,Earth,rv2_coarse,per_band
