event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-08 19:01:14.362,1974-09-08 19:01:16.287,all,2271415.0,2885351.0,-1.478123407698563,0.012527421342971329,Earth,rv2_coarse,combined
Egress,1974-09-08 19:16:37.867,1974-09-08 19:16:39.792,all,908673.875,2826839.0,5.638733522758978,0.0008966346410337953,Earth,rv2_coarse,combined
Ingress,1974-09-09 02:21:21.459,1974-09-09 02:21:23.384,all,1955390.0,2228014.0,-0.9218058540477829,0.2757887541129757,Earth,rv2_coarse,combined
Egress,1974-09-09 02:47:16.639,1974-09-09 02:47:18.564,all,607809.3125,2021538.0,5.1887406307384865,2.748379999344301e-08,Earth,rv2_coarse,combined
Ingress,1974-09-09 17:06:15.937,1974-09-09 17:06:17.862,all,1597403.0,1955261.5,-0.7843307856158054,0.014917485017417687,Earth,rv2_coarse,combined
Ingress,1974-09-09 20:47:53.616,1974-09-09 20:47:57.425,all,5395028.5,1424984.0,8.138961669124493,0.0001380639146462244,Earth,rv2_coarse,combined
Egress,1974-09-10 00:00:04.972,1974-09-10 00:00:06.897,all,1040301.90625,932436.9375,-0.20386051759821225,0.4084585820285688,Earth,rv2_coarse,combined
Ingress,1974-09-10 00:29:42.847,1974-09-10 00:29:44.772,all,3703007.0,855033.25,5.0782519632901995,0.0019178335809043948,Earth,rv2_coarse,combined
Egress,1974-09-10 01:10:02.020,1974-09-10 01:10:05.830,all,953099.125,2199162.0,2.599049808379904,0.0012865024472755331,Earth,rv2_coarse,combined
Ingress,1974-09-10 11:35:25.682,1974-09-10 11:35:29.492,all,7817689.0,701619.375,0.8404788610659356,0.23003736213084594,Earth,rv2_coarse,combined
Egress,1974-09-10 12:19:23.714,1974-09-10 12:19:25.639,all,4508732.0,1342311.0,-2.5959693859399335,0.8626003323621211,Earth,rv2_coarse,combined
Ingress,1974-09-10 15:17:28.319,1974-09-10 15:17:30.244,all,2289640.5,32166064.0,-3.68773227353415,2.4997527626461827e-08,Earth,rv2_coarse,combined
Egress,1974-09-10 16:02:18.195,1974-09-10 16:02:20.120,all,1900614.0,1695918.5,-0.45860049094895616,0.024201675563179294,Earth,rv2_coarse,combined
Ingress,1974-09-10 18:59:34.791,1974-09-10 18:59:38.601,all,3003947.5,9830476.0,-5.486809195635283,1.8092480945399878e-05,Earth,rv2_coarse,combined
Egress,1974-09-10 19:45:03.050,1974-09-10 19:45:04.975,all,2173199.0,3207094.0,1.2657241081351875,0.4496147955211578,Earth,rv2_coarse,combined
Ingress,1974-09-10 22:41:25.910,1974-09-10 22:41:50.854,all,1290082.0,3430513.0,-2.4502008865707214,0.10863403464427136,Earth,rv2_coarse,combined
Egress,1974-09-10 23:27:59.447,1974-09-10 23:28:01.372,all,5479522.0,7730045.0,0.13945760662449644,0.012510393358786764,Earth,rv2_coarse,combined
Egress,1974-09-11 03:10:28.931,1974-09-11 03:10:53.875,all,1780661.0,2697823.0,1.8353223280847308,0.007871480391152388,Earth,rv2_coarse,combined
Egress,1974-09-11 06:53:23.337,1974-09-11 06:53:25.262,all,736671.4375,988347.9375,0.8161618350589324,0.24755920133650117,Earth,rv2_coarse,combined
Ingress,1974-09-11 09:47:22.167,1974-09-11 09:48:42.776,all,2144665.0,569057.4375,5.016404480792737,0.31820364983751726,Earth,rv2_coarse,combined
