frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
1,0.45,2,-19.545876185950434,-13.821021595318204,Fornax-A,rv2_coarse,fixed
2,0.7,1,-8.795638253351653,-8.795638253351653,Fornax-A,rv2_coarse,fixed
3,0.9,1,-10.393024482638872,-10.393024482638872,Fornax-A,rv2_coarse,fixed
4,1.31,1,21.93444500683064,21.93444500683064,Fornax-A,rv2_coarse,fixed
5,2.2,2,8.59338941729448,6.076443930345642,Fornax-A,rv2_coarse,fixed
6,3.93,2,3.693227642882608,2.611506310747901,Fornax-A,rv2_coarse,fixed
7,4.7,2,4.357768715233969,3.0814078093845287,Fornax-A,rv2_coarse,fixed
8,6.55,2,-2.2213959164408257,-1.5707641162154133,Fornax-A,rv2_coarse,fixed
9,9.18,2,-6.698119908686761,-4.736286008633027,Fornax-A,rv2_coarse,fixed
1,0.45,14,-13.453946022775561,-3.595718322669719,Cygnus-A,rv2_coarse,fixed
2,0.7,11,3.3577407258797356,1.012396921003515,Cygnus-A,rv2_coarse,fixed
3,0.9,11,10.256435731614333,3.092431728014456,Cygnus-A,rv2_coarse,fixed
4,1.31,11,0.29237971554269043,0.08815580116054064,Cygnus-A,rv2_coarse,fixed
5,2.2,14,13.197097982085458,3.527072796332109,Cygnus-A,rv2_coarse,fixed
6,3.93,14,-0.8628598185871186,-0.2306089867119225,Cygnus-A,rv2_coarse,fixed
7,4.7,14,-4.378158617254192,-1.170112109336938,Cygnus-A,rv2_coarse,fixed
8,6.55,13,-3.0181777058000807,-0.8370918828249583,Cygnus-A,rv2_coarse,fixed
9,9.18,13,-1.3056820429817928,-0.3621310427248793,Cygnus-A,rv2_coarse,fixed
1,0.45,38,3.4551363928477556,0.5604971358483796,Sag-A,rv2_coarse,fixed
2,0.7,38,-4.457181325326632,-0.7230502888319819,Sag-A,rv2_coarse,fixed
3,0.9,40,-5.211581596656373,-0.824023402862555,Sag-A,rv2_coarse,fixed
4,1.31,42,-17.3370756195051,-2.675168846635747,Sag-A,rv2_coarse,fixed
5,2.2,39,-4.726293650152116,-0.7568126765395647,Sag-A,rv2_coarse,fixed
6,3.93,40,11.808967828682642,1.8671617577145105,Sag-A,rv2_coarse,fixed
7,4.7,44,-0.19318787074051302,-0.02912416733154364,Sag-A,rv2_coarse,fixed
8,6.55,39,-1.9758565173700706,-0.3163902563102185,Sag-A,rv2_coarse,fixed
9,9.18,36,2.2186526233514328,0.3697754372252388,Sag-A,rv2_coarse,fixed
