target,kind,data_col,frequency_band,frequency_mhz,combined_z,random_percentile,random_n
Fornax-A,fixed,rv2_coarse,1,0.45,-19.545876185950434,0.055,200
Cygnus-A,fixed,rv2_coarse,1,0.45,-13.453946022775561,0.095,200
Sag-A,fixed,rv2_coarse,1,0.45,3.4551363928477556,0.52,200
Earth,earth,rv2_coarse,1,0.45,1.4450539583057127,0.51,200
Fornax-A,fixed,rv2_coarse,2,0.7,-8.795638253351653,0.04591836734693878,196
Cygnus-A,fixed,rv2_coarse,2,0.7,3.3577407258797356,0.5153061224489796,196
Sag-A,fixed,rv2_coarse,2,0.7,-4.457181325326632,0.11734693877551021,196
Earth,earth,rv2_coarse,2,0.7,-2.530983647178892,0.17346938775510204,196
Fornax-A,fixed,rv2_coarse,3,0.9,-10.393024482638872,0.025510204081632654,196
Cygnus-A,fixed,rv2_coarse,3,0.9,10.256435731614333,0.8316326530612245,196
Sag-A,fixed,rv2_coarse,3,0.9,-5.211581596656373,0.11224489795918367,196
Earth,earth,rv2_coarse,3,0.9,12.240658981690055,0.8622448979591837,196
Fornax-A,fixed,rv2_coarse,4,1.31,21.93444500683064,0.965,200
Cygnus-A,fixed,rv2_coarse,4,1.31,0.29237971554269043,0.8,200
Sag-A,fixed,rv2_coarse,4,1.31,-17.3370756195051,0.155,200
Earth,earth,rv2_coarse,4,1.31,10.433182419872194,0.88,200
Fornax-A,fixed,rv2_coarse,5,2.2,8.59338941729448,0.775,200
Cygnus-A,fixed,rv2_coarse,5,2.2,13.197097982085458,0.935,200
Sag-A,fixed,rv2_coarse,5,2.2,-4.726293650152116,0.345,200
Earth,earth,rv2_coarse,5,2.2,-0.5941477793051283,0.39,200
Fornax-A,fixed,rv2_coarse,6,3.93,3.693227642882608,0.73,200
Cygnus-A,fixed,rv2_coarse,6,3.93,-0.8628598185871186,0.44,200
Sag-A,fixed,rv2_coarse,6,3.93,11.808967828682642,0.985,200
Earth,earth,rv2_coarse,6,3.93,-0.26132957899768866,0.595,200
Fornax-A,fixed,rv2_coarse,7,4.7,4.357768715233969,0.87,200
Cygnus-A,fixed,rv2_coarse,7,4.7,-4.378158617254192,0.17,200
Sag-A,fixed,rv2_coarse,7,4.7,-0.19318787074051302,0.505,200
Earth,earth,rv2_coarse,7,4.7,7.332616628931541,0.98,200
Fornax-A,fixed,rv2_coarse,8,6.55,-2.2213959164408257,0.295,200
Cygnus-A,fixed,rv2_coarse,8,6.55,-3.0181777058000807,0.16,200
Sag-A,fixed,rv2_coarse,8,6.55,-1.9758565173700706,0.355,200
Earth,earth,rv2_coarse,8,6.55,4.10378684358391,0.88,200
Fornax-A,fixed,rv2_coarse,9,9.18,-6.698119908686761,0.055,200
Cygnus-A,fixed,rv2_coarse,9,9.18,-1.3056820429817928,0.32,200
Sag-A,fixed,rv2_coarse,9,9.18,2.2186526233514328,0.585,200
Earth,earth,rv2_coarse,9,9.18,16.0634468081759,1.0,200
