event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,1,1204234.0,4592589.0,-9.153337348407403,9.982276290491907e-05,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,2,3660721.0,5882969.0,,,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,3,,1482844.0,,,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,4,2104615.0,1175275.0,,,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,5,9440902.0,4657390.0,12.56487001787383,2.945931492613772e-06,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,6,654269.375,513250.625,7.701357126884559,0.00010084881918125582,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,7,1186987.0,484904.5,6.594372550543361,0.0006022369897078615,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,8,722998.4375,839656.375,-1.298806816046046,0.0997763250049416,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-10 00:00:03.047,1974-09-10 00:00:04.972,9,347186.0625,615456.125,-6.4855676022874915,0.0006186104740489178,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,1,4347852.0,17080163.5,-18.488705842229002,8.261666502584362e-11,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,2,13847126.0,31525632.0,-8.795638253351653,0.00010532997105723864,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,3,6760757.0,10224574.0,-10.393024482638872,2.04846557318154e-06,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,4,5706266.0,2950850.0,21.93444500683064,3.745538154189688e-09,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,5,20801600.0,21631888.0,-0.41198215718254627,0.8218681047492222,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,6,620331.8125,1136760.5,-2.4783445053887565,0.0029872162532364266,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,7,729351.0,742373.4375,-0.4315569317743036,0.34907716313566395,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,8,271781.1875,488834.8125,-1.8427214163847805,0.18639397137146724,Fornax-A,rv2_coarse,per_band
Ingress,1974-09-13 23:59:56.377,1974-09-13 23:59:58.302,9,341282.5625,573734.96875,-2.987004414978563,0.006234685693169221,Fornax-A,rv2_coarse,per_band
