frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,20,10.11028729075164,2.260728965417285,Sag-A,rv2_coarse,per_band
1,Ingress,18,-5.636981754951729,-1.3286493414504041,Sag-A,rv2_coarse,per_band
2,Egress,19,9.088750764222308,2.08510242654069,Sag-A,rv2_coarse,per_band
2,Ingress,19,-15.392157044455315,-3.5312030042046536,Sag-A,rv2_coarse,per_band
3,Egress,20,6.044057893630348,1.3514924310101653,Sag-A,rv2_coarse,per_band
3,Ingress,20,-13.41434726903582,-2.999539236735276,Sag-A,rv2_coarse,per_band
4,Egress,22,-14.112484110135274,-3.00879172183801,Sag-A,rv2_coarse,per_band
4,Ingress,20,-10.322511243571864,-2.3081836839132577,Sag-A,rv2_coarse,per_band
5,Egress,19,-4.048789300323405,-0.9288559686209723,Sag-A,rv2_coarse,per_band
5,Ingress,20,-2.653638239234986,-0.5933715490622278,Sag-A,rv2_coarse,per_band
6,Egress,21,3.581259133618662,0.7814948125266424,Sag-A,rv2_coarse,per_band
6,Ingress,19,13.369220071476327,3.067109433974786,Sag-A,rv2_coarse,per_band
7,Egress,23,-5.553847520925072,-1.1580572615880287,Sag-A,rv2_coarse,per_band
7,Ingress,21,5.532664453714181,1.2073263644731778,Sag-A,rv2_coarse,per_band
8,Egress,20,-0.2723367747063926,-0.06089635410165393,Sag-A,rv2_coarse,per_band
8,Ingress,19,-2.5513995754698016,-0.5853312060034443,Sag-A,rv2_coarse,per_band
9,Egress,19,-1.361996069220403,-0.3124633277490192,Sag-A,rv2_coarse,per_band
9,Ingress,17,4.668500085892516,1.1322775863141157,Sag-A,rv2_coarse,per_band
