event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-08 07:52:15.703,1974-09-08 07:53:36.311,all,2221585.0,1055400.0,0.3062381361665741,0.3113943230620059,Sag-A,rv2_coarse,combined
Ingress,1974-09-08 18:59:15.335,1974-09-08 18:59:17.260,all,2331961.0,2526053.0,-0.023257845790168468,0.008270136270821947,Sag-A,rv2_coarse,combined
Ingress,1974-09-09 02:23:07.052,1974-09-09 02:23:08.977,all,786234.4375,2088509.0,-4.195722634957203,0.4032724071809872,Sag-A,rv2_coarse,combined
Ingress,1974-09-09 17:10:48.604,1974-09-09 17:10:52.414,all,2711734.0,3240272.0,-1.104489080751683,0.47240067452517664,Sag-A,rv2_coarse,combined
Ingress,1974-09-09 20:52:45.452,1974-09-09 20:52:49.262,all,3561018.0,1283087.0,5.572628283183762,0.00021054060257793566,Sag-A,rv2_coarse,combined
Egress,1974-09-10 00:00:06.897,1974-09-10 00:00:08.822,all,1114156.0,932436.9375,-0.34939925751879936,0.3937022283295317,Sag-A,rv2_coarse,combined
Ingress,1974-09-10 00:34:50.041,1974-09-10 00:34:51.966,all,1075801.0,3046902.0,-4.361497887897461,0.04826068230379736,Sag-A,rv2_coarse,combined
Egress,1974-09-10 01:13:46.641,1974-09-10 01:13:48.566,all,2236623.0,1699130.0,-1.108554597146969,0.12099134998217204,Sag-A,rv2_coarse,combined
Ingress,1974-09-10 11:40:32.878,1974-09-10 11:40:36.687,all,2525694.9375,1324915.0,0.6750272600637448,0.9122877884257634,Sag-A,rv2_coarse,combined
Egress,1974-09-10 12:19:33.299,1974-09-10 12:19:35.224,all,4416287.0,1336058.0,-2.536958098317725,0.8090594965987791,Sag-A,rv2_coarse,combined
Ingress,1974-09-10 15:22:27.853,1974-09-10 15:22:29.778,all,13862982.0,37538664.0,-3.8378135098963053,0.023896666619226525,Sag-A,rv2_coarse,combined
Egress,1974-09-10 16:01:28.265,1974-09-10 16:01:30.190,all,1204268.0,1858987.0,1.3396044259294762,0.471132744176446,Sag-A,rv2_coarse,combined
Egress,1974-09-10 19:43:25.116,1974-09-10 19:43:27.041,all,2386117.0,2417354.0,0.03218594939967093,0.393019571233273,Sag-A,rv2_coarse,combined
Ingress,1974-09-10 22:46:19.669,1974-09-10 22:46:21.594,all,544066.1875,704634.1875,-0.35496897677522204,7.637716434688986e-07,Sag-A,rv2_coarse,combined
Egress,1974-09-10 23:25:18.190,1974-09-10 23:25:22.000,all,20853592.0,5130253.0,-0.9531413815347674,0.18845618004026685,Sag-A,rv2_coarse,combined
Egress,1974-09-11 06:49:11.846,1974-09-11 06:49:15.656,all,779711.5,892450.1875,0.4719321494333401,0.009680879289638648,Sag-A,rv2_coarse,combined
Ingress,1974-09-11 09:52:04.378,1974-09-11 09:52:06.303,all,551417.375,2296107.0,-4.092131601493994,0.010802197377860907,Sag-A,rv2_coarse,combined
Egress,1974-09-11 10:31:06.765,1974-09-11 10:31:12.500,all,909586.25,1542135.0,1.1959603083479284,0.9429448993744854,Sag-A,rv2_coarse,combined
Egress,1974-09-11 14:13:05.589,1974-09-11 14:13:19.024,all,4810411.5,5938549.0,0.36073643057657434,0.4497967588262607,Sag-A,rv2_coarse,combined
Ingress,1974-09-12 00:39:46.173,1974-09-12 00:39:49.982,all,2822986.0,2825193.0,-0.004491975688814257,0.6043388404251981,Sag-A,rv2_coarse,combined
Egress,1974-09-12 01:18:54.273,1974-09-12 01:18:56.198,all,659520.5,1745880.0,3.246878726703382,0.7682058274546846,Sag-A,rv2_coarse,combined
Egress,1974-09-12 05:00:51.073,1974-09-12 05:00:52.998,all,1346284.0,1354659.0,0.013626188449219303,0.8525043315562469,Sag-A,rv2_coarse,combined
Ingress,1974-09-12 08:03:37.898,1974-09-12 08:03:39.823,all,1293593.0,730643.125,0.9183020110218336,0.6591272601112647,Sag-A,rv2_coarse,combined
Ingress,1974-09-12 11:44:33.291,1974-09-12 11:44:35.216,all,7877013.0,1487301.0,5.6620441255156155,5.493872558975722e-05,Sag-A,rv2_coarse,combined
Egress,1974-09-12 12:23:56.775,1974-09-12 12:23:58.700,all,2878472.0,1008113.0625,-2.687012413605448,0.002371989106369426,Sag-A,rv2_coarse,combined
Ingress,1974-09-12 15:27:27.823,1974-09-12 15:27:29.748,all,2786293.5,2833961.0,-0.000661394920465496,0.0009617107032963358,Sag-A,rv2_coarse,combined
