event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-08 07:52:15.703,1974-09-08 07:53:36.311,1,78660272.0,86979784.0,-0.0032503179042344334,0.33277969601699764,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 07:52:15.703,1974-09-08 07:53:36.311,2,3914752.0,3906689.0,0.04760173503627318,0.924279340147159,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 07:52:15.703,1974-09-08 07:53:36.311,3,2648487.0,2761089.0,-1.133391066899664,0.4903737048439747,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 07:52:15.703,1974-09-08 07:53:36.311,4,2013102.0,2234468.0,-3.550181945071224,0.019162294897731136,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 07:52:15.703,1974-09-08 07:53:36.311,5,5763490.0,6282361.0,-1.7755747763076304,0.18458753877459652,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 07:52:15.703,1974-09-08 07:53:36.311,6,457254.4375,461072.8125,-0.29603658292803264,0.6047315602962668,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 07:52:15.703,1974-09-08 07:53:36.311,7,461764.5625,471977.5625,-0.6618082035941977,0.8711804456486185,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 07:52:15.703,1974-09-08 07:53:36.311,8,551330.0625,616935.9375,-1.865054717105272,0.009773119206420823,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 07:52:15.703,1974-09-08 07:53:36.311,9,1266578.0,666127.1875,5.88643465144585,0.00022049072561749109,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 18:59:15.335,1974-09-08 18:59:17.260,1,250031424.0,2651781.0,14.870784002591042,9.693998039069827e-06,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 18:59:15.335,1974-09-08 18:59:17.260,2,3914752.0,4130999.0,-1.1278547516634274,0.056646503835566034,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 18:59:15.335,1974-09-08 18:59:17.260,3,2552774.0,3007550.0,-6.833907276282154,0.00017187819835718477,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 18:59:15.335,1974-09-08 18:59:17.260,4,2294076.0,2407582.0,-2.144090411717426,0.02287434185824589,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 18:59:15.335,1974-09-08 18:59:17.260,5,6528824.5,6274242.0,0.9445779891439984,0.3151616168142144,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 18:59:15.335,1974-09-08 18:59:17.260,6,1743662.0,497784.125,6.267914701417744,6.704269769008889e-05,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 18:59:15.335,1974-09-08 18:59:17.260,7,1671547.0,421680.625,7.463589357212891,3.979253889707174e-05,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 18:59:15.335,1974-09-08 18:59:17.260,8,2331961.0,464938.1875,5.524615242572381,0.006777852530568694,Sag-A,rv2_coarse,per_band
