frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Ingress,2,-19.545876185950434,-13.821021595318204,Fornax-A,rv2_coarse,per_band
2,Ingress,1,-8.795638253351653,-8.795638253351653,Fornax-A,rv2_coarse,per_band
3,Ingress,1,-10.393024482638872,-10.393024482638872,Fornax-A,rv2_coarse,per_band
4,Ingress,1,21.93444500683064,21.93444500683064,Fornax-A,rv2_coarse,per_band
5,Ingress,2,8.59338941729448,6.076443930345642,Fornax-A,rv2_coarse,per_band
6,Ingress,2,3.693227642882608,2.611506310747901,Fornax-A,rv2_coarse,per_band
7,Ingress,2,4.357768715233969,3.0814078093845287,Fornax-A,rv2_coarse,per_band
8,Ingress,2,-2.2213959164408257,-1.5707641162154133,Fornax-A,rv2_coarse,per_band
9,Ingress,2,-6.698119908686761,-4.736286008633027,Fornax-A,rv2_coarse,per_band
all,Ingress,2,-0.885579695181167,-0.626199407743719,Fornax-A,rv2_coarse,combined
1,Egress,11,-8.765898366474493,-2.6430178029077465,Cygnus-A,rv2_coarse,per_band
1,Ingress,3,-12.278427741528684,-7.088953561796955,Cygnus-A,rv2_coarse,per_band
2,Egress,8,8.25203906731194,2.9175363915562933,Cygnus-A,rv2_coarse,per_band
2,Ingress,3,-7.045939384735037,-4.06797500047056,Cygnus-A,rv2_coarse,per_band
3,Egress,8,5.716205178645102,2.020983722236806,Cygnus-A,rv2_coarse,per_band
3,Ingress,3,10.305055228326369,5.9496264100881895,Cygnus-A,rv2_coarse,per_band
4,Egress,8,-2.1136204382721986,-0.7472776723783772,Cygnus-A,rv2_coarse,per_band
4,Ingress,3,4.011392253293742,2.3159783972643218,Cygnus-A,rv2_coarse,per_band
5,Egress,11,6.141374685663117,1.851694139030127,Cygnus-A,rv2_coarse,per_band
5,Ingress,3,16.74915279190763,9.670127873106042,Cygnus-A,rv2_coarse,per_band
6,Egress,11,-4.495686291188524,-1.3555004184560713,Cygnus-A,rv2_coarse,per_band
6,Ingress,3,6.744593598525441,3.89399292968329,Cygnus-A,rv2_coarse,per_band
7,Egress,11,-6.625312673349209,-1.9976069323896177,Cygnus-A,rv2_coarse,per_band
7,Ingress,3,3.228604323344185,1.8640355751895548,Cygnus-A,rv2_coarse,per_band
8,Egress,11,-2.4679178498709398,-0.7441052292220505,Cygnus-A,rv2_coarse,per_band
8,Ingress,2,-1.9070931201905523,-1.3485184776409511,Cygnus-A,rv2_coarse,per_band
9,Egress,11,-0.5775080757978639,-0.17412523643833097,Cygnus-A,rv2_coarse,per_band
9,Ingress,2,-1.9744726177821255,-1.3961629773008952,Cygnus-A,rv2_coarse,per_band
all,Egress,11,-3.9784083703289186,-1.1995352570173017,Cygnus-A,rv2_coarse,combined
all,Ingress,3,-3.953542510197988,-2.282578832515437,Cygnus-A,rv2_coarse,combined
1,Egress,20,10.11028729075164,2.260728965417285,Sag-A,rv2_coarse,per_band
1,Ingress,18,-5.636981754951729,-1.3286493414504041,Sag-A,rv2_coarse,per_band
2,Egress,19,9.088750764222308,2.08510242654069,Sag-A,rv2_coarse,per_band
2,Ingress,19,-15.392157044455315,-3.5312030042046536,Sag-A,rv2_coarse,per_band
3,Egress,20,6.044057893630348,1.3514924310101653,Sag-A,rv2_coarse,per_band
3,Ingress,20,-13.41434726903582,-2.999539236735276,Sag-A,rv2_coarse,per_band
4,Egress,22,-14.112484110135274,-3.00879172183801,Sag-A,rv2_coarse,per_band
4,Ingress,20,-10.322511243571864,-2.3081836839132577,Sag-A,rv2_coarse,per_band
5,Egress,19,-4.048789300323405,-0.9288559686209723,Sag-A,rv2_coarse,per_band
5,Ingress,20,-2.653638239234986,-0.5933715490622278,Sag-A,rv2_coarse,per_band
6,Egress,21,3.581259133618662,0.7814948125266424,Sag-A,rv2_coarse,per_band
6,Ingress,19,13.369220071476327,3.067109433974786,Sag-A,rv2_coarse,per_band
7,Egress,23,-5.553847520925072,-1.1580572615880287,Sag-A,rv2_coarse,per_band
7,Ingress,21,5.532664453714181,1.2073263644731778,Sag-A,rv2_coarse,per_band
8,Egress,20,-0.2723367747063926,-0.06089635410165393,Sag-A,rv2_coarse,per_band
8,Ingress,19,-2.5513995754698016,-0.5853312060034443,Sag-A,rv2_coarse,per_band
9,Egress,19,-1.361996069220403,-0.3124633277490192,Sag-A,rv2_coarse,per_band
9,Ingress,17,4.668500085892516,1.1322775863141157,Sag-A,rv2_coarse,per_band
all,Egress,23,0.16244307712173955,0.03387172304366772,Sag-A,rv2_coarse,combined
all,Ingress,22,-1.4062566501325713,-0.29981492518810526,Sag-A,rv2_coarse,combined
1,Egress,22,8.99878583824754,1.9185475870450979,Earth,rv2_coarse,per_band
1,Ingress,23,-6.779706524542956,-1.413666533444001,Earth,rv2_coarse,per_band
2,Egress,21,-4.1683283211146795,-0.9096038120445816,Earth,rv2_coarse,per_band
2,Ingress,22,0.5340486875392165,0.11385956275213455,Earth,rv2_coarse,per_band
3,Egress,22,8.450253762160237,1.8016001554792547,Earth,rv2_coarse,per_band
3,Ingress,23,8.857198817416325,1.8468536216005804,Earth,rv2_coarse,per_band
4,Egress,22,-5.559516108930006,-1.1852928170144332,Earth,rv2_coarse,per_band
4,Ingress,24,19.766918437878914,4.034905330001339,Earth,rv2_coarse,per_band
