frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,7,-7.924858559696212,-2.995314989188242,Cygnus-A,rv2_coarse,per_band
1,Ingress,16,-5.751503521098646,-1.4378758802746614,Cygnus-A,rv2_coarse,per_band
2,Egress,6,7.636076807427711,3.1174153024831157,Cygnus-A,rv2_coarse,per_band
2,Ingress,14,-8.490944846044995,-2.269300464563884,Cygnus-A,rv2_coarse,per_band
3,Egress,7,6.1549115091724165,2.32633788498278,Cygnus-A,rv2_coarse,per_band
3,Ingress,13,-8.520987218534026,-2.363296641076747,Cygnus-A,rv2_coarse,per_band
4,Egress,7,2.3768044673685664,0.8983476479549373,Cygnus-A,rv2_coarse,per_band
4,Ingress,13,5.481653594758297,1.52033716232558,Cygnus-A,rv2_coarse,per_band
5,Egress,7,0.6646428148735576,0.2512113712630536,Cygnus-A,rv2_coarse,per_band
5,Ingress,16,-6.612239753568126,-1.6530599383920315,Cygnus-A,rv2_coarse,per_band
6,Egress,7,6.881491120411675,2.6009591648440753,Cygnus-A,rv2_coarse,per_band
6,Ingress,16,-2.8688992775441666,-0.7172248193860417,Cygnus-A,rv2_coarse,per_band
7,Egress,7,-1.0697139508216778,-0.40431386969293387,Cygnus-A,rv2_coarse,per_band
7,Ingress,16,-5.261217463323885,-1.3153043658309713,Cygnus-A,rv2_coarse,per_band
8,Egress,7,1.8096997782766906,0.6840022230012648,Cygnus-A,rv2_coarse,per_band
8,Ingress,16,1.0514065906327106,0.26285164765817765,Cygnus-A,rv2_coarse,per_band
9,Egress,6,-0.9193608594476373,-0.37532749918888575,Cygnus-A,rv2_coarse,per_band
9,Ingress,14,-2.692885647423985,-0.7197039624586772,Cygnus-A,rv2_coarse,per_band
