event_type,pre_event_time,post_event_time,gap_seconds
Ingress,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,3.81
Egress,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,1.925
Ingress,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,1.925
Egress,1974-09-08 07:47:04.659,1974-09-08 07:47:06.584,1.925
Ingress,1974-09-08 11:19:48.524,1974-09-08 11:19:50.449,1.925
Ingress,1974-09-08 18:42:40.807,1974-09-08 18:42:42.732,1.925
Egress,1974-09-08 18:52:53.268,1974-09-08 18:52:55.193,1.925
Ingress,1974-09-08 22:25:33.295,1974-09-08 22:25:35.220,1.925
Ingress,1974-09-09 02:07:28.186,1974-09-09 02:07:30.111,1.925
Ingress,1974-09-09 16:55:11.655,1974-09-09 16:55:15.465,3.81
Ingress,1974-09-09 20:37:08.502,1974-09-09 20:37:12.312,3.81
Ingress,1974-09-09 23:59:53.463,1974-09-09 23:59:57.272,3.809
Ingress,1974-09-10 00:22:02.056,1974-09-10 00:22:03.981,1.925
Ingress,1974-09-10 11:26:54.959,1974-09-10 11:26:56.884,1.925
Egress,1974-09-10 11:31:56.380,1974-09-10 11:31:58.305,1.925
Ingress,1974-09-10 15:09:57.152,1974-09-10 15:10:02.887,5.735
Egress,1974-09-10 15:13:45.623,1974-09-10 15:13:47.548,1.925
Ingress,1974-09-10 18:51:57.808,1974-09-10 18:51:59.733,1.925
Egress,1974-09-10 18:55:36.695,1974-09-10 18:55:38.620,1.925
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,1.925
Ingress,1974-09-11 09:40:12.094,1974-09-11 09:40:15.903,3.809
Egress,1974-09-11 09:42:43.766,1974-09-11 09:42:45.691,1.925
Ingress,1974-09-11 13:22:18.589,1974-09-11 13:22:20.514,1.925
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,1.925
