event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Ingress,1974-09-08 00:14:01.925,1974-09-08 00:14:05.735,all,1692151.0,2002811.0,-1.0404248657241713,0.031663641229854496,Cygnus-A,rv2_coarse,combined
Egress,1974-09-08 00:23:12.947,1974-09-08 00:23:14.872,all,1564476.0,1824857.0,0.8893179589955575,0.4819961605345471,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-08 07:37:53.634,1974-09-08 07:37:55.559,all,1529310.0,1648874.0,-0.4754870842482409,0.7963726524878587,Cygnus-A,rv2_coarse,combined
Egress,1974-09-08 07:47:04.659,1974-09-08 07:47:06.584,all,1821911.0,2371606.0,0.13313642162086378,0.07422374556580603,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-08 11:19:48.524,1974-09-08 11:19:50.449,all,1909846.5,2007946.0,-0.10142477195740564,0.04897069038324217,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-08 18:42:40.807,1974-09-08 18:42:42.732,all,2439180.0,1645048.0,0.47559068494138335,0.04386540842568632,Cygnus-A,rv2_coarse,combined
Egress,1974-09-08 18:52:53.268,1974-09-08 18:52:55.193,all,5039360.0,2882755.0,-4.734356876014295,0.08874385321749721,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-08 22:25:33.295,1974-09-08 22:25:35.220,all,2648487.0,1520490.5,3.2906687346221504,0.10280364514760604,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-09 02:07:28.186,1974-09-09 02:07:30.111,all,1310105.0,929547.875,1.546355736309787,0.4917515903636833,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-09 16:55:11.655,1974-09-09 16:55:15.465,all,629805.6875,4396469.0,-10.718858376023329,4.0534196134498164e-05,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-09 20:37:08.502,1974-09-09 20:37:12.312,all,3156813.0,3899790.5,-0.7775191811059046,0.02500671017001136,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-09 23:59:53.463,1974-09-09 23:59:57.272,all,1114156.0,1098620.0,0.029644605569449832,0.24143625862048096,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-10 00:22:02.056,1974-09-10 00:22:03.981,all,2370155.0,2526053.0,-0.38594772782200726,0.10693787904487348,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-10 11:26:54.959,1974-09-10 11:26:56.884,all,6713921.5,8983589.0,-0.0331681070994039,0.016275317334566507,Cygnus-A,rv2_coarse,combined
Egress,1974-09-10 11:31:56.380,1974-09-10 11:31:58.305,all,8983589.0,7817689.0,-0.059857595644102236,0.3307799777247844,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-10 15:09:57.152,1974-09-10 15:10:02.887,all,2978370.0,1188623.0,2.506782484095156,0.6001706863417031,Cygnus-A,rv2_coarse,combined
Egress,1974-09-10 15:13:45.623,1974-09-10 15:13:47.548,all,4795236.5,9894132.0,5.0382829195760035,0.006552433096266287,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-10 18:51:57.808,1974-09-10 18:51:59.733,all,1935798.5,2371120.0,-0.6332885005843802,0.3110916113067335,Cygnus-A,rv2_coarse,combined
Egress,1974-09-10 18:55:36.695,1974-09-10 18:55:38.620,all,3301797.5,2069140.0,-2.0079394609152095,0.5099800652423008,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-11 00:00:01.332,1974-09-11 00:00:03.257,all,1299796.0,2046034.5,-1.740351533085978,0.7126538363434185,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-11 09:40:12.094,1974-09-11 09:40:15.903,all,2056208.0,645092.875,4.988204148667478,0.3544375156032574,Cygnus-A,rv2_coarse,combined
Egress,1974-09-11 09:42:43.766,1974-09-11 09:42:45.691,all,2073897.0,523396.5,-5.740004013658068,0.34767552448098205,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-11 13:22:18.589,1974-09-11 13:22:20.514,all,3225671.0,1362208.0,2.556939624125131,0.6247007977253454,Cygnus-A,rv2_coarse,combined
Ingress,1974-09-13 23:59:50.602,1974-09-13 23:59:52.527,all,729351.0,2836490.0,-1.5128384497123266,0.001890590086779001,Cygnus-A,rv2_coarse,combined
