frequency_band,frequency_mhz,n_events,combined_z,mean_z,target,data_col,kind
1,0.45,61,-9.556402922471138,-1.2235720135748134,Fornax-A,rv2_coarse,fixed
2,0.7,62,6.219990700128873,0.7899396088563708,Fornax-A,rv2_coarse,fixed
3,0.9,60,13.540943828627556,1.7481283313401543,Fornax-A,rv2_coarse,fixed
4,1.31,59,17.807129967545837,2.318290858168786,Fornax-A,rv2_coarse,fixed
5,2.2,59,-0.47856691358950054,-0.06230410531167111,Fornax-A,rv2_coarse,fixed
6,3.93,60,-4.142739729661535,-0.5348253993550315,Fornax-A,rv2_coarse,fixed
7,4.7,60,-6.465642002759976,-0.8347107933076185,Fornax-A,rv2_coarse,fixed
8,6.55,61,-2.800115690955857,-0.35851807652113304,Fornax-A,rv2_coarse,fixed
9,9.18,59,-5.061109677115064,-0.6589003572181192,Fornax-A,rv2_coarse,fixed
1,0.45,23,-9.169049995805064,-1.9118790873353166,Cygnus-A,rv2_coarse,fixed
2,0.7,20,-2.9215826219211865,-0.6532857344497841,Cygnus-A,rv2_coarse,fixed
3,0.9,20,-3.228544767959676,-0.7219245569559122,Cygnus-A,rv2_coarse,fixed
4,1.31,20,5.82558690256087,1.3026408322958551,Cygnus-A,rv2_coarse,fixed
5,2.2,23,-5.148320848096888,-1.0734991050187446,Cygnus-A,rv2_coarse,fixed
6,3.93,23,1.403534926323339,0.2926572627709506,Cygnus-A,rv2_coarse,fixed
7,4.7,23,-4.978295593806511,-1.0380463887454816,Cygnus-A,rv2_coarse,fixed
8,6.55,23,1.875303975926023,0.39102790971911733,Cygnus-A,rv2_coarse,fixed
9,9.18,20,-2.7565844584337893,-0.6163910234777397,Cygnus-A,rv2_coarse,fixed
1,0.45,14,-1.1268581535846103,-0.3011655095861644,Sag-A,rv2_coarse,fixed
2,0.7,13,1.2455136727021845,0.34544333932455373,Sag-A,rv2_coarse,fixed
3,0.9,14,-8.920392172404318,-2.3840750903426473,Sag-A,rv2_coarse,fixed
4,1.31,13,-10.801030266149075,-2.9956668040337653,Sag-A,rv2_coarse,fixed
5,2.2,16,-1.1433707741876602,-0.28584269354691505,Sag-A,rv2_coarse,fixed
6,3.93,15,-1.9793634437645957,-0.511069443586136,Sag-A,rv2_coarse,fixed
