target,kind,data_col,frequency_band,frequency_mhz,combined_z,random_percentile,random_n
Fornax-A,fixed,rv2_coarse,1,0.45,-9.556402922471138,0.29,200
Cygnus-A,fixed,rv2_coarse,1,0.45,-9.169049995805064,0.295,200
Sag-A,fixed,rv2_coarse,1,0.45,-1.1268581535846103,0.54,200
Earth,earth,rv2_coarse,1,0.45,-9.153337348407403,0.295,200
Fornax-A,fixed,rv2_coarse,2,0.7,6.219990700128873,0.8214285714285714,196
Cygnus-A,fixed,rv2_coarse,2,0.7,-2.9215826219211865,0.6428571428571429,196
Sag-A,fixed,rv2_coarse,2,0.7,1.2455136727021845,0.7244897959183674,196
Fornax-A,fixed,rv2_coarse,3,0.9,13.540943828627556,0.9183673469387755,196
Cygnus-A,fixed,rv2_coarse,3,0.9,-3.228544767959676,0.5357142857142857,196
Sag-A,fixed,rv2_coarse,3,0.9,-8.920392172404318,0.32653061224489793,196
Fornax-A,fixed,rv2_coarse,4,1.31,17.807129967545837,0.8571428571428571,196
Cygnus-A,fixed,rv2_coarse,4,1.31,5.82558690256087,0.5714285714285714,196
Sag-A,fixed,rv2_coarse,4,1.31,-10.801030266149075,0.08163265306122448,196
Fornax-A,fixed,rv2_coarse,5,2.2,-0.47856691358950054,0.495,200
Cygnus-A,fixed,rv2_coarse,5,2.2,-5.148320848096888,0.365,200
Sag-A,fixed,rv2_coarse,5,2.2,-1.1433707741876602,0.475,200
Earth,earth,rv2_coarse,5,2.2,12.56487001787383,0.91,200
Fornax-A,fixed,rv2_coarse,6,3.93,-4.142739729661535,0.22,200
Cygnus-A,fixed,rv2_coarse,6,3.93,1.403534926323339,0.54,200
Sag-A,fixed,rv2_coarse,6,3.93,-1.9793634437645957,0.315,200
Earth,earth,rv2_coarse,6,3.93,6.151484391337748,0.815,200
Fornax-A,fixed,rv2_coarse,7,4.7,-6.465642002759976,0.125,200
Cygnus-A,fixed,rv2_coarse,7,4.7,-4.978295593806511,0.16,200
Sag-A,fixed,rv2_coarse,7,4.7,-1.19998669994974,0.37,200
Earth,earth,rv2_coarse,7,4.7,6.594372550543361,0.9,200
Fornax-A,fixed,rv2_coarse,8,6.55,-2.800115690955857,0.21,200
Cygnus-A,fixed,rv2_coarse,8,6.55,1.875303975926023,0.76,200
Sag-A,fixed,rv2_coarse,8,6.55,0.7211421869260582,0.57,200
Earth,earth,rv2_coarse,8,6.55,-1.298806816046046,0.31,200
Fornax-A,fixed,rv2_coarse,9,9.18,-5.061109677115064,0.15,200
Cygnus-A,fixed,rv2_coarse,9,9.18,-2.7565844584337893,0.325,200
Sag-A,fixed,rv2_coarse,9,9.18,-5.597919746701836,0.15,200
Earth,earth,rv2_coarse,9,9.18,-6.4855676022874915,0.12,200
