frequency_band,event_type,n_events,combined_z,mean_z,target,data_col,analysis_mode
1,Egress,7,-0.09177168642392783,-0.03468643709638793,Sag-A,rv2_coarse,per_band
1,Ingress,7,-1.501846397246132,-0.5676445820759408,Sag-A,rv2_coarse,per_band
2,Egress,7,0.3188957449169125,0.1205312621724058,Sag-A,rv2_coarse,per_band
2,Ingress,6,1.4888997134025497,0.6078407626687264,Sag-A,rv2_coarse,per_band
3,Egress,8,-4.896040848272471,-1.7310118423899006,Sag-A,rv2_coarse,per_band
3,Ingress,6,-7.972663116151087,-3.254826087612976,Sag-A,rv2_coarse,per_band
4,Egress,7,-7.949301791077622,-3.0045536622559594,Sag-A,rv2_coarse,per_band
4,Ingress,6,-7.312458796539134,-2.985298802774538,Sag-A,rv2_coarse,per_band
5,Egress,9,-1.5424170436631102,-0.51413901455437,Sag-A,rv2_coarse,per_band
5,Ingress,7,0.020322406725768856,0.0076811477483844015,Sag-A,rv2_coarse,per_band
6,Egress,8,-2.366270669071101,-0.8366030181115023,Sag-A,rv2_coarse,per_band
6,Ingress,7,-0.3678416428747506,-0.13903107270000348,Sag-A,rv2_coarse,per_band
7,Egress,8,-3.839021079332263,-1.357298919156971,Sag-A,rv2_coarse,per_band
7,Ingress,6,2.599909745334278,1.0614087088930564,Sag-A,rv2_coarse,per_band
8,Egress,7,-0.04748451710208563,-0.017947460482587434,Sag-A,rv2_coarse,per_band
8,Ingress,6,1.1127816980132288,0.4542912258733753,Sag-A,rv2_coarse,per_band
9,Egress,8,-1.100404874491851,-0.3890518744019598,Sag-A,rv2_coarse,per_band
9,Ingress,6,-7.280325556838836,-2.9721804625998263,Sag-A,rv2_coarse,per_band
