event_type,pre_event_time,post_event_time,gap_seconds
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,3.809
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,1.925
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,3.81
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,1.925
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,1.925
Egress,1974-09-08 04:50:20.705,1974-09-08 04:50:22.630,1.925
Egress,1974-09-08 08:31:35.321,1974-09-08 08:31:37.246,1.925
Egress,1974-09-08 12:14:16.298,1974-09-08 12:14:18.223,1.925
Egress,1974-09-08 19:38:10.003,1974-09-08 19:38:11.928,1.925
Egress,1974-09-09 03:02:05.577,1974-09-09 03:02:07.502,1.925
Egress,1974-09-09 17:49:49.032,1974-09-09 17:49:50.957,1.925
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,1.925
Ingress,1974-09-13 02:33:14.873,1974-09-13 02:33:16.798,1.925
Ingress,1974-09-13 06:15:11.560,1974-09-13 06:15:13.485,1.925
Ingress,1974-09-13 09:57:06.366,1974-09-13 09:57:08.291,1.925
Ingress,1974-09-13 13:38:59.461,1974-09-13 13:39:03.271,3.81
