event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,all,1258815.0,1697819.0,1.5495580942875973,0.42490428658881896,Sag-A,rv2_coarse,combined
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,all,2033848.0,1906337.0,0.4486830055569015,0.24255181271148168,Sag-A,rv2_coarse,combined
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,all,1083530.0,1729291.0,2.2494191368473837,0.002439370035400986,Sag-A,rv2_coarse,combined
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,all,2296107.0,1529654.5,2.487140439690859,0.4616989346731708,Sag-A,rv2_coarse,combined
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,all,1576990.0,1494547.0,-0.2802836150974385,0.29587695882265164,Sag-A,rv2_coarse,combined
Egress,1974-09-08 04:50:20.705,1974-09-08 04:50:22.630,all,2604634.5,1583319.0,-0.08728449623552974,0.31420821651382397,Sag-A,rv2_coarse,combined
Egress,1974-09-08 08:31:35.321,1974-09-08 08:31:37.246,all,1854583.0,817939.6875,-0.061855849168265524,0.14847195307636482,Sag-A,rv2_coarse,combined
Egress,1974-09-08 12:14:16.298,1974-09-08 12:14:18.223,all,1960847.0,1417207.5,-0.4947846215644063,0.34633389895310707,Sag-A,rv2_coarse,combined
Egress,1974-09-08 19:38:10.003,1974-09-08 19:38:11.928,all,1150566.0,1594395.5,1.3958153362219285,0.026986546661439757,Sag-A,rv2_coarse,combined
Egress,1974-09-09 03:02:05.577,1974-09-09 03:02:07.502,all,1253989.0,894577.0,-1.4339369293988802,0.5358054983703265,Sag-A,rv2_coarse,combined
Egress,1974-09-09 17:49:49.032,1974-09-09 17:49:50.957,all,2108146.0,2759386.0,1.090194500178673,0.23494849180670238,Sag-A,rv2_coarse,combined
Ingress,1974-09-09 23:59:57.272,1974-09-09 23:59:59.197,all,1040301.90625,1075497.5,-0.06609170591328774,0.3159289495933498,Sag-A,rv2_coarse,combined
Ingress,1974-09-13 02:33:14.873,1974-09-13 02:33:16.798,all,7845481.0,1221913.0,2.692217567700221,0.37876978098759273,Sag-A,rv2_coarse,combined
Ingress,1974-09-13 06:15:11.560,1974-09-13 06:15:13.485,all,4132522.0,7292804.0,-1.0416414320274805,0.35336307852578275,Sag-A,rv2_coarse,combined
Ingress,1974-09-13 09:57:06.366,1974-09-13 09:57:08.291,all,2334199.0,10151664.0,-1.8782588100712012,0.31519626769675063,Sag-A,rv2_coarse,combined
Ingress,1974-09-13 13:38:59.461,1974-09-13 13:39:03.271,all,6787730.0,12228999.0,-1.1904427971971319,0.000629183616952188,Sag-A,rv2_coarse,combined
