event_type,pre_event_time,post_event_time,frequency_band,pre_median,post_median,dip_z_score,ttest_pvalue,target,data_col,analysis_mode
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,1,481511.0,550125.75,2.314078351482638,0.08775776516188773,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,2,2421595.0,2627882.0,2.515943020143882,0.3008286022925191,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,3,2181112.0,1985410.0,-3.935240032357407,0.040572657779366826,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,4,1808554.0,1671417.0,-2.632952449797056,0.015676958301803903,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,5,5819650.0,5819650.0,0.0,0.968946028470816,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,6,523826.5,466859.375,-2.5477413042207373,0.14858962733132763,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,7,402694.0625,402694.0625,0.0,0.6592452740708747,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,8,1048369.0625,956732.6875,-0.6572491215395672,0.913775676520612,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 14:02:27.716,1974-09-07 14:02:31.525,9,413784.625,411706.03125,-0.05256308020083646,0.9429494839593381,Sag-A,rv2_coarse,per_band
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,1,509079.6875,437737.6875,4.6795198049276605,0.0009702470413864067,Sag-A,rv2_coarse,per_band
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,2,3515582.0,2993686.0,3.588361611577019,0.009398734094663599,Sag-A,rv2_coarse,per_band
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,3,2471753.0,2558595.0,-1.4784407525725483,0.8307638132799331,Sag-A,rv2_coarse,per_band
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,4,2100762.0,2033848.0,1.2167192112690508,0.9311061104553416,Sag-A,rv2_coarse,per_band
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,5,5793369.0,5793369.0,0.0,0.9641117586879353,Sag-A,rv2_coarse,per_band
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,6,856342.0625,805926.375,0.6881005327318157,0.8053239271094572,Sag-A,rv2_coarse,per_band
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,7,652336.625,1089928.5625,-3.275352923494505,0.02414670039873753,Sag-A,rv2_coarse,per_band
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,8,748251.625,482835.8125,2.9531438961467735,0.04887524233472769,Sag-A,rv2_coarse,per_band
Ingress,1974-09-07 20:47:34.295,1974-09-07 20:47:36.220,9,618989.53125,1044287.8125,-0.7008816341141698,0.18405844449581127,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,1,2529010.0,4242361.0,1.6926309873443637,0.008994062405334652,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,2,2865531.0,3015802.0,1.1765711604834075,0.5559950129143858,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,3,2177681.0,1982464.0,-3.693718244175938,0.0006512045074410478,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,4,1805438.0,1641630.0,-3.225196853443987,0.022523094376622234,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,5,5374777.0,5815894.0,2.692420683143413,0.9682203052349033,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,6,775209.0,1007840.4375,2.017578289370382,0.04642812545168132,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,7,551708.75,452518.5,-1.108267922622267,0.07920340010856047,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,8,463338.0625,638907.25,1.737324209379424,0.09207243200412468,Sag-A,rv2_coarse,per_band
Egress,1974-09-07 21:26:21.316,1974-09-07 21:26:25.126,9,1425782.0,916868.875,-1.3837117271967747,0.26237980857445087,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,1,720787.625,1161370.0,-4.358740002324273,0.006309978626412211,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,2,3913401.0,4128876.0,-1.7424795401353272,0.024341364412327204,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,3,3203860.0,3589550.0,-2.329594708078634,0.621311877057195,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,4,2296107.0,2527679.0,-2.1468783864135768,0.09906452733304365,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,5,6781977.0,7278928.0,-1.7393123510872972,0.02232474764493439,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,6,826273.0,1005837.4375,-3.004465958812073,0.04492424363208707,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,7,1083471.0,2242347.5,-4.266923748439606,0.005723363871411492,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,8,1300689.0,366751.34375,3.00485517635771,0.0678976486318164,Sag-A,rv2_coarse,per_band
Ingress,1974-09-08 00:29:31.163,1974-09-08 00:29:33.088,9,826221.71875,798345.5,0.10564675195664061,0.6083940251687368,Sag-A,rv2_coarse,per_band
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,1,494026.25,439854.59375,-1.0885701861713661,0.7853133298977901,Sag-A,rv2_coarse,per_band
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,2,3515582.0,3161010.0,-3.6174806502397527,0.005333010542101135,Sag-A,rv2_coarse,per_band
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,3,2160623.0,2095772.0,-1.0303217072968132,0.2507351372141394,Sag-A,rv2_coarse,per_band
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,4,1705579.0,1534254.0,-4.153596414731757,0.0003206051639382234,Sag-A,rv2_coarse,per_band
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,5,6041770.0,5797122.0,-1.1457250464180089,0.05689158881723377,Sag-A,rv2_coarse,per_band
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,6,646216.0,540391.625,-4.017304310216677,0.004550082389405726,Sag-A,rv2_coarse,per_band
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,7,810731.25,484904.5,-5.895775085332962,0.0015220517908298649,Sag-A,rv2_coarse,per_band
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,8,520996.125,405440.4375,-0.42965272613737016,0.6108479001919682,Sag-A,rv2_coarse,per_band
Egress,1974-09-08 01:08:21.979,1974-09-08 01:08:23.904,9,586002.15625,604937.15625,0.015318885359733019,0.37208734985345915,Sag-A,rv2_coarse,per_band
Egress,1974-09-08 04:50:20.705,1974-09-08 04:50:22.630,1,230669280.0,223498336.0,-0.043484194372775044,0.308657550851484,Sag-A,rv2_coarse,per_band
