target,kind,data_col,frequency_band,frequency_mhz,z_score,random_percentile,random_n
Fornax-A,fixed,rv2_coarse,1,0.45,-3.911483317757232,0.094,500
Cygnus-A,fixed,rv2_coarse,1,0.45,14.641394452654511,0.934,500
Sag-A,fixed,rv2_coarse,1,0.45,3.0628477643037058,0.742,500
Mercury,planet,rv2_coarse,1,0.45,-0.1395699841941045,0.294,500
Venus,planet,rv2_coarse,1,0.45,0.2521528296244111,0.324,500
Mars,planet,rv2_coarse,1,0.45,7.007535991217178,0.886,500
Jupiter,planet,rv2_coarse,1,0.45,5.337476009880281,0.866,500
Saturn,planet,rv2_coarse,1,0.45,1.3073747142947358,0.474,500
Uranus,planet,rv2_coarse,1,0.45,-0.5416794295767258,0.262,500
Neptune,planet,rv2_coarse,1,0.45,2.920191857765317,0.724,500
Fornax-A,fixed,rv2_coarse,2,0.7,-1.3854677656785368,0.184,500
Cygnus-A,fixed,rv2_coarse,2,0.7,12.628722831643687,0.774,500
Sag-A,fixed,rv2_coarse,2,0.7,1.0665980385586429,0.4,500
Mercury,planet,rv2_coarse,2,0.7,1.730992396709773,0.444,500
Venus,planet,rv2_coarse,2,0.7,1.934127954992,0.46,500
Mars,planet,rv2_coarse,2,0.7,2.2084673885093666,0.468,500
Jupiter,planet,rv2_coarse,2,0.7,12.602761190326234,0.762,500
Saturn,planet,rv2_coarse,2,0.7,4.086064304326299,0.604,500
Uranus,planet,rv2_coarse,2,0.7,-1.7961505493713743,0.15,500
Neptune,planet,rv2_coarse,2,0.7,-0.34410066520428706,0.266,500
Fornax-A,fixed,rv2_coarse,3,0.9,2.398401356839447,0.506,500
Cygnus-A,fixed,rv2_coarse,3,0.9,2.4535976939183355,0.518,500
Sag-A,fixed,rv2_coarse,3,0.9,2.260389291340149,0.428,500
Mercury,planet,rv2_coarse,3,0.9,2.681038959658011,0.596,500
Venus,planet,rv2_coarse,3,0.9,2.531096011911046,0.534,500
Mars,planet,rv2_coarse,3,0.9,2.8018371533565163,0.706,500
Jupiter,planet,rv2_coarse,3,0.9,2.8349984968535025,0.722,500
Saturn,planet,rv2_coarse,3,0.9,1.2439873797874785,0.254,500
Uranus,planet,rv2_coarse,3,0.9,2.9030227854640946,0.768,500
Neptune,planet,rv2_coarse,3,0.9,2.1010264642808325,0.4,500
Fornax-A,fixed,rv2_coarse,4,1.31,6.24665497906085,0.582,500
Cygnus-A,fixed,rv2_coarse,4,1.31,0.96941669032502,0.384,500
Sag-A,fixed,rv2_coarse,4,1.31,2.199094469396646,0.396,500
Mercury,planet,rv2_coarse,4,1.31,1.3539521534935959,0.384,500
Venus,planet,rv2_coarse,4,1.31,1.6978120000686416,0.388,500
Mars,planet,rv2_coarse,4,1.31,5.096254977870247,0.5,500
Jupiter,planet,rv2_coarse,4,1.31,8.537758418572304,0.814,500
Saturn,planet,rv2_coarse,4,1.31,-2.011224481737595,0.244,500
Uranus,planet,rv2_coarse,4,1.31,8.21586317150978,0.77,500
Neptune,planet,rv2_coarse,4,1.31,1.02624346498667,0.384,500
Fornax-A,fixed,rv2_coarse,5,2.2,-0.7744758494574968,0.15,500
Cygnus-A,fixed,rv2_coarse,5,2.2,3.6755573973788542,0.712,500
Sag-A,fixed,rv2_coarse,5,2.2,3.5083806382930693,0.594,500
Mercury,planet,rv2_coarse,5,2.2,3.8927043221673343,0.96,500
Venus,planet,rv2_coarse,5,2.2,3.6585644984885533,0.692,500
Mars,planet,rv2_coarse,5,2.2,3.8553508283582336,0.786,500
Jupiter,planet,rv2_coarse,5,2.2,3.8771923303844447,0.898,500
Saturn,planet,rv2_coarse,5,2.2,3.306435281858168,0.542,500
Uranus,planet,rv2_coarse,5,2.2,3.877765599664245,0.906,500
Neptune,planet,rv2_coarse,5,2.2,-0.37958443322630464,0.224,500
Fornax-A,fixed,rv2_coarse,6,3.93,1.3622205868669486,0.428,500
Cygnus-A,fixed,rv2_coarse,6,3.93,2.1992769444435445,0.834,500
Sag-A,fixed,rv2_coarse,6,3.93,1.7370856473336662,0.61,500
Mercury,planet,rv2_coarse,6,3.93,1.8549155855523793,0.636,500
Venus,planet,rv2_coarse,6,3.93,1.9815369884465246,0.67,500
Mars,planet,rv2_coarse,6,3.93,1.2794885292632374,0.316,500
Jupiter,planet,rv2_coarse,6,3.93,1.9370870997332226,0.656,500
Saturn,planet,rv2_coarse,6,3.93,1.7879823733293845,0.624,500
Uranus,planet,rv2_coarse,6,3.93,1.8445609117070212,0.636,500
Neptune,planet,rv2_coarse,6,3.93,1.6559499974281877,0.556,500
Fornax-A,fixed,rv2_coarse,7,4.7,-0.7303802153684228,0.24,500
Cygnus-A,fixed,rv2_coarse,7,4.7,8.540360624316977,0.78,500
Sag-A,fixed,rv2_coarse,7,4.7,-2.194550956972734,0.018,500
Mercury,planet,rv2_coarse,7,4.7,0.845681402281321,0.45,500
Venus,planet,rv2_coarse,7,4.7,0.28980583799179765,0.396,500
Mars,planet,rv2_coarse,7,4.7,0.3046665836255278,0.396,500
Jupiter,planet,rv2_coarse,7,4.7,8.547658936457276,0.866,500
Saturn,planet,rv2_coarse,7,4.7,3.0826345569131828,0.626,500
Uranus,planet,rv2_coarse,7,4.7,-0.09722376468387198,0.344,500
Neptune,planet,rv2_coarse,7,4.7,-0.3251014572749613,0.32,500
Fornax-A,fixed,rv2_coarse,8,6.55,1.7808833414921645,0.692,500
Cygnus-A,fixed,rv2_coarse,8,6.55,15.65881336832185,0.926,500
Sag-A,fixed,rv2_coarse,8,6.55,1.2932879006146598,0.614,500
Mercury,planet,rv2_coarse,8,6.55,-0.9837430828770208,0.112,500
Venus,planet,rv2_coarse,8,6.55,-1.0848114641609858,0.108,500
Mars,planet,rv2_coarse,8,6.55,0.8854444995917278,0.532,500
Jupiter,planet,rv2_coarse,8,6.55,14.457409158035203,0.87,500
Saturn,planet,rv2_coarse,8,6.55,0.2750821939929776,0.362,500
Uranus,planet,rv2_coarse,8,6.55,-0.6214124487269665,0.154,500
Neptune,planet,rv2_coarse,8,6.55,-0.8467051955906258,0.122,500
Fornax-A,fixed,rv2_coarse,9,9.18,0.9035622777617415,0.46,500
Cygnus-A,fixed,rv2_coarse,9,9.18,17.9872431452705,0.858,500
Sag-A,fixed,rv2_coarse,9,9.18,2.6705537827666292,0.634,500
Mercury,planet,rv2_coarse,9,9.18,-1.4812080759677573,0.156,500
Venus,planet,rv2_coarse,9,9.18,-0.9568345454130583,0.228,500
Mars,planet,rv2_coarse,9,9.18,0.20664182623309174,0.35,500
Jupiter,planet,rv2_coarse,9,9.18,0.1251508544899393,0.344,500
Saturn,planet,rv2_coarse,9,9.18,-0.21378361328841056,0.314,500
Uranus,planet,rv2_coarse,9,9.18,-0.8475022538755986,0.24,500
Neptune,planet,rv2_coarse,9,9.18,-0.11975782846012388,0.322,500
