target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Fornax-A,fixed,rv1_coarse,1,0.45,137655,425248,60038547.79916239,67436726.38024415,7398178.581081763,11.984787962410769,0.0
Fornax-A,fixed,rv1_coarse,2,0.7,140780,435699,23181175.274192784,22315792.082909096,-865383.191283688,-2.875036277017566,0.004039810794653098
Fornax-A,fixed,rv1_coarse,3,0.9,140624,435898,2616088.715528809,2896999.0647765542,280910.34924774524,2.7203205113915288,0.006521866754799488
Fornax-A,fixed,rv1_coarse,4,1.31,140864,436135,2555715.1818443844,2356076.0323862094,-199639.14945817506,-3.3174368592163472,0.0009084744689027424
Fornax-A,fixed,rv1_coarse,5,2.2,140663,435351,1835379.9625920586,1475332.9516100434,-360047.01098201517,-4.219797214728523,2.4452216390358217e-05
Fornax-A,fixed,rv1_coarse,6,3.93,140398,434617,2818334.893530078,2971085.3467000765,152750.45316999825,1.5304954195991567,0.12589414637398777
Fornax-A,fixed,rv1_coarse,7,4.7,138765,427718,713908.0447590372,645526.9922978524,-68381.0524611848,-1.9518430074863011,0.050956846442690384
Fornax-A,fixed,rv1_coarse,8,6.55,138469,427718,1264556.5662254503,1512366.3753153335,247809.80908988323,6.076343734180267,1.2295371387693876e-09
Fornax-A,fixed,rv1_coarse,9,9.18,125516,390032,1422099.7951055854,1976946.5064158197,554846.7113102344,6.9182370399569875,4.57300863843102e-12
Cygnus-A,fixed,rv1_coarse,1,0.45,2852,560051,11538114.938778857,65902984.93036233,54364869.991583474,41.83559805858105,0.0
Cygnus-A,fixed,rv1_coarse,2,0.7,2852,573627,11823810.6151624,22580339.910704736,10756529.295542335,10.015457307821789,0.0
Cygnus-A,fixed,rv1_coarse,3,0.9,2827,573695,2967325.288844181,2827795.8310233327,-139529.45782084856,-0.8120435863146388,0.41676662183282565
Cygnus-A,fixed,rv1_coarse,4,1.31,2835,574164,2250718.5883597885,2405575.230355938,154856.64199614944,1.964186598381745,0.049508456397440614
Cygnus-A,fixed,rv1_coarse,5,2.2,2816,573198,1489992.3987424157,1563616.6017669498,73624.20302453404,1.3448177155001362,0.17868410785137145
Cygnus-A,fixed,rv1_coarse,6,3.93,2782,572233,1445009.0102668942,2941027.112106468,1496018.1018395738,3.4808931933303953,0.0004997447272012678
Cygnus-A,fixed,rv1_coarse,7,4.7,2759,563724,471172.99791591155,663212.8446214648,192039.8467055533,10.246315097463576,0.0
Cygnus-A,fixed,rv1_coarse,8,6.55,2773,563414,553232.7353498016,1456183.3573725016,902950.6220227,31.910777592864644,0.0
Cygnus-A,fixed,rv1_coarse,9,9.18,2458,513090,1441715.1827705451,1843779.7301713105,402064.54740076535,0.7987374148787075,0.4244426870280251
Sag-A,fixed,rv1_coarse,1,0.45,83094,479809,69345092.29714198,64983729.395865925,-4361362.901276059,-5.477151268934043,4.3222770473860805e-08
Sag-A,fixed,rv1_coarse,2,0.7,85530,490949,19619646.847775064,23033646.580280364,3413999.732505299,10.459225103164748,0.0
Sag-A,fixed,rv1_coarse,3,0.9,85641,490881,3802665.436596411,2658519.8596298094,-1144145.5769666014,-8.81593052140913,0.0
Sag-A,fixed,rv1_coarse,4,1.31,85791,491208,2918563.1195938815,2315086.552269116,-603476.5673247655,-7.212607729060822,5.488942633746774e-13
Sag-A,fixed,rv1_coarse,5,2.2,85405,490609,1565033.0163580244,1562947.4443648874,-2085.5719931370113,-0.05022100767133825,0.9599462709745468
Sag-A,fixed,rv1_coarse,6,3.93,85033,489982,2802843.880802297,2956513.828655586,153669.94785328908,1.4093238629835456,0.1587394258045065
Sag-A,fixed,rv1_coarse,7,4.7,83811,482672,540477.4373760435,683426.8601010977,142949.4227250542,4.0441053072838375,5.252330906957425e-05
Sag-A,fixed,rv1_coarse,8,6.55,83401,482786,1388024.1665093834,1462771.4991212392,74747.33261185582,1.5068321491003598,0.1318536867359379
Sag-A,fixed,rv1_coarse,9,9.18,76457,439091,2463652.7024820223,1733593.2255481887,-730059.4769338337,-4.808962439832157,1.5171570715288851e-06
Mercury,planet,rv1_coarse,1,0.45,1804,561099,96058835.01237704,65529700.06839688,-30529134.943980157,-5.442782170480165,5.24547760782923e-08
Mercury,planet,rv1_coarse,2,0.7,1829,574650,14283347.371625502,22553362.755572207,8270015.383946706,2.169766602325016,0.030024531634028406
Mercury,planet,rv1_coarse,3,0.9,1827,574695,2258881.7660098523,2830290.8166662203,571409.050656368,3.245613175273229,0.0011719796929805515
Mercury,planet,rv1_coarse,4,1.31,1813,575186,1968886.3629343628,2406188.4204137214,437302.0574793585,5.655941182646812,1.549945438661382e-08
Mercury,planet,rv1_coarse,5,2.2,1866,574148,1342372.2721642905,1563974.5515696516,221602.27940536104,9.457492132637883,0.0
Mercury,planet,rv1_coarse,6,3.93,1867,573148,2540034.9072521925,2935071.8092652215,395036.902013029,0.5326941147577503,0.5942453407516162
Mercury,planet,rv1_coarse,7,4.7,1833,564650,1280109.5667621386,660271.8907053318,-619837.6760568068,-0.8833085961038306,0.3770695606067722
Mercury,planet,rv1_coarse,8,6.55,1842,564345,962912.3728246037,1453356.5813377504,490444.20851314673,3.1650110235822844,0.0015507707565156625
Mercury,planet,rv1_coarse,9,9.18,1745,513803,3339873.8878313038,1836775.1798618964,-1503098.7079694073,-1.1485864473410925,0.25072654806794303
Venus,planet,rv1_coarse,1,0.45,13677,549226,48240213.747367725,66060525.01814736,17820311.270779632,11.499998547247568,0.0
Venus,planet,rv1_coarse,2,0.7,13840,562639,13935320.945946064,22738468.73028776,8803147.784341697,11.159186466040511,0.0
Venus,planet,rv1_coarse,3,0.9,13930,562592,1853943.5805859657,2852609.9265416693,998666.3459557036,6.576167796156952,4.827271915530673e-11
Venus,planet,rv1_coarse,4,1.31,13918,563081,1796412.5932452332,2419852.5847743033,623439.9915290701,10.146664592742667,0.0
Venus,planet,rv1_coarse,5,2.2,14012,562002,1313194.5816536755,1569491.29187501,256296.71022133436,10.910314858939907,0.0
Venus,planet,rv1_coarse,6,3.93,13917,561098,1525306.5271220114,2968723.9868447687,1443417.4597227573,8.113465670069308,4.440892098500626e-16
Venus,planet,rv1_coarse,7,4.7,13645,552838,537110.7185081138,665366.8672714202,128256.14876330644,6.822531789779636,8.945066909404886e-12
Venus,planet,rv1_coarse,8,6.55,13443,552744,1198601.073236049,1457917.9697261,259316.89649005118,2.035770801761202,0.04177337568163275
Venus,planet,rv1_coarse,9,9.18,12376,503172,1633171.9188436794,1846995.743016778,213823.82417309866,1.086749212752916,0.2771476583046508
Mars,planet,rv1_coarse,1,0.45,17510,545393,58242006.983697124,65864654.98228842,7622647.998591296,5.218345010571618,1.8052895311981842e-07
Mars,planet,rv1_coarse,2,0.7,17894,558585,14864652.930721615,22772587.96833058,7907935.037608966,14.325458752115841,0.0
Mars,planet,rv1_coarse,3,0.9,17770,558752,1869337.9043900245,2858983.6337220855,989645.729332061,20.335900064064706,0.0
Mars,planet,rv1_coarse,4,1.31,17809,559190,1703360.3089615272,2427154.169455446,723793.8604939186,28.30756895558519,0.0
Mars,planet,rv1_coarse,5,2.2,17811,558203,1210149.6002711812,1574523.5209485446,364373.9206773634,15.693652906041285,0.0
Mars,planet,rv1_coarse,6,3.93,18002,557013,3697246.049402063,2909115.153734737,-788130.8956673257,-2.9262243187093873,0.003431034447274328
Mars,planet,rv1_coarse,7,4.7,17681,548802,533325.4292463319,666432.0410788157,133106.6118324838,1.7720070326337105,0.07639338983214872
Mars,planet,rv1_coarse,8,6.55,17565,548622,1583985.8340680348,1447527.611562042,-136458.22250599274,-1.2430750229425291,0.2138401888366248
Mars,planet,rv1_coarse,9,9.18,15999,499549,2282671.4577461383,1827745.060084931,-454926.39766120724,-1.3521154319045867,0.17633839136993346
Jupiter,planet,rv1_coarse,1,0.45,315,562588,175793180.22757936,65565857.19081826,-110227323.0367611,-5.526091477663943,3.274434456912445e-08
Jupiter,planet,rv1_coarse,2,0.7,321,576158,9312097.753582284,22534487.009558786,13222389.255976502,6.984413988785138,2.8603786006442533e-12
Jupiter,planet,rv1_coarse,3,0.9,327,576195,1912248.20279052,2828999.996022494,916751.7932319741,3.2398798431384566,0.00119580078442727
Jupiter,planet,rv1_coarse,4,1.31,324,576675,1726311.9197530865,2405195.5758409617,678883.6560878751,9.682141869959107,0.0
