target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Fornax-A,fixed,rv2_coarse,1,0.45,137655,425248,4287805282.128169,3489641379.980405,-798163902.1477642,-3.911483317757232,9.173099344761404e-05
Fornax-A,fixed,rv2_coarse,2,0.7,140780,435699,321234476.6013742,249657825.3704942,-71576651.23088002,-1.3854677656785368,0.16590948237141223
Fornax-A,fixed,rv2_coarse,3,0.9,140624,435898,3230232.939570681,13779840.81899997,10549607.879429288,2.398401356839447,0.01646681107855441
Fornax-A,fixed,rv2_coarse,4,1.31,140864,436135,1910937.2852774365,3106282.1011712374,1195344.815893801,6.24665497906085,4.1933589933762505e-10
Fornax-A,fixed,rv2_coarse,5,2.2,140663,435351,25857959.083922293,15829008.6624623,-10028950.421459993,-0.7744758494574968,0.4386494444771558
Fornax-A,fixed,rv2_coarse,6,3.93,140398,434617,2646225.264247596,6337492.083594581,3691266.8193469853,1.3622205868669486,0.17312828070203423
Fornax-A,fixed,rv2_coarse,7,4.7,138765,427718,92461499.33761705,74507986.1450437,-17953513.192573354,-0.7303802153684228,0.4651578083811252
Fornax-A,fixed,rv2_coarse,8,6.55,138469,427718,211900069.4309058,271177608.9012712,59277539.470365435,1.7808833414921645,0.07493151056902025
Fornax-A,fixed,rv2_coarse,9,9.18,125516,390032,229135783.45205417,256101025.51875913,26965242.06670496,0.9035622777617415,0.36622755122860906
Cygnus-A,fixed,rv2_coarse,1,0.45,2852,560051,232699178.20303735,3702407808.59069,3469708630.387653,14.641394452654511,0.0
Cygnus-A,fixed,rv2_coarse,2,0.7,2852,573627,6138254.643758765,268434972.8478548,262296718.20409602,12.628722831643687,0.0
Cygnus-A,fixed,rv2_coarse,3,0.9,2827,573695,3074269.3930624337,11246677.015906448,8172407.622844014,2.4535976939183355,0.014143511542682896
Cygnus-A,fixed,rv2_coarse,4,1.31,2835,574164,2644556.937962963,2815298.9303204543,170741.99235749152,0.96941669032502,0.33233732818377204
Cygnus-A,fixed,rv2_coarse,5,2.2,2816,573198,1994226.7357954546,18358084.128600217,16363857.392804762,3.6755573973788542,0.00023733067312314837
Cygnus-A,fixed,rv2_coarse,6,3.93,2782,572233,940073.6735936376,5458076.074930182,4518002.401336544,2.1992769444435445,0.027858236049292717
Cygnus-A,fixed,rv2_coarse,7,4.7,2759,563724,396988.84319499816,79290098.49031061,78893109.64711562,8.540360624316977,0.0
Cygnus-A,fixed,rv2_coarse,8,6.55,2773,563414,4294232.7281867,257922641.8418903,253628409.1137036,15.65881336832185,0.0
Cygnus-A,fixed,rv2_coarse,9,9.18,2458,513090,2002249.9803702198,250721862.92940605,248719612.94903582,17.9872431452705,0.0
Sag-A,fixed,rv2_coarse,1,0.45,83094,479809,3070412378.505782,3791233610.636109,720821232.1303267,3.0628477643037058,0.002192415635396072
Sag-A,fixed,rv2_coarse,2,0.7,85530,490949,219387032.3882628,275456068.9437646,56069036.55550182,1.0665980385586429,0.28615338660275613
Sag-A,fixed,rv2_coarse,3,0.9,85641,490881,3719593.48496499,12512815.98711042,8793222.502145428,2.260389291340149,0.02379710053800088
Sag-A,fixed,rv2_coarse,4,1.31,85791,491208,2498362.5485700713,2869667.416946107,371304.8683760357,2.199094469396646,0.027871205714696368
Sag-A,fixed,rv2_coarse,5,2.2,85405,490609,2735664.811768193,20983702.695189703,18248037.88342151,3.5083806382930693,0.00045084349267798807
Sag-A,fixed,rv2_coarse,6,3.93,85033,489982,1880367.5900598885,6053310.5996952895,4172943.009635401,1.7370856473336662,0.08237205435489048
Sag-A,fixed,rv2_coarse,7,4.7,83811,482672,141684382.051115,68005015.8896398,-73679366.16147521,-2.194550956972734,0.028195824840756556
Sag-A,fixed,rv2_coarse,8,6.55,83401,482786,212177719.67169163,264368273.39592132,52190553.72422969,1.2932879006146598,0.19591150379235822
Sag-A,fixed,rv2_coarse,9,9.18,76457,439091,171683432.22152898,263092165.4134092,91408733.19188023,2.6705537827666292,0.007572623904909648
Random-00,random,rv2_coarse,1,0.45,86426,476477,3188556366.5619216,3774844706.310649,586288339.7487273,2.6499454701040586,0.008050476326195266
Random-00,random,rv2_coarse,2,0.7,88212,488267,136041594.48307246,290821524.5746684,154779930.09159595,3.9742448825511802,7.060289348959081e-05
Random-00,random,rv2_coarse,3,0.9,88449,488073,4876626.015438981,12353727.07725089,7477101.061811909,1.8826924462122714,0.05974205972905122
Random-00,random,rv2_coarse,4,1.31,88527,488472,3848635.6826801426,2627033.776484657,-1221601.9061954855,-1.6563797228549018,0.0976449448081973
Random-00,random,rv2_coarse,5,2.2,88412,487602,3126402.606517639,21025388.209207404,17898985.602689765,3.4194172198712027,0.0006275542354523544
Random-00,random,rv2_coarse,6,3.93,88161,486854,2071542.0297379403,6045502.994042841,3973960.9643049007,1.6408332411101834,0.10083203597128931
Random-00,random,rv2_coarse,7,4.7,86121,480362,31884576.588489473,87335999.00323698,55451422.41474751,3.464935957375235,0.0005303577605599852
