target,kind,data_col,z_score,random_percentile,random_n
Fornax-A,fixed,rv2_coarse,1.5441422163401333,0.496,500
Cygnus-A,fixed,rv2_coarse,1.7835806110943992,0.678,500
Sag-A,fixed,rv2_coarse,-0.07115798433253884,0.2,500
Mercury,planet,rv2_coarse,1.6416972901013558,0.554,500
Venus,planet,rv2_coarse,1.9256921480279374,0.802,500
Mars,planet,rv2_coarse,1.9571600712131068,0.804,500
Jupiter,planet,rv2_coarse,1.7206795018517067,0.626,500
Saturn,planet,rv2_coarse,-1.2967191612007434,0.01,500
Uranus,planet,rv2_coarse,1.699751598814417,0.606,500
Neptune,planet,rv2_coarse,-0.14215806291074973,0.182,500
