target,kind,data_col,frequency_band,frequency_mhz,z_score,random_percentile,random_n
Fornax-A,fixed,rv2_coarse,1,0.45,1.271226552734786,0.41898148148148145,432
Cygnus-A,fixed,rv2_coarse,1,0.45,1.5280924963487288,0.7037037037037037,432
Sag-A,fixed,rv2_coarse,1,0.45,1.4566179816312033,0.5462962962962963,432
Mercury,planet,rv2_coarse,1,0.45,1.590835263532554,0.8240740740740741,432
Venus,planet,rv2_coarse,1,0.45,1.6753017525044593,0.8611111111111112,432
Mars,planet,rv2_coarse,1,0.45,1.6957604630238545,0.8726851851851852,432
Jupiter,planet,rv2_coarse,1,0.45,1.7378291118269318,0.9907407407407407,432
Saturn,planet,rv2_coarse,1,0.45,-1.3578622253356774,0.011574074074074073,432
Uranus,planet,rv2_coarse,1,0.45,1.4379747490223294,0.5300925925925926,432
Neptune,planet,rv2_coarse,1,0.45,1.5075766772353665,0.6550925925925926,432
Fornax-A,fixed,rv2_coarse,2,0.7,0.4739162915619352,0.39068825910931176,494
Cygnus-A,fixed,rv2_coarse,2,0.7,3.0154413765453216,0.7975708502024291,494
Sag-A,fixed,rv2_coarse,2,0.7,-0.5147322854249905,0.22469635627530365,494
Mercury,planet,rv2_coarse,2,0.7,3.0813381742856376,0.7975708502024291,494
Venus,planet,rv2_coarse,2,0.7,1.8170231558121455,0.520242914979757,494
Mars,planet,rv2_coarse,2,0.7,2.813894387493062,0.7854251012145749,494
Jupiter,planet,rv2_coarse,2,0.7,-0.5501575111176157,0.2145748987854251,494
Saturn,planet,rv2_coarse,2,0.7,2.4064190134868526,0.7145748987854251,494
Uranus,planet,rv2_coarse,2,0.7,2.7723404506293745,0.7773279352226721,494
Neptune,planet,rv2_coarse,2,0.7,-0.5641050387072148,0.2145748987854251,494
Fornax-A,fixed,rv2_coarse,3,0.9,1.2472546778458355,0.6944444444444444,432
Cygnus-A,fixed,rv2_coarse,3,0.9,1.278067255854833,0.75,432
Sag-A,fixed,rv2_coarse,3,0.9,-1.0696306540225902,0.032407407407407406,432
Mercury,planet,rv2_coarse,3,0.9,1.400891542402578,0.9166666666666666,432
Venus,planet,rv2_coarse,3,0.9,1.3403541112278872,0.8356481481481481,432
Mars,planet,rv2_coarse,3,0.9,1.1383946083464471,0.5462962962962963,432
Saturn,planet,rv2_coarse,3,0.9,1.0547411122303636,0.4097222222222222,432
Uranus,planet,rv2_coarse,3,0.9,1.3270119714650794,0.8217592592592593,432
Neptune,planet,rv2_coarse,3,0.9,0.7603057265535487,0.2916666666666667,432
Fornax-A,fixed,rv2_coarse,4,1.31,3.443004214097861,0.8648068669527897,466
Cygnus-A,fixed,rv2_coarse,4,1.31,-1.2259982941254213,0.17167381974248927,466
Sag-A,fixed,rv2_coarse,4,1.31,-2.001943018840221,0.02145922746781116,466
Mercury,planet,rv2_coarse,4,1.31,1.9872382894125493,0.5085836909871244,466
Venus,planet,rv2_coarse,4,1.31,3.4847375446235103,0.869098712446352,466
Mars,planet,rv2_coarse,4,1.31,-0.10108463023651605,0.351931330472103,466
Saturn,planet,rv2_coarse,4,1.31,0.0854090722024689,0.3798283261802575,466
Uranus,planet,rv2_coarse,4,1.31,2.239148382882527,0.5493562231759657,466
Neptune,planet,rv2_coarse,4,1.31,-1.5581471295647713,0.1223175965665236,466
Fornax-A,fixed,rv2_coarse,5,2.2,-0.6338397679928263,0.2775423728813559,472
Cygnus-A,fixed,rv2_coarse,5,2.2,1.4265636249324696,0.5911016949152542,472
Sag-A,fixed,rv2_coarse,5,2.2,-0.814165083311623,0.23516949152542374,472
Venus,planet,rv2_coarse,5,2.2,5.085870891340409,0.6758474576271186,472
Mars,planet,rv2_coarse,5,2.2,6.2367880243533085,0.7711864406779662,472
Saturn,planet,rv2_coarse,5,2.2,0.20596156164133922,0.4216101694915254,472
Uranus,planet,rv2_coarse,5,2.2,6.359502047268295,0.7711864406779662,472
Neptune,planet,rv2_coarse,5,2.2,1.2839716378219475,0.586864406779661,472
Fornax-A,fixed,rv2_coarse,6,3.93,0.12518374236654048,0.44646924829157175,439
Cygnus-A,fixed,rv2_coarse,6,3.93,5.947791073988722,0.9179954441913439,439
Sag-A,fixed,rv2_coarse,6,3.93,2.7664928295632385,0.7061503416856492,439
Mercury,planet,rv2_coarse,6,3.93,5.773957588721312,0.9043280182232346,439
Venus,planet,rv2_coarse,6,3.93,1.093313198925955,0.5649202733485194,439
Mars,planet,rv2_coarse,6,3.93,0.7359689122392516,0.5353075170842825,439
Saturn,planet,rv2_coarse,6,3.93,1.8619049534617822,0.642369020501139,439
Uranus,planet,rv2_coarse,6,3.93,5.198646427807555,0.8701594533029613,439
Neptune,planet,rv2_coarse,6,3.93,2.876476681728598,0.715261958997722,439
Fornax-A,fixed,rv2_coarse,7,4.7,0.6919079036254494,0.5407098121085595,479
Cygnus-A,fixed,rv2_coarse,7,4.7,5.81150304689244,0.9394572025052192,479
Sag-A,fixed,rv2_coarse,7,4.7,3.1890286102416567,0.7160751565762005,479
Mercury,planet,rv2_coarse,7,4.7,2.7922344160570174,0.6931106471816284,479
Venus,planet,rv2_coarse,7,4.7,1.6407235311462143,0.6597077244258872,479
Mars,planet,rv2_coarse,7,4.7,3.793330482446585,0.7411273486430062,479
Saturn,planet,rv2_coarse,7,4.7,-0.6847570003223089,0.18580375782881003,479
Uranus,planet,rv2_coarse,7,4.7,1.6646842793845613,0.6597077244258872,479
Neptune,planet,rv2_coarse,7,4.7,3.4975524450972983,0.7286012526096033,479
Fornax-A,fixed,rv2_coarse,8,6.55,1.8590840366656498,0.62004662004662,429
Sag-A,fixed,rv2_coarse,8,6.55,2.127247428214186,0.7948717948717948,429
Mercury,planet,rv2_coarse,8,6.55,1.6292779208905508,0.5058275058275058,429
Venus,planet,rv2_coarse,8,6.55,2.2757114585808096,0.8508158508158508,429
Mars,planet,rv2_coarse,8,6.55,2.341059871215898,0.9044289044289044,429
Jupiter,planet,rv2_coarse,8,6.55,2.6237578619582083,0.9790209790209791,429
Saturn,planet,rv2_coarse,8,6.55,0.23990146810707666,0.34498834498834496,429
Uranus,planet,rv2_coarse,8,6.55,2.0027415580564436,0.7482517482517482,429
Neptune,planet,rv2_coarse,8,6.55,1.774456636388539,0.5687645687645687,429
Fornax-A,fixed,rv2_coarse,9,9.18,1.0236647528141818,0.44349680170575695,469
Cygnus-A,fixed,rv2_coarse,9,9.18,1.033569662822971,0.8699360341151386,469
Sag-A,fixed,rv2_coarse,9,9.18,-0.9970351601092592,0.09381663113006397,469
Venus,planet,rv2_coarse,9,9.18,1.0313173093109897,0.6652452025586354,469
Mars,planet,rv2_coarse,9,9.18,1.0325239588811306,0.7611940298507462,469
Saturn,planet,rv2_coarse,9,9.18,1.0104306567949117,0.2878464818763326,469
Uranus,planet,rv2_coarse,9,9.18,1.032317044155978,0.7590618336886994,469
Neptune,planet,rv2_coarse,9,9.18,-0.9985886076820996,0.05543710021321962,469
