target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Random-00,random,rv2_coarse,1,0.45,166,827,2917506177.9058733,313976913.2392684,-2603529264.666605,-1.0559011833348138,0.29101336345427953
Random-00,random,rv2_coarse,2,0.7,152,752,6338883.375,19170472.652925532,12831589.277925532,2.244453374203447,0.024803245661827233
Random-00,random,rv2_coarse,3,0.9,128,781,1805133.7563476562,5469897.442941741,3664763.686594085,1.157271426750914,0.2471614835756899
Random-00,random,rv2_coarse,4,1.31,160,732,1993332.00625,2012579.8740607924,19247.86781079229,0.05840597418444091,0.9534252561869039
Random-00,random,rv2_coarse,5,2.2,155,791,2260757.6217741934,2625478.571823641,364720.9500494478,1.0093026018800255,0.3128295326875845
Random-00,random,rv2_coarse,6,3.93,131,776,1097256.0395992366,1796019.7790753867,698763.7394761501,1.8956452976077205,0.05800696321165666
Random-00,random,rv2_coarse,7,4.7,133,785,445104.59257518797,389568.9039012739,-55535.68867391406,-0.9627994907215688,0.3356481563663716
Random-00,random,rv2_coarse,8,6.55,138,772,1586981.9818840579,1734549.7709328448,147567.78904878697,0.2356461267951808,0.8137072771936706
Random-00,random,rv2_coarse,9,9.18,173,829,966844.5235729769,154691600.32874697,153724755.805174,1.0311185789796793,0.30248521629353897
Random-01,random,rv2_coarse,1,0.45,202,791,788689576.603651,739127229.2127844,-49562347.39086664,-0.06308499774299034,0.9496988205692534
Random-01,random,rv2_coarse,2,0.7,181,723,6902835.0773480665,19543973.11065007,12641138.033302004,2.0884616986449323,0.036756206932901714
Random-01,random,rv2_coarse,3,0.9,189,720,1793617.201058201,5783407.462152778,3989790.261094577,1.1604870098013127,0.2458505795852557
Random-01,random,rv2_coarse,4,1.31,197,695,1678078.461928934,2102964.2184352516,424885.7565063175,2.541002788430978,0.011053503796974118
Random-01,random,rv2_coarse,5,2.2,227,719,2278899.719988987,2656273.637343533,377373.917354546,0.8164931208408946,0.41421815640903614
Random-01,random,rv2_coarse,6,3.93,201,706,1574027.9048507463,1729564.137216714,155536.2323659677,0.38196516890061144,0.7024872005073082
Random-01,random,rv2_coarse,7,4.7,179,739,401161.71997206705,396755.82205683354,-4405.897915233509,-0.10015729698514249,0.92021944755068
Random-01,random,rv2_coarse,8,6.55,200,710,2108964.2797265626,1600398.7052321744,-508565.5744943882,-0.6094781702991822,0.5422075378881108
Random-01,random,rv2_coarse,9,9.18,224,778,2976348.9475446427,164190101.0422357,161213752.09469107,1.0148026285208802,0.31019992053195744
Random-02,random,rv2_coarse,1,0.45,181,812,212474986.82458565,868850936.1650246,656375949.340439,1.2237871469764832,0.22103253421106794
Random-02,random,rv2_coarse,2,0.7,167,737,34147449.50299401,13130368.576662144,-21017080.926331863,-0.9295466733522885,0.3526058488674142
Random-02,random,rv2_coarse,3,0.9,172,737,16727108.951671511,2206220.195471506,-14520888.756200004,-1.0176817749256928,0.3088292111328599
Random-02,random,rv2_coarse,4,1.31,160,732,2167257.4625,1974563.3808913934,-192694.0816086065,-0.9515734714672242,0.34131334084863085
Random-02,random,rv2_coarse,5,2.2,160,786,2463935.3046875,2586439.3548823157,122504.05019481573,0.3724779601418552,0.7095370186507233
Random-02,random,rv2_coarse,6,3.93,154,753,1754989.0848214286,1682846.7074203186,-72142.37740111002,-0.11935001016151967,0.904998064229513
Random-02,random,rv2_coarse,7,4.7,189,729,348953.67625661375,410230.80324074073,61277.12698412698,2.0280444514517906,0.04255571144371095
Random-02,random,rv2_coarse,8,6.55,174,736,1035483.395631286,1872149.219864555,836665.824233269,1.750686253271011,0.07999996862950409
Random-02,random,rv2_coarse,9,9.18,175,827,707431881.3817858,5569554.453805169,-701862326.9279805,-0.9963257583636631,0.3190918922944317
Random-03,random,rv2_coarse,1,0.45,100,893,118672360.180625,819818249.4548572,701145889.2742323,1.4598065127503237,0.14434325813963378
Random-03,random,rv2_coarse,2,0.7,93,811,5033380.505376345,18386684.736128237,13353304.230751893,2.5336965477709508,0.011286642418924187
Random-03,random,rv2_coarse,3,0.9,97,812,2411491.3917525774,5257552.1659482755,2846060.774195698,0.9297755239331067,0.35248732159595675
Random-03,random,rv2_coarse,4,1.31,90,802,2209782.6,1986609.918718828,-223172.6812811722,-0.8150412499361509,0.4150486987003319
Random-03,random,rv2_coarse,5,2.2,95,851,1191725.6059210526,2719103.465481786,1527377.8595607334,6.397125939394032,1.5832868349718865e-10
Random-03,random,rv2_coarse,6,3.93,96,811,844997.5670572916,1795723.9498304562,950726.3827731645,3.880530615711887,0.00010422882314631288
Random-03,random,rv2_coarse,7,4.7,112,806,289384.37332589284,412654.4051643921,123270.03183849924,4.871133460689942,1.109598544379864e-06
Random-03,random,rv2_coarse,8,6.55,97,813,832480.189714884,1817128.3619407287,984648.1722258447,2.3533316918808103,0.01860602881558182
Random-03,random,rv2_coarse,9,9.18,108,894,879493.0822120949,143525297.00473207,142645803.92251998,1.0317779652005108,0.30217614396779435
Random-04,random,rv2_coarse,1,0.45,188,805,814513364.7214096,733958285.9796584,-80555078.7417512,-0.09905698909991063,0.9210930217940434
Random-04,random,rv2_coarse,2,0.7,173,731,7364952.728323699,19296263.865937073,11931311.137613375,1.9845095141947955,0.04719906851778233
Random-04,random,rv2_coarse,3,0.9,166,743,1870426.9111445784,5642740.452893674,3772313.541749096,1.1317724346412863,0.2577301195482211
Random-04,random,rv2_coarse,4,1.31,177,715,1727436.0056497175,2078860.7214160839,351424.71576636634,2.121717321499724,0.033861483157223926
Random-04,random,rv2_coarse,5,2.2,210,736,2486301.8461309522,2588379.883152174,102078.0370212216,0.21689085313548476,0.8282934060837261
Random-04,random,rv2_coarse,6,3.93,179,728,1230852.6344273742,1809243.500257555,578390.8658301807,1.705884903092963,0.08802951112348079
Random-04,random,rv2_coarse,7,4.7,159,759,406526.60770440253,395748.04973649536,-10778.557967907167,-0.22763565399732485,0.8199294996523587
Random-04,random,rv2_coarse,8,6.55,181,729,1822436.0044889504,1684794.2659089935,-137641.73857995681,-0.17165028856258563,0.8637124695922602
Random-04,random,rv2_coarse,9,9.18,204,798,3116492.2162990198,160113830.02880248,156997337.81250346,1.0136312212748197,0.3107587541256114
Random-05,random,rv2_coarse,1,0.45,19,974,49155732.44736842,762865476.2471766,713709743.7998083,1.6210127627519633,0.10501490157123361
Random-05,random,rv2_coarse,2,0.7,21,883,12112163.0,17129502.021517552,5017339.021517552,0.7605002851051431,0.4469555989051044
Random-05,random,rv2_coarse,3,0.9,16,893,2935608.1875,4990008.166573348,2054399.9790733485,0.7274542045659947,0.4669477595242497
Random-05,random,rv2_coarse,4,1.31,20,872,2151198.55,2005868.8277666285,-145329.72223337134,-0.3247380536263755,0.7453793315355954
Random-05,random,rv2_coarse,5,2.2,14,932,6187710.107142857,2511312.2748792917,-3676397.8322635656,-2.9450395295786826,0.0032291340436279015
Random-05,random,rv2_coarse,6,3.93,11,896,3840353.784090909,1668758.9264787945,-2171594.8576121144,-0.7121856584533865,0.4763498165936686
Random-05,random,rv2_coarse,7,4.7,17,901,521386.5882352941,395279.6097391787,-126106.97849611542,-2.2825693205527773,0.022455749842481554
Random-05,random,rv2_coarse,8,6.55,15,895,826573.9375,1727013.77385213,900439.8363521299,2.296630954570293,0.02163983125581037
Random-05,random,rv2_coarse,9,9.18,18,984,13496316.878472222,130247629.13749683,116751312.2590246,0.9252603378082178,0.3548305044105131
Random-06,random,rv2_coarse,1,0.45,252,741,170019144.66294643,946180982.8963394,776161838.233393,1.3414371169639516,0.17977857341854353
Random-06,random,rv2_coarse,2,0.7,223,681,11454879.448430493,18832992.057268724,7378112.60883823,1.0440826270960348,0.2964471628953411
Random-06,random,rv2_coarse,3,0.9,228,681,2859582.671875,5655010.535334067,2795427.8634590674,0.7440893252136259,0.45682243690449864
Random-06,random,rv2_coarse,4,1.31,216,676,1884316.882523148,2049007.6067862427,164690.7242630946,0.7107985258437859,0.47720909427754155
Random-06,random,rv2_coarse,5,2.2,275,671,2651345.16,2530627.5151825636,-120717.64481743658,-0.2460777355158958,0.8056220577216271
Random-06,random,rv2_coarse,6,3.93,248,659,1842047.6524697582,1639793.7358687406,-202253.91660101758,-0.44671860553012593,0.6550782464432947
Random-06,random,rv2_coarse,7,4.7,224,694,410387.51729910716,393492.3580691643,-16895.15922994289,-0.3917118913753911,0.6952711027549536
Random-06,random,rv2_coarse,8,6.55,226,684,3478637.6692477874,1128514.3617107547,-2350123.3075370328,-1.6065098655590577,0.10816192905940225
Random-06,random,rv2_coarse,9,9.18,245,757,13740756.226275511,165178488.11053088,151437731.88425538,0.9250802496786823,0.35492416569804663
Random-07,random,rv2_coarse,1,0.45,153,840,3137939884.6058006,314119202.90066963,-2823820681.705131,-1.0562093302842015,0.29087258898900537
Random-07,random,rv2_coarse,2,0.7,145,759,8739961.379310345,18593427.283267457,9853465.903957112,1.6175878497949068,0.10575144929775782
Random-07,random,rv2_coarse,3,0.9,138,771,1790146.800271739,5520112.536073281,3729965.735801542,1.1628554909488424,0.2448881385090771
Random-07,random,rv2_coarse,4,1.31,160,732,2064768.1859375,1996965.408555328,-67802.77738217218,-0.19950131105073085,0.8418706178963635
Random-07,random,rv2_coarse,5,2.2,155,791,2012696.937903226,2674087.1761219976,661390.2382187718,2.0328312809726143,0.04206957164207137
Random-07,random,rv2_coarse,6,3.93,131,776,1349493.9160305343,1753438.3849871133,403944.468956579,1.0432921494268763,0.2968130059301295
Random-07,random,rv2_coarse,7,4.7,135,783,442396.0787037037,389894.03544061305,-52502.04326309066,-0.916527101420236,0.3593904995812065
Random-07,random,rv2_coarse,8,6.55,134,776,1667727.3973880596,1719845.9605800982,52118.563192038564,0.08215878397072451,0.9345204482218525
Random-07,random,rv2_coarse,9,9.18,174,828,971217.9399021192,154876339.1951285,153905121.25522637,1.031083898272107,0.3025014779068662
Random-08,random,rv2_coarse,1,0.45,220,773,99688260.72045454,934066643.4964424,834378382.7759879,1.5068522541020317,0.13184853213057335
Random-08,random,rv2_coarse,2,0.7,196,708,22227624.31632653,15569338.053672316,-6658286.262654213,-0.6618964125085767,0.5080376110976237
Random-08,random,rv2_coarse,3,0.9,169,740,3765635.262204142,5225209.005996621,1459573.7437924794,0.40429511667368745,0.6859957160409393
Random-08,random,rv2_coarse,4,1.31,178,714,2741480.7226123596,1826551.8490021008,-914928.8736102588,-1.7404116799656468,0.08178675607750852
Random-08,random,rv2_coarse,5,2.2,213,733,1986063.8808685446,2734160.1296896315,748096.248821087,2.3920363656128583,0.016755182146083625
Random-08,random,rv2_coarse,6,3.93,195,712,1812310.883974359,1662993.3530547754,-149317.5309195835,-0.28622586637099934,0.7747051336134334
Random-08,random,rv2_coarse,7,4.7,188,730,359341.77992021275,407471.5695205479,48129.78960033518,1.3663777768604561,0.17182042032432787
Random-08,random,rv2_coarse,8,6.55,163,747,3152334.569785276,1397918.8778917755,-1754415.6918935005,-0.9514560446819417,0.3413729216570176
Random-08,random,rv2_coarse,9,9.18,194,808,16987285.273195878,154840429.99023438,137853144.7170385,0.8965958285351451,0.36993462480079575
Random-09,random,rv2_coarse,1,0.45,188,805,319633495.94581115,849532714.960792,529899219.0149808,0.9562991526181913,0.3389211179198939
Random-09,random,rv2_coarse,2,0.7,206,698,24921003.09223301,14679053.110315187,-10241949.981917823,-0.573387913802541,0.566382071871097
Random-09,random,rv2_coarse,3,0.9,212,697,1618860.9949882075,5968218.784522955,4349357.789534748,1.226397132948241,0.22004926442001294
Random-09,random,rv2_coarse,4,1.31,181,711,1707504.914019337,2085911.6728199718,378406.7588006349,2.246617281407749,0.024664496773668443
Random-09,random,rv2_coarse,5,2.2,172,774,3111511.275799419,2444432.871124031,-667078.4046753878,-0.7532802339009792,0.45128153403509597
Random-09,random,rv2_coarse,6,3.93,192,715,1809707.291015625,1664319.0068181818,-145388.28419744316,-0.2787901128413564,0.7804059025626457
Random-09,random,rv2_coarse,7,4.7,231,687,417533.58387445885,390917.38355167396,-26616.20032278489,-0.37390866699642383,0.7084722680698852
Random-09,random,rv2_coarse,8,6.55,217,693,994598.9291474654,1936865.7561834867,942266.8270360213,1.9050224146778336,0.05677715749972112
Random-09,random,rv2_coarse,9,9.18,205,797,1097712.6417873476,160830074.8852484,159732362.24346104,1.030082933414747,0.3029710760116089
Random-10,random,rv2_coarse,1,0.45,161,832,2978395045.713121,317840541.37192005,-2660554504.341201,-1.0467286642362044,0.29522473948009
Random-10,random,rv2_coarse,2,0.7,150,754,6502313.52,19103923.97877984,12601610.458779842,2.210177015489566,0.0270928794882086
Random-10,random,rv2_coarse,3,0.9,134,775,1996459.5065298507,5465188.967580645,3468729.4610507945,1.0865865869107543,0.2772195554959993
Random-10,random,rv2_coarse,4,1.31,162,730,2095941.8950617283,1989861.6463184932,-106080.24874323513,-0.3155102489878044,0.7523742705973882
Random-10,random,rv2_coarse,5,2.2,155,791,2441319.2983870967,2590096.700932364,148777.40254526725,0.4095735965516139,0.6821187688102592
Random-10,random,rv2_coarse,6,3.93,132,775,1329884.7490530303,1757299.4875806451,427414.73852761486,1.1299265817826603,0.25850716207857705
Random-10,random,rv2_coarse,7,4.7,138,780,457677.98867753625,386988.38197115384,-70689.60670638242,-1.2562551555792447,0.20902347515111241
Random-10,random,rv2_coarse,8,6.55,141,769,1594290.817819149,1733785.34635586,139494.5285367109,0.22483924890414342,0.8221043314844518
Random-10,random,rv2_coarse,9,9.18,174,828,968357.6980064656,154876940.26045442,153908582.56244797,1.0311070908899438,0.30249060293794394
Random-11,random,rv2_coarse,1,0.45,4,989,1330455.53125,752234187.0163044,750903731.4850544,1.7357738300000423,0.08260383314029007
Random-11,random,rv2_coarse,2,0.7,5,899,1977600.2,17096571.420467187,15118971.220467187,3.2120182248722724,0.0013180601358802058
Random-11,random,rv2_coarse,3,0.9,5,904,1002071.075,4975704.279175885,3973633.204175885,1.4521620825998973,0.14645654298219135
Random-11,random,rv2_coarse,4,1.31,2,890,1184582.0,2010980.2525983145,826398.2525983145,5.872080999300849,4.3035837116178755e-09
Random-11,random,rv2_coarse,5,2.2,6,940,1062821.84375,2575312.81981383,1512490.9760638298,6.836472761781134,8.116618488429594e-12
Random-11,random,rv2_coarse,6,3.93,4,903,485550.28125,1700453.6972591362,1214903.4160091362,6.023058758855205,1.7115127093347837e-09
Random-11,random,rv2_coarse,7,4.7,4,914,260449.65625,398215.20979212254,137765.55354212254,6.160757961660222,7.239757682242498e-10
Random-11,random,rv2_coarse,8,6.55,5,905,711104.2890625,1717702.116259496,1006597.827196996,2.4609659478313177,0.013856351669588873
Random-11,random,rv2_coarse,9,9.18,6,996,766661.0520833334,128917671.49477598,128151010.44269265,1.0326307794205243,0.30177671839618103
Random-12,random,rv2_coarse,1,0.45,197,796,193345713.40862945,886778677.4368719,693432964.0282425,1.2844876706217543,0.1989713748460744
Random-12,random,rv2_coarse,2,0.7,188,716,7436009.930851064,19527564.02374302,12091554.092891954,1.9807732732068013,0.04761670533880191
Random-12,random,rv2_coarse,3,0.9,194,715,1756932.8795103093,5821261.601573426,4064328.7220631167,1.1737983103755791,0.24047582094553843
Random-12,random,rv2_coarse,4,1.31,181,711,1688374.596685083,2090781.6973452882,402407.10066020535,2.255440526388992,0.024105691385397865
Random-12,random,rv2_coarse,5,2.2,226,720,2790678.4117809734,2495107.8619791665,-295570.5498018069,-0.5274415926465605,0.5978869665120499
Random-12,random,rv2_coarse,6,3.93,211,696,2058552.5702014219,1584909.9101113505,-473642.6600900714,-0.9405545958823959,0.3469331589827531
Random-12,random,rv2_coarse,7,4.7,180,738,399597.80868055555,397131.29378387536,-2466.5148966801935,-0.056295627864528616,0.9551063017719799
Random-12,random,rv2_coarse,8,6.55,193,717,2097266.5395482513,1608512.5446685408,-488753.9948797105,-0.5719890135619213,0.5673294177082153
Random-12,random,rv2_coarse,9,9.18,213,789,15664808.435739437,158517105.92940035,142852297.49366093,0.908306497703235,0.3637163105019081
Random-13,random,rv2_coarse,1,0.45,140,853,87712117.82544643,857778706.0793523,770066588.2539058,1.5341364311508268,0.12499609240534704
Random-13,random,rv2_coarse,2,0.7,114,790,17930958.850877192,16880476.45443038,-1050482.396446813,-0.11174300403627263,0.9110271805451802
Random-13,random,rv2_coarse,3,0.9,137,772,1454378.602189781,5574866.781411917,4120488.179222136,1.2865284690528451,0.19825868975180216
Random-13,random,rv2_coarse,4,1.31,123,769,1469674.855691057,2095411.6795351105,625736.8238440535,4.233474534789395,2.3010824907521155e-05
Random-13,random,rv2_coarse,5,2.2,121,825,2148663.3584710746,2626888.139772727,478224.78130165255,0.7211995779444713,0.47078673143494787
Random-13,random,rv2_coarse,6,3.93,123,784,2152464.4852642277,1623340.2526307397,-529124.232633488,-0.7825846299313767,0.43387107017336213
