target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Fornax-A,fixed,rv2_coarse,1,0.45,217,776,191268931.23041475,905231410.7013531,713962479.4709383,1.271226552734786,0.203648062870863
Fornax-A,fixed,rv2_coarse,2,0.7,207,697,14296148.45410628,17819803.411764707,3523654.957658427,0.4739162915619352,0.635559601151013
Fornax-A,fixed,rv2_coarse,3,0.9,239,670,1562530.697960251,6163585.353638059,4601054.655677808,1.2472546778458355,0.21230412993746572
Fornax-A,fixed,rv2_coarse,4,1.31,210,682,1544977.712797619,2152047.3154325513,607069.6026349324,3.443004214097861,0.0005752903494056216
Fornax-A,fixed,rv2_coarse,5,2.2,188,758,2979957.4750664895,2462980.179914248,-516977.29515224136,-0.6338397679928263,0.52618539708483
Fornax-A,fixed,rv2_coarse,6,3.93,204,703,1650619.9037990195,1708002.0332503556,57382.129451336106,0.12518374236654048,0.9003780877043468
Fornax-A,fixed,rv2_coarse,7,4.7,223,695,379194.519058296,403525.35629496403,24330.83723666804,0.6919079036254494,0.4889951668799961
Fornax-A,fixed,rv2_coarse,8,6.55,224,686,1016984.7366071428,1939171.0723908984,922186.3357837555,1.8590840366656498,0.0630152276111513
Fornax-A,fixed,rv2_coarse,9,9.18,238,764,1890951.001969538,167482401.09507936,165591450.09310982,1.0236647528141818,0.30599364907988247
Cygnus-A,fixed,rv2_coarse,1,0.45,4,989,82105416.734375,751907493.5432887,669802076.8089137,1.5280924963487288,0.1264895742465455
Cygnus-A,fixed,rv2_coarse,2,0.7,4,900,2862379.0,17075840.213333335,14213461.213333335,3.0154413765453216,0.0025660553848327883
Cygnus-A,fixed,rv2_coarse,3,0.9,1,908,1478616.0,4957674.457874449,3479058.457874449,1.278067255854833,0.20122571316531612
Cygnus-A,fixed,rv2_coarse,4,1.31,3,889,30151104.0,1914160.0414088864,-28236943.958591115,-1.2259982941254213,0.22019931697762374
Cygnus-A,fixed,rv2_coarse,5,2.2,7,939,1734037.0535714286,2571919.83206869,837882.7784972615,1.4265636249324696,0.15370571529425714
Cygnus-A,fixed,rv2_coarse,6,3.93,4,903,499043.390625,1700393.9271179403,1201350.5364929403,5.947791073988722,2.7178519435011594e-09
Cygnus-A,fixed,rv2_coarse,7,4.7,7,911,266218.0089285714,398624.5601673985,132406.55123882706,5.81150304689244,6.19144069347044e-09
Cygnus-A,fixed,rv2_coarse,9,9.18,10,992,651112.825,129435574.24078566,128784461.41578566,1.033569662822971,0.3013373879231436
Sag-A,fixed,rv2_coarse,1,0.45,157,836,120870080.68829618,867210921.1880233,746340840.4997271,1.4566179816312033,0.14522186124948178
Sag-A,fixed,rv2_coarse,2,0.7,141,763,21973540.120567378,16096247.117955439,-5877293.002611939,-0.5147322854249905,0.6067401093836207
Sag-A,fixed,rv2_coarse,3,0.9,141,768,20670495.930851065,2068368.6165364583,-18602127.314314608,-1.0696306540225902,0.28478559152698213
Sag-A,fixed,rv2_coarse,4,1.31,148,744,2355205.6824324327,1940283.8008232526,-414921.88160918,-2.001943018840221,0.04529086023675144
Sag-A,fixed,rv2_coarse,5,2.2,149,797,2805847.7768456377,2520827.6824811795,-285020.09436445823,-0.814165083311623,0.41555038536987077
Sag-A,fixed,rv2_coarse,6,3.93,133,774,957498.9008458647,1821840.4857073643,864341.5848614996,2.7664928295632385,0.005666283096815494
Sag-A,fixed,rv2_coarse,7,4.7,141,777,323921.1866134752,410987.9189993565,87066.7323858813,3.1890286102416567,0.0014275174852891315
Sag-A,fixed,rv2_coarse,8,6.55,144,766,895525.6169433594,1865692.2295304341,970166.6125870747,2.127247428214186,0.03339953030449694
Sag-A,fixed,rv2_coarse,9,9.18,159,843,778333231.7669271,5517932.294386677,-772815299.4725405,-0.9970351601092592,0.3187474437620379
Mercury,planet,rv2_coarse,1,0.45,6,987,59614268.489583336,753401466.2313197,693787197.7417363,1.590835263532554,0.11164665459942658
Mercury,planet,rv2_coarse,2,0.7,1,903,2598307.0,17028911.850498337,14430604.850498337,3.0813381742856376,0.00206072457409312
Mercury,planet,rv2_coarse,3,0.9,2,907,1135952.34375,4962265.842406284,3826313.498656284,1.400891542402578,0.16124650827946496
Mercury,planet,rv2_coarse,4,1.31,3,889,1639573.0,2010374.4317350956,370801.43173509557,1.9872382894125493,0.0468959965990019
Mercury,planet,rv2_coarse,6,3.93,2,905,535469.125,1697658.5099447514,1162189.3849447514,5.773957588721312,7.743093499712472e-09
Mercury,planet,rv2_coarse,7,4.7,4,914,325163.703125,397931.997333151,72768.294208151,2.7922344160570174,0.005234541892353839
Mercury,planet,rv2_coarse,8,6.55,4,906,1002956.578125,1715302.5500526007,712345.9719276007,1.6292779208905508,0.10325419798848534
Venus,planet,rv2_coarse,1,0.45,26,967,26759281.201923076,768634117.3422958,741874836.1403726,1.6753017525044593,0.09387504178128458
