target,kind,data_col,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Fornax-A,fixed,rv2_coarse,1950,6431,24011241.398157053,132656230.20665345,108644988.80849639,1.5441422163401333,0.12255388361060371
Cygnus-A,fixed,rv2_coarse,40,8341,11357804.9546875,107838367.70018068,96480562.74549317,1.7835806110943992,0.07449183848726748
Sag-A,fixed,rv2_coarse,1313,7068,114099781.63897087,106129191.26958486,-7970590.369386002,-0.07115798433253884,0.9432720202553517
Random-00,random,rv2_coarse,1336,7045,364340681.5468867,58647975.392300054,-305692706.1545866,-0.9927103550740495,0.32085112714104436
Random-01,random,rv2_coarse,1800,6581,90682375.30240017,111944364.32777302,21261989.025372848,0.2283519879848162,0.8193726114215012
Random-02,random,rv2_coarse,1532,6849,112333958.34282953,106269311.28692943,-6064647.055900097,-0.05898731603353121,0.9529622108590594
Random-03,random,rv2_coarse,888,7493,14831774.869545327,118345592.03272898,103513817.16318366,1.7353977789362103,0.0826703732260281
Random-04,random,rv2_coarse,1637,6744,95779844.53187996,110193139.33670034,14413294.804820374,0.1487890064998767,0.8817201256184422
Random-05,random,rv2_coarse,151,8230,11068713.639072848,109144928.48431282,98076214.84523997,1.8045417047921053,0.07114642740054111
Random-06,random,rv2_coarse,2137,6244,24281137.949110903,135817640.19669196,111536502.24758106,1.5580164800230238,0.11922934154127263
Random-07,random,rv2_coarse,1325,7056,364445616.9846551,59104832.01257463,-305340784.97208047,-0.9834771730165983,0.32537264460996784
Random-08,random,rv2_coarse,1716,6665,18686340.33446241,130212809.77816309,111526469.44370067,1.6647992558930877,0.09595281245583132
Random-09,random,rv2_coarse,1804,6577,37304342.48978182,126598312.80733284,89293970.31755102,1.280015523284756,0.2005396765036549
Random-10,random,rv2_coarse,1347,7034,357917160.8270346,59400017.28054861,-298517143.54648596,-0.9773301929700361,0.32840571005859465
Random-11,random,rv2_coarse,41,8340,978189.2943978659,107900963.00051849,106922773.70612063,1.9998188949372224,0.045519823513142876
Random-12,random,rv2_coarse,1783,6598,25245018.70275256,129572941.62449026,104327922.9217377,1.5376077040904792,0.12414456262570828
