target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value,perm_rep
Fornax-A,fixed,rv2_coarse,1,0.45,1268,3826,1011176134.8994479,2236339404.50789,1225163269.6084423,1.610839908965242,0.1072146201036468,0
Fornax-A,fixed,rv2_coarse,2,0.7,1135,3578,15316046.873166472,394036335.4840693,378720288.6109028,1.264655489113348,0.2059948523955053,0
Fornax-A,fixed,rv2_coarse,3,0.9,1129,3598,33135398.633912753,3301201.5939931907,-29834197.039919563,-0.9630692894268613,0.3355127522891648,0
Fornax-A,fixed,rv2_coarse,4,1.31,1107,3564,1776857.829719964,2195064.0469276095,418206.21720764553,1.5704260751919121,0.1163160201399247,0
Fornax-A,fixed,rv2_coarse,5,2.2,1141,3716,2378100.862401402,2834099.652516146,455998.7901147441,1.2933488502910864,0.1958904323014643,0
Fornax-A,fixed,rv2_coarse,6,3.93,1104,3544,1749144.2687386775,1560171.7498236457,-188972.5189150318,-0.9554073672953222,0.3393717297813721,0
Fornax-A,fixed,rv2_coarse,7,4.7,1192,3540,381155.4044672819,2914178.74441718,2533023.339949898,1.5060371801387518,0.13205762943211385,0
Fornax-A,fixed,rv2_coarse,8,6.55,1107,3429,1614528.338107639,208028824.64052248,206414296.30241483,1.029265207483222,0.30335506794162437,0
Fornax-A,fixed,rv2_coarse,9,9.18,1256,3854,269223562.5179731,354304776.6136249,85081214.09565175,0.3161221652910682,0.7519097833010586,0
Cygnus-A,fixed,rv2_coarse,1,0.45,20,5074,35258382.475,1938845237.1009436,1903586854.6259437,4.122688148655415,3.7447651756616906e-05,0
Cygnus-A,fixed,rv2_coarse,2,0.7,22,4691,3523166.590909091,304235389.44746196,300712222.8565529,1.3165337219039033,0.1879949677331254,0
Cygnus-A,fixed,rv2_coarse,3,0.9,17,4710,7800201.419117647,10436302.541135881,2636101.122018234,0.3068143593335011,0.7589846779083116,0
Cygnus-A,fixed,rv2_coarse,4,1.31,18,4653,1503180.8055555555,2098244.7079840964,595063.9024285409,2.8283476424383833,0.004678896647425157,0
Cygnus-A,fixed,rv2_coarse,5,2.2,24,4833,2777758.8776041665,2726724.8457867783,-51034.031817388255,-0.05183223948824739,0.9586623666724223,0
Cygnus-A,fixed,rv2_coarse,6,3.93,20,4628,546312.925,1609632.1727663137,1063319.2477663136,10.252768803074398,0.0,0
Cygnus-A,fixed,rv2_coarse,7,4.7,21,4711,310058.1279761905,2284869.194793954,1974811.0668177635,1.5622867442512174,0.11822045335787834,0
Cygnus-A,fixed,rv2_coarse,8,6.55,19,4517,832194.8355263158,158313551.2200048,157481356.38447848,1.0343884593676202,0.3009545973881105,0
Cygnus-A,fixed,rv2_coarse,9,9.18,36,5074,1326227.484375,335748454.75010777,334422227.26573277,2.540816555132683,0.011059392865586437,0
Sag-A,fixed,rv2_coarse,1,0.45,819,4275,1770840715.51076,1962125697.005,191284981.49424005,0.12701918511645868,0.8989252140109598,0
Sag-A,fixed,rv2_coarse,2,0.7,709,4004,1518232585.393512,87617087.54221877,-1430615497.8512933,-0.9844279937581553,0.3249051195960173,0
Sag-A,fixed,rv2_coarse,3,0.9,697,4030,6403574.655398135,11122654.307211539,4719079.651813404,0.5032463166537443,0.614791104524568,0
Sag-A,fixed,rv2_coarse,4,1.31,685,3986,2187003.758759124,2080304.140993477,-106699.61776564713,-0.44087927465506843,0.6593003985287542,0
Sag-A,fixed,rv2_coarse,5,2.2,759,4098,2385135.9360177866,2790290.1945613716,405154.25854358496,1.3167935601269758,0.1879078320660239,0
Sag-A,fixed,rv2_coarse,6,3.93,695,3953,936828.9650179857,1722541.8222552491,785712.8572372635,6.1681525432932,6.909246508257638e-10,0
Sag-A,fixed,rv2_coarse,7,4.7,659,4073,8536416.83241654,1263204.3468694615,-7273212.485547079,-0.8957743247844009,0.3703733052751439,0
