target,frequency_band,mean,std,obs_z,n_blocked,n_visible,perm_percentile,perm_reps
Cygnus-A,1,4.166654560219916,0.024149070630518254,4.163317045304949,22,5072,0.4,10
Cygnus-A,2,1.3090338496341682,0.01866356554463887,1.2612176800608952,21,4692,0.0,10
Cygnus-A,3,0.8307032307469422,0.3100463848752927,1.1778699951390532,14,4713,0.8,10
Cygnus-A,4,1.398856881680865,1.1419093437516863,-0.9941818239530978,21,4650,0.0,10
Cygnus-A,5,1.4528168996946216,1.7582148002679743,1.1897586467892884,21,4836,0.6,10
Cygnus-A,6,9.742843923566259,2.72245483851326,8.11403897891464,19,4629,0.2,10
Cygnus-A,7,1.5151374127561865,0.07707113768712186,1.5564215879337913,27,4705,0.7,10
Cygnus-A,8,1.0345723471690906,0.00039758407978511003,1.034708741795869,19,4517,0.7,10
Cygnus-A,9,2.5358181080927586,0.004475213578184254,2.5339027044424234,33,5077,0.2,10
Fornax-A,1,1.5734820812604198,0.7117539694056211,1.839939139176857,1283,3811,0.7,10
Fornax-A,2,1.2720868856764118,0.011720757467570253,1.2850491914722126,1128,3585,0.9,10
Fornax-A,3,0.07885908804584182,1.0953713492151536,-0.9568743671618306,1130,3597,0.3,10
Fornax-A,4,1.7335366271788473,0.3162962605683835,2.1446547443983035,1127,3544,0.9,10
Fornax-A,5,1.5904708973347776,0.39578171446088917,1.43492251691601,1150,3707,0.4,10
Fornax-A,6,-1.0364067588438441,0.5622089125605974,-0.7515026768485662,1128,3520,0.8,10
Fornax-A,7,1.5098984209629918,0.004717750914484994,1.5150566469106215,1160,3572,0.9,10
Fornax-A,8,-0.38471603554725364,0.97583120726304,1.0306827331203903,1100,3436,0.9,10
Fornax-A,9,0.8157270104407027,1.191993703520362,0.12504217873242238,1233,3877,0.4,10
Jupiter,1,0.7413303441156993,1.3788989051178915,4.202323085581774,2,5092,1.0,10
Jupiter,2,-0.24422264068219662,0.9724770279559152,1.2305425752928325,4,4709,1.0,10
Jupiter,3,1.1576100153598534,0.009819975909701977,1.2518903830826156,3,4724,1.0,10
Jupiter,5,6.570517472278219,0.08170947782748321,7.188265354558671,2,4855,1.0,10
Jupiter,6,2.488268992183355,1.3677973352892394,0.9291240795469431,4,4644,0.1,10
Jupiter,7,0.23050060931709954,1.3115769517122708,1.5453089760025156,3,4729,0.9,10
Jupiter,8,1.0260612212298614,0.002828395941966459,1.0268080037378187,4,4532,0.5,10
Mars,1,0.5670314951099684,0.9305528713551396,-0.7613741285007307,165,4929,0.0,10
Mars,2,0.45043855092318913,0.9708441732488091,1.3107794652372404,154,4559,1.0,10
Mars,3,0.8418516939499245,0.2241948785591731,1.1556820935605667,140,4587,1.0,10
Mars,4,0.14540270260197627,0.30592749632654953,0.0387843712629579,131,4540,0.4,10
Mars,5,1.2917677929851865,0.46823230037915575,6.460159069427692,188,4669,1.0,10
Mars,6,2.3774366718334266,1.1074572047201383,0.7111601060577074,131,4517,0.2,10
Mars,7,-0.980932088721149,0.13238728593539623,1.5624753160786833,148,4584,1.0,10
Mars,8,0.4213714371713181,0.9774836925280154,1.0154194066033295,147,4389,0.3,10
Mars,9,0.0660862513195524,0.872833074121829,-0.37956062685024256,134,4976,0.6,10
Mercury,1,-0.2534360699879442,0.7353513739367139,0.5324601717536507,21,5073,0.8,10
Mercury,2,1.2744897287905927,0.013747813659685726,1.1606039187928492,15,4698,0.0,10
Mercury,3,-0.040313059813568586,1.0130993496105838,1.2278190709174501,11,4716,1.0,10
Mercury,4,1.0042221016345887,0.3275940778789626,2.1840842315066293,12,4659,1.0,10
Mercury,5,0.508957977164823,1.0559401894938567,7.393058316325984,13,4844,1.0,10
Mercury,6,1.579649139181486,0.7765485543462003,0.5492919421580111,16,4632,0.0,10
Mercury,7,1.1208211814494171,0.8218077122451795,1.524853480589668,18,4714,1.0,10
Mercury,8,1.0178387770839659,0.025089485866107424,1.033716718632741,16,4520,1.0,10
Mercury,9,-1.0181514348077083,0.598432986602203,-0.9958561557247354,11,5099,0.5,10
Neptune,1,-0.16591051970171317,0.6428149385583029,-0.2795081921218218,693,4401,0.4,10
Neptune,2,-0.10829944425497681,0.7791080870274693,1.2852580275353205,641,4072,1.0,10
Neptune,3,1.0995051529986646,0.022891933619178247,1.0023301497809003,616,4111,0.0,10
Neptune,4,-0.9374797253365378,0.07109387236481056,-0.903530766797521,636,4035,0.6,10
Neptune,5,-0.6990294805078655,0.7288128143363403,1.9752779960092732,649,4208,1.0,10
Neptune,6,-1.3183401322179122,0.36440602644756553,2.449817969073293,613,4035,1.0,10
