target,kind,data_col,frequency_band,frequency_mhz,z_score,random_percentile,random_n
Fornax-A,fixed,rv2_coarse,1,0.45,1.839939139176857,0.6242038216560509,471
Cygnus-A,fixed,rv2_coarse,1,0.45,4.163317045304949,0.7983014861995754,471
Sag-A,fixed,rv2_coarse,1,0.45,0.1301246872921219,0.39065817409766457,471
Mercury,planet,rv2_coarse,1,0.45,0.5324601717536507,0.49469214437367304,471
Venus,planet,rv2_coarse,1,0.45,3.1393926104962273,0.7112526539278131,471
Mars,planet,rv2_coarse,1,0.45,-0.7613741285007307,0.1337579617834395,471
Jupiter,planet,rv2_coarse,1,0.45,4.202323085581774,1.0,471
Saturn,planet,rv2_coarse,1,0.45,-0.8651688124491143,0.09341825902335456,471
Uranus,planet,rv2_coarse,1,0.45,3.8917498562681034,0.7494692144373672,471
Neptune,planet,rv2_coarse,1,0.45,-0.2795081921218218,0.2632696390658174,471
Fornax-A,fixed,rv2_coarse,2,0.7,1.2850491914722126,0.6882591093117408,494
Cygnus-A,fixed,rv2_coarse,2,0.7,1.2612176800608952,0.2935222672064777,494
Sag-A,fixed,rv2_coarse,2,0.7,1.0383321759966515,0.13360323886639677,494
Mercury,planet,rv2_coarse,2,0.7,1.1606039187928492,0.19230769230769232,494
Venus,planet,rv2_coarse,2,0.7,1.2877282846647717,0.708502024291498,494
Mars,planet,rv2_coarse,2,0.7,1.3107794652372404,0.8137651821862348,494
Jupiter,planet,rv2_coarse,2,0.7,1.2305425752928325,0.20850202429149797,494
Saturn,planet,rv2_coarse,2,0.7,1.2596327507791942,0.2793522267206478,494
Uranus,planet,rv2_coarse,2,0.7,1.290798064468494,0.7165991902834008,494
Neptune,planet,rv2_coarse,2,0.7,1.2852580275353205,0.6882591093117408,494
Fornax-A,fixed,rv2_coarse,3,0.9,-0.9568743671618306,0.14377682403433475,466
Cygnus-A,fixed,rv2_coarse,3,0.9,1.1778699951390532,0.778969957081545,466
Sag-A,fixed,rv2_coarse,3,0.9,0.4753044091525388,0.22746781115879827,466
Mercury,planet,rv2_coarse,3,0.9,1.2278190709174501,0.8433476394849786,466
Venus,planet,rv2_coarse,3,0.9,1.1312410511112403,0.6738197424892703,466
Mars,planet,rv2_coarse,3,0.9,1.1556820935605667,0.7618025751072961,466
Jupiter,planet,rv2_coarse,3,0.9,1.2518903830826156,0.9399141630901288,466
Saturn,planet,rv2_coarse,3,0.9,0.9205281963285888,0.3605150214592275,466
Uranus,planet,rv2_coarse,3,0.9,1.18516396019072,0.7854077253218884,466
