target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value,perm_rep
Fornax-A,fixed,rv2_coarse,1,0.45,1244,3850,998374109.0865153,2232838573.765211,1234464464.6786957,1.621833639006858,0.10483897363320827,0
Fornax-A,fixed,rv2_coarse,2,0.7,1132,3581,13281398.100706713,394362239.2943435,381080841.1936368,1.2736187707246494,0.202798556599306,0
Fornax-A,fixed,rv2_coarse,3,0.9,1150,3577,33450073.49728261,3024882.2675426337,-30425191.229739975,-1.0001650424602584,0.3172306435665877,0
Fornax-A,fixed,rv2_coarse,4,1.31,1115,3556,1840659.5546524664,2175999.571797666,335340.0171451997,1.2362405651007469,0.21636915633240839,0
Fornax-A,fixed,rv2_coarse,5,2.2,1149,3708,2367260.7373259356,2838442.5041970066,471181.76687107095,1.3443841173084237,0.17882420710434,0
Fornax-A,fixed,rv2_coarse,6,3.93,1147,3501,1666749.079500872,1584845.1185018567,-81903.96099901525,-0.4412104472433739,0.6590606506146819,0
Fornax-A,fixed,rv2_coarse,7,4.7,1163,3569,375261.6712704213,2895517.140284202,2520255.469013781,1.5107197011514357,0.1308598807516792,0
Fornax-A,fixed,rv2_coarse,8,6.55,1114,3422,1250100.6861044099,208569699.1228277,207319598.4367233,1.0316707126187652,0.30222640186643024,0
Fornax-A,fixed,rv2_coarse,9,9.18,1225,3885,58833041.07812181,419965232.5021326,361132191.42401075,2.004097514127033,0.0450596156643539,0
Cygnus-A,fixed,rv2_coarse,1,0.45,23,5071,32266565.138586957,1939984967.4031749,1907718402.2645879,4.130002441588426,3.627593817845387e-05,0
Cygnus-A,fixed,rv2_coarse,2,0.7,17,4696,22347990.70588235,303847062.5470707,281499071.8411883,1.231272504334045,0.21822096193968088,0
Cygnus-A,fixed,rv2_coarse,3,0.9,20,4707,1561490.30625,10464490.883099638,8903000.576849638,1.1944326719731473,0.23230876285060464,0
Cygnus-A,fixed,rv2_coarse,4,1.31,22,4649,1906411.2727272727,2096848.5336093784,190437.26088210568,0.5501950488169064,0.5821855991667442,0
Cygnus-A,fixed,rv2_coarse,5,2.2,16,4841,1309116.95703125,2731663.1938519934,1422546.2368207434,4.032590660856552,5.516532200289248e-05,0
Cygnus-A,fixed,rv2_coarse,6,3.93,16,4632,500120.5234375,1608873.4943194084,1108752.9708819084,12.406382404643082,0.0,0
Cygnus-A,fixed,rv2_coarse,7,4.7,20,4712,309763.584375,2284451.3424605937,1974687.7580855936,1.5624982354349315,0.11817066123397701,0
Cygnus-A,fixed,rv2_coarse,8,6.55,19,4517,780950.8157894737,158313766.76934618,157532815.95355672,1.0347264743335007,0.30079666859675136,0
Cygnus-A,fixed,rv2_coarse,9,9.18,44,5066,1237590.7372159092,336277329.1747033,335039738.43748736,2.5415073183298804,0.011037563549723961,0
Sag-A,fixed,rv2_coarse,1,0.45,791,4303,236997354.44050252,2242840110.0016847,2005842755.561182,3.6132516964267056,0.0003023809185893622,0
Sag-A,fixed,rv2_coarse,2,0.7,727,3986,1481478220.437414,87860274.78801905,-1393617945.649395,-0.9832195963685189,0.32549937209105506,0
Sag-A,fixed,rv2_coarse,3,0.9,706,4021,6488489.338261331,11118307.615036683,4629818.276775352,0.4936852505745539,0.6215284833536725,0
Sag-A,fixed,rv2_coarse,4,1.31,682,3989,2127336.6102456013,2090585.6887847832,-36750.921460818034,-0.15633214769217413,0.8757712176623476,0
Sag-A,fixed,rv2_coarse,5,2.2,746,4111,2311858.5361930295,2802306.233215763,490447.6970227333,1.6035950837318431,0.10880333511809503,0
Sag-A,fixed,rv2_coarse,6,3.93,677,3971,1180551.3740768095,1677429.0289127424,496877.6548359329,2.488439549753183,0.012830504727924685,0
Sag-A,fixed,rv2_coarse,7,4.7,675,4057,439586.82287037035,2581663.5178516926,2142076.694981322,1.456694203848741,0.14520081045819389,0
Sag-A,fixed,rv2_coarse,8,6.55,676,3860,2611548.765214728,184806403.00449523,182194854.2392805,1.022665117094695,0.30646620984370565,0
Sag-A,fixed,rv2_coarse,9,9.18,784,4326,31685410.970294565,388070744.6580614,356385333.6877668,2.272388966500494,0.02306302753603018,0
Mercury,planet,rv2_coarse,1,0.45,777,4317,875759134.6331242,2121366933.7710795,1245607799.1379552,1.6178625535720168,0.10569222187947669,0
Mercury,planet,rv2_coarse,2,0.7,741,3972,12577620.112010796,356980288.28299195,344402668.17098117,1.2767103868216447,0.20170451305272552,0
Mercury,planet,rv2_coarse,3,0.9,709,4018,2008551.0349083217,11912276.184451219,9903725.149542898,1.1344350904434188,0.2566120867515371,0
Mercury,planet,rv2_coarse,4,1.31,723,3948,1879632.137275242,2135566.3235815605,255934.1863063185,1.0528365005412499,0.2924159329865268,0
Mercury,planet,rv2_coarse,5,2.2,730,4127,3118039.3270547944,2657804.3818754544,-460234.94517933996,-0.5241871248551314,0.6001483950623079,0
Mercury,planet,rv2_coarse,6,3.93,708,3940,1446058.4529484464,1633628.0632931471,187569.61034470075,1.1109733764288847,0.2665798092715028,0
Mercury,planet,rv2_coarse,7,4.7,758,3974,366270.20044525067,2640386.8106251424,2274116.610179892,1.5178516207373887,0.1290518083955574,0
Mercury,planet,rv2_coarse,8,6.55,677,3859,2760934.2386447564,184827408.67661938,182066474.43797463,1.0216804271888915,0.3069321777850109,0
Mercury,planet,rv2_coarse,9,9.18,807,4303,1004122319.5973029,207601369.20205924,-796520950.3952436,-1.3516625337570376,0.1764832957393876,0
Venus,planet,rv2_coarse,1,0.45,1048,4046,3512156172.4843154,1521914540.7652311,-1990241631.7190843,-1.2653753577113604,0.20573680446568243,0
Venus,planet,rv2_coarse,2,0.7,960,3753,16290201.929166667,376127665.2574058,359837463.32823914,1.2602914496101982,0.20756424333606782,0
Venus,planet,rv2_coarse,3,0.9,966,3761,1972695.3190993788,12598235.765654081,10625540.446554702,1.1391188237742536,0.254653597273645,0
Venus,planet,rv2_coarse,4,1.31,1011,3660,2641161.805823442,1945348.4412739072,-695813.3645495349,-0.7928595682122426,0.4278596460530164,0
Venus,planet,rv2_coarse,5,2.2,1045,3812,3097905.197547847,2625292.8807220617,-472612.3168257852,-0.5132597037598349,0.6077696675390116,0
Venus,planet,rv2_coarse,6,3.93,944,3704,1435049.0920286018,1648384.8842298866,213335.79220128478,1.2764990787316683,0.20177915226756848,0
Venus,planet,rv2_coarse,7,4.7,1016,3716,2680459.5233014924,2165549.817461652,-514909.70583984023,-0.18876135635807997,0.8502798604547661,0
Venus,planet,rv2_coarse,8,6.55,946,3590,21367437.88431554,193566720.42453322,172199282.54021767,0.89694596896337,0.3697477490575358,0
Venus,planet,rv2_coarse,9,9.18,1030,4080,545320369.2733313,279891035.10783166,-265429334.16549963,-0.6832775850639098,0.49443145522142395,0
Mars,planet,rv2_coarse,1,0.45,927,4167,1697701470.818096,1983354124.610346,285652653.79225016,0.3001871548169335,0.7640344024969394,0
Mars,planet,rv2_coarse,2,0.7,840,3873,1284931547.8726714,89827839.2331526,-1195103708.6395187,-0.9735692586226543,0.330270456258829,0
Mars,planet,rv2_coarse,3,0.9,807,3920,5421534.157760223,11457247.532541454,6035713.37478123,0.6398975731214421,0.5222391917943499,0
Mars,planet,rv2_coarse,4,1.31,855,3816,2003523.5290204678,2116660.708447982,113137.17942751432,0.46492553566162625,0.6419847831154315,0
Mars,planet,rv2_coarse,5,2.2,915,3942,2423349.4902322404,2797453.731402207,374104.24116996676,1.1450700656543629,0.25218013437179065,0
Mars,planet,rv2_coarse,6,3.93,803,3845,1316202.5051369863,1665381.8835988296,349179.37846184336,1.8085283892636514,0.07052430247765118,0
Mars,planet,rv2_coarse,7,4.7,828,3904,6877165.390700483,1300265.6387965719,-5576899.751903911,-0.8608951229392882,0.38929580801019603,0
