target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Fornax-A,fixed,rv2_coarse,1,0.45,1283,3811,900634865.202991,2278376113.5251245,1377741248.3221335,1.839939139176857,0.06577717301671626
Fornax-A,fixed,rv2_coarse,2,0.7,1128,3585,10697100.164046051,394750179.2407252,384053079.07667917,1.2850491914722126,0.19877509476933675
Fornax-A,fixed,rv2_coarse,3,0.9,1130,3597,32963162.13113938,3347015.619874201,-29616146.511265177,-0.9568743671618306,0.3386306704823121
Fornax-A,fixed,rv2_coarse,4,1.31,1127,3544,1664580.2006987578,2233128.6666372744,568548.4659385167,2.1446547443983035,0.031980461778341907
Fornax-A,fixed,rv2_coarse,5,2.2,1150,3707,2335400.6044565216,2848453.384846237,513052.78038971545,1.43492251691601,0.15130917846245184
Fornax-A,fixed,rv2_coarse,6,3.93,1128,3520,1712318.9300199468,1570684.1480113636,-141634.7820085832,-0.7515026768485662,0.4523501903922007
Fornax-A,fixed,rv2_coarse,7,4.7,1160,3572,369851.42855603446,2895157.430077496,2525306.0015214616,1.5150566469106215,0.12975805927071637
Fornax-A,fixed,rv2_coarse,8,6.55,1100,3436,1399691.431484375,207677084.39697435,206277392.96548998,1.0306827331203903,0.30268962454232895
Fornax-A,fixed,rv2_coarse,9,9.18,1233,3877,301921459.9696466,343401146.1049549,41479686.135308325,0.12504217873242238,0.9004901585640499
Cygnus-A,fixed,rv2_coarse,1,0.45,22,5072,17222725.43465909,1939674093.2058606,1922451367.7712016,4.163317045304949,3.1365736457455995e-05
Cygnus-A,fixed,rv2_coarse,2,0.7,21,4692,15759106.857142856,304116534.5948517,288357427.7377088,1.2612176800608952,0.20723043042064515
Cygnus-A,fixed,rv2_coarse,3,0.9,14,4713,1686459.857142857,10452785.477376405,8766325.620233549,1.1778699951390532,0.2388484386099552
Cygnus-A,fixed,rv2_coarse,4,1.31,21,4650,5993305.571428572,2078350.6373655915,-3914954.93406298,-0.9941818239530978,0.3201343553562843
Cygnus-A,fixed,rv2_coarse,5,2.2,21,4836,2112606.3303571427,2729644.884163048,617038.5538059054,1.1897586467892884,0.23414126737597307
Cygnus-A,fixed,rv2_coarse,6,3.93,19,4629,620789.8355263158,1609096.7697531865,988306.9342268707,8.11403897891464,4.440892098500626e-16
Cygnus-A,fixed,rv2_coarse,7,4.7,27,4705,317063.7662037037,2287347.3487086752,1970283.5825049714,1.5564215879337913,0.11960787504866799
Cygnus-A,fixed,rv2_coarse,8,6.55,19,4517,783632.052631579,158313755.49117485,157530123.43854326,1.034708741795869,0.3008049522958478
Cygnus-A,fixed,rv2_coarse,9,9.18,33,5077,2223832.757575758,335545010.2640308,333321177.50645506,2.5339027044424234,0.011280004657278075
Sag-A,fixed,rv2_coarse,1,0.45,786,4308,1759537162.4655693,1962722769.4990134,203185607.03344417,0.1301246872921219,0.8964677785407922
Sag-A,fixed,rv2_coarse,2,0.7,720,3993,62635018.98194444,346142877.00877637,283507858.0268319,1.0383321759966515,0.29911543374436933
Sag-A,fixed,rv2_coarse,3,0.9,686,4041,6616973.708181486,11073581.892863771,4456608.1846822845,0.4753044091525388,0.6345700168571509
Sag-A,fixed,rv2_coarse,4,1.31,731,3940,2409797.50752394,2037722.8179568527,-372074.6895670872,-1.5390474405552224,0.12379271497524824
Sag-A,fixed,rv2_coarse,5,2.2,737,4120,2511122.5568181816,2765589.8224211163,254467.26560293464,0.823919178256562,0.40998548251780154
Sag-A,fixed,rv2_coarse,6,3.93,665,3983,1089613.0312030076,1691115.061087748,601502.0298847405,4.059712594557774,4.913315533894291e-05
Sag-A,fixed,rv2_coarse,7,4.7,682,4050,8264800.082203079,1267638.6027899547,-6997161.479413124,-0.8915935487776895,0.3726108292545096
Sag-A,fixed,rv2_coarse,8,6.55,681,3855,2329487.2528106645,185092540.01127696,182763052.7584663,1.0245273375002049,0.3055862653262631
Sag-A,fixed,rv2_coarse,9,9.18,776,4334,162447585.2115768,364000017.8743195,201552432.6627427,0.917269505090322,0.35900143298811105
Mercury,planet,rv2_coarse,1,0.45,21,5073,1262202304.4345238,1934141465.071272,671939160.6367481,0.5324601717536507,0.5944073197929578
Mercury,planet,rv2_coarse,2,0.7,15,4698,36602584.46666667,303681711.9616952,267079127.49502853,1.1606039187928492,0.24580301104887847
Mercury,planet,rv2_coarse,3,0.9,11,4716,1315966.2386363635,10448073.105226887,9132106.866590524,1.2278190709174501,0.21951489492909304
Mercury,planet,rv2_coarse,4,1.31,12,4659,1648351.25,2097104.4571259927,448753.20712599275,2.1840842315066293,0.028956059158286473
Mercury,planet,rv2_coarse,5,2.2,13,4844,940799.8317307692,2731770.6430506813,1790970.811319912,7.393058316325984,1.4344081478157023e-13
Mercury,planet,rv2_coarse,6,3.93,16,4632,1306494.46875,1606088.0920903496,299593.62334034964,0.5492919421580111,0.5828051162836185
Mercury,planet,rv2_coarse,7,4.7,18,4714,356727.77777777775,2283434.2166656377,1926706.43888786,1.524853480589668,0.12729564709498487
Mercury,planet,rv2_coarse,8,6.55,16,4520,933733.4453125,158208668.7671486,157274935.3218361,1.033716718632741,0.30126861489071577
Mercury,planet,rv2_coarse,9,9.18,11,5099,6354443376.659091,320403319.5623131,-6034040057.096778,-0.9958561557247354,0.3193200408412529
Venus,planet,rv2_coarse,1,0.45,108,4986,319525083.6799769,1966285036.4344666,1646759952.7544897,3.1393926104962273,0.0016929845461488569
Venus,planet,rv2_coarse,2,0.7,132,4581,10024307.795454545,311268830.59027374,301244522.7948192,1.2877282846647717,0.19784056404356187
Venus,planet,rv2_coarse,3,0.9,102,4625,2002887.7726715687,10612604.073527027,8609716.300855458,1.1312410511112403,0.25795364805105847
Venus,planet,rv2_coarse,4,1.31,121,4550,1658047.9669421487,2107596.939945055,449548.9730029064,2.01178355713921,0.044242757985477166
Venus,planet,rv2_coarse,5,2.2,113,4744,9528423.14380531,2564969.5568086,-6963453.58699671,-0.8460080170106449,0.3975482719267678
Venus,planet,rv2_coarse,6,3.93,108,4540,1100598.4699074074,1617057.1187912996,516458.6488838922,1.8444885407817393,0.06511197432308102
Venus,planet,rv2_coarse,7,4.7,107,4625,314408.4526869159,2321489.3606322845,2007080.9079453687,1.558997041135118,0.11899708047738611
Venus,planet,rv2_coarse,8,6.55,118,4418,789312.9242584746,161843590.68301815,161054277.75875968,1.0346740720534877,0.30082114859587294
Venus,planet,rv2_coarse,9,9.18,152,4958,1123404.7092927631,343578992.75427026,342455588.0449775,2.5424335490038246,0.011008353135087301
Mars,planet,rv2_coarse,1,0.45,165,4929,7137506848.873106,1757094191.6485343,-5380412657.224571,-0.7613741285007307,0.44643363570058936
Mars,planet,rv2_coarse,2,0.7,154,4559,4834963.584415585,312897814.6898539,308062851.10543835,1.3107794652372404,0.1899322821569771
Mars,planet,rv2_coarse,3,0.9,140,4587,1851455.502232143,10688551.258461412,8837095.756229268,1.1556820935605667,0.2478112151172498
Mars,planet,rv2_coarse,4,1.31,131,4540,2088369.8396946564,2096170.3594162995,7800.519721643068,0.0387843712629579,0.9690623053848169
Mars,planet,rv2_coarse,5,2.2,188,4669,1175371.5688164893,2789453.317158385,1614081.7483418959,6.460159069427692,1.0459300092691137e-10
Mars,planet,rv2_coarse,6,3.93,131,4517,1424439.7213740458,1610294.9635958602,185855.24222181435,0.7111601060577074,0.4769850269088578
Mars,planet,rv2_coarse,7,4.7,148,4584,309906.3897804054,2339586.355077294,2029679.9652968887,1.5624753160786833,0.11817605642491502
Mars,planet,rv2_coarse,8,6.55,147,4389,3698814.024659864,162810297.76737565,159111483.74271578,1.0154194066033295,0.30990594611506594
Mars,planet,rv2_coarse,9,9.18,134,4976,531679037.25711286,328052735.6509307,-203626301.60618216,-0.37956062685024256,0.7042715924680356
Jupiter,planet,rv2_coarse,1,0.45,2,5092,221220.625,1932129901.4647365,1931908680.8397365,4.202323085581774,2.6418970378472295e-05
Jupiter,planet,rv2_coarse,2,0.7,4,4709,22757057.75,303069588.7305254,280312530.9805254,1.2305425752928325,0.21849399401999947
Jupiter,planet,rv2_coarse,3,0.9,3,4724,1137291.3125,10432721.532374576,9295430.219874576,1.2518903830826156,0.21060980950150077
Jupiter,planet,rv2_coarse,5,2.2,2,4855,998612.375,2727689.015036045,1729076.640036045,7.188265354558671,6.561418075534675e-13
Jupiter,planet,rv2_coarse,6,3.93,4,4644,1258905.625,1605354.9378902887,346449.31289028865,0.9291240795469431,0.3528247867332728
Jupiter,planet,rv2_coarse,7,4.7,3,4729,331616.2083333333,2277338.7922894517,1945722.5839561184,1.5453089760025156,0.12227154536391893
Jupiter,planet,rv2_coarse,8,6.55,4,4532,1978257.3125,157791308.37012064,155813051.05762064,1.0268080037378187,0.30451087984652236
Saturn,planet,rv2_coarse,1,0.45,776,4318,3394044377.6655927,1668510297.274476,-1725534080.3911166,-0.8651688124491143,0.38694614040744213
Saturn,planet,rv2_coarse,2,0.7,715,3998,16408847.485314686,354055376.5910565,337646529.10574186,1.2596327507791942,0.2078018752346944
Saturn,planet,rv2_coarse,3,0.9,702,4025,3535108.2418091167,11628805.566987578,8093697.325178461,0.9205281963285888,0.35729680536554165
Saturn,planet,rv2_coarse,4,1.31,697,3974,1952615.837876614,2121091.253585808,168475.41570919403,0.6764542769840035,0.49875226646282655
Saturn,planet,rv2_coarse,5,2.2,755,4102,4688397.996440398,2365964.6283367868,-2322433.368103611,-1.5661928304731316,0.11730348066194196
Saturn,planet,rv2_coarse,6,3.93,701,3947,1350281.943741084,1650305.6274385608,300023.68369747675,1.7462788587084679,0.0807625076486378
Saturn,planet,rv2_coarse,7,4.7,721,4011,3617493.695821775,2034983.057261111,-1582510.6385606641,-0.4508400611501082,0.652104825734366
Saturn,planet,rv2_coarse,8,6.55,677,3859,2547960.1002584933,184864771.5923197,182316811.4920612,1.023086595290589,0.306266904271558
Saturn,planet,rv2_coarse,9,9.18,765,4345,348067611.03369075,330808672.3016596,-17258938.732031167,-0.04621382670757051,0.9631398221307119
Uranus,planet,rv2_coarse,1,0.45,62,5032,133950907.56854838,1953517675.7612157,1819566768.1926672,3.8917498562681034,9.952382617450795e-05
Uranus,planet,rv2_coarse,2,0.7,75,4638,9343855.333333334,307577605.0912126,298233749.75787926,1.290798064468494,0.1967737091432893
Uranus,planet,rv2_coarse,3,0.9,59,4668,1629324.9925847459,10538015.899381427,8908690.90679668,1.18516396019072,0.23595262635920067
Uranus,planet,rv2_coarse,4,1.31,64,4607,1701077.796875,2101437.139515954,400359.34264095407,1.8925408869194518,0.058418951345364345
Uranus,planet,rv2_coarse,5,2.2,58,4799,1049040.8405172413,2747256.3083975827,1698215.4678803415,6.955221314509864,3.5200731218765213e-12
Uranus,planet,rv2_coarse,6,3.93,73,4575,1016218.9255136986,1614452.4530054645,598233.5274917659,3.5753886005932145,0.00034970806243750374
Uranus,planet,rv2_coarse,7,4.7,67,4665,363332.6464552239,2303577.001082383,1940244.3546271592,1.5196890662484392,0.1285891408602644
Uranus,planet,rv2_coarse,8,6.55,69,4467,1553102.2916666667,160065135.10286808,158512032.81120142,1.0296282689516587,0.3031845397706494
Uranus,planet,rv2_coarse,9,9.18,81,5029,965080.7029320988,338746715.4612342,337781634.7583021,2.543622988251458,0.01097094269408383
Neptune,planet,rv2_coarse,1,0.45,693,4401,2364306048.4152236,1863199683.9690838,-501106364.4461398,-0.2795081921218218,0.7798548520473203
Neptune,planet,rv2_coarse,2,0.7,641,4072,10632580.686427457,348828643.74829173,338196063.06186426,1.2852580275353205,0.19870213207269316
Neptune,planet,rv2_coarse,3,0.9,616,4111,2981222.262885552,11542484.913387861,8561262.65050231,1.0023301497809003,0.3161841656040427
Neptune,planet,rv2_coarse,4,1.31,636,4035,2278465.0455974843,2067183.6708178439,-211281.37477964046,-0.903530766797521,0.36624426688927025
Neptune,planet,rv2_coarse,5,2.2,649,4208,2202515.7343027736,2807864.7056053947,605348.9713026211,1.9752779960092732,0.04823660889877357
Neptune,planet,rv2_coarse,6,3.93,613,4035,1262870.1184747145,1657042.0251394052,394171.9066646907,2.449817969073293,0.014292845105172924
Neptune,planet,rv2_coarse,7,4.7,635,4097,437623.6222440945,2561054.1853153077,2123430.563071213,1.4578104969618424,0.14489278413201845
Neptune,planet,rv2_coarse,8,6.55,623,3913,2298214.5878435997,182388534.3405086,180090319.752665,1.0247318999945134,0.3054897068067788
Neptune,planet,rv2_coarse,9,9.18,709,4401,210414083.97660658,353204230.4140128,142790146.4374062,0.6171499031829579,0.5371358555554104
