target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value,perm_rep
Fornax-A,fixed,rv2_coarse,1,0.45,1284,3810,2393110724.209161,1775761609.137828,-617349115.0713327,-0.47156946514213594,0.6372341260965497,0
Fornax-A,fixed,rv2_coarse,2,0.7,1101,3612,945453793.8247048,106949361.72814062,-838504432.0965642,-0.8939708080607794,0.37133751028561157,0
Fornax-A,fixed,rv2_coarse,3,0.9,1128,3599,1932972.8566600177,13088967.771759516,11155994.915099498,1.144682500974242,0.25234070285665866,0
Fornax-A,fixed,rv2_coarse,4,1.31,1146,3525,1838468.4749672774,2179660.9953014185,341192.5203341411,1.2944732500239686,0.1955020033082404,0
Fornax-A,fixed,rv2_coarse,5,2.2,1160,3697,2406315.010290948,2827590.4735765485,421275.4632856003,1.207236095987356,0.22734123305411402,0
Fornax-A,fixed,rv2_coarse,6,3.93,1125,3523,1744083.8291111111,1560661.2677583026,-183422.5613528085,-0.9433703070730413,0.34549152547215467,0
Fornax-A,fixed,rv2_coarse,7,4.7,1172,3560,390536.72914889076,2896859.8176402575,2506323.0884913667,1.4985611731318662,0.13398751168690248,0
Fornax-A,fixed,rv2_coarse,8,6.55,1073,3463,642971267.8729686,7279801.36729466,-635691466.5056739,-0.992358545070019,0.32102265361102145,0
Fornax-A,fixed,rv2_coarse,9,9.18,1250,3860,200179654.75705,376531304.4417544,176351649.6847044,0.6914357998340033,0.48929171293220985,0
Cygnus-A,fixed,rv2_coarse,1,0.45,25,5069,13611439.285,1940829673.4499037,1927218234.1649036,4.172820737600723,3.0085164544058074e-05,0
Cygnus-A,fixed,rv2_coarse,2,0.7,19,4694,18737496.05263158,303981616.7741892,285244120.7215576,1.2477414445584851,0.21212575853176752,0
Cygnus-A,fixed,rv2_coarse,3,0.9,12,4715,1210501.65625,10450278.339978792,9239776.683728792,1.2418209746738689,0.21430262215973728,0
Cygnus-A,fixed,rv2_coarse,4,1.31,23,4648,1448556.8695652173,2099155.136133821,650598.2665686039,3.1663162370859204,0.0015438285609514768,0
Cygnus-A,fixed,rv2_coarse,5,2.2,24,4833,1928467.6041666667,2730942.3071073866,802474.7029407199,1.6436529322179407,0.10024791351086781,0
Cygnus-A,fixed,rv2_coarse,6,3.93,24,4624,590557.9322916666,1610322.3537386463,1019764.4214469796,9.619810510175936,0.0,0
Cygnus-A,fixed,rv2_coarse,7,4.7,20,4712,294498.9875,2284516.13276991,1990017.14526991,1.5747752027657242,0.11530834212327212,0
Cygnus-A,fixed,rv2_coarse,8,6.55,16,4520,699642.44921875,158209497.40784276,157509854.958624,1.0352626332480652,0.30054627542123047,0
Cygnus-A,fixed,rv2_coarse,9,9.18,34,5076,602841.4834558824,335621534.0782204,335018692.59476453,2.5463812428815156,0.010884624027134082,0
Sag-A,fixed,rv2_coarse,1,0.45,774,4320,2264267678.9001937,1871727480.8404949,-392540198.0596988,-0.24267137992476562,0.8082599803091037,0
Sag-A,fixed,rv2_coarse,2,0.7,725,3988,60968186.14482759,346801350.7041234,285833164.5592958,1.0458579430791197,0.2956266243266277,0
Sag-A,fixed,rv2_coarse,3,0.9,705,4022,5830659.682358156,11232464.77295189,5401805.090593734,0.5762339754258672,0.5644570433911953,0
