target,frequency_band,mean,std,obs_z,n_blocked,n_visible,perm_percentile,perm_reps
Cygnus-A,1,4.152614210867766,0.02647634638949432,4.163317045304949,22,5072,0.65,20
Cygnus-A,2,1.2993070559558755,0.025222476786548233,1.2612176800608952,21,4692,0.15,20
Cygnus-A,3,1.037502530835986,0.1951228766919243,1.1778699951390532,14,4713,0.8,20
Cygnus-A,4,-1.0641931477144344,0.07494093305596548,-0.9941818239530978,21,4650,0.75,20
Cygnus-A,5,2.4655332375912176,0.9630201990940951,1.1897586467892884,21,4836,0.1,20
Cygnus-A,6,9.364395108128047,1.2560287850734866,8.11403897891464,19,4629,0.15,20
Cygnus-A,7,1.5584816954376397,0.019434367879810864,1.5564215879337913,27,4705,0.4,20
Cygnus-A,8,1.0346408731434455,0.00021423550570379762,1.034708741795869,19,4517,0.5,20
Cygnus-A,9,2.5329817740872214,0.003274483948301787,2.5339027044424234,33,5077,0.4,20
Fornax-A,1,1.6098761809410882,0.4115766187424556,1.839939139176857,1283,3811,0.6,20
Fornax-A,2,1.269282156380417,0.009347736665817036,1.2850491914722126,1128,3585,0.9,20
Fornax-A,3,-0.9555625192495893,0.005318470033721199,-0.9568743671618306,1130,3597,0.55,20
Fornax-A,4,1.9081864202375023,0.1449506902817824,2.1446547443983035,1127,3544,1.0,20
Fornax-A,5,1.3145349285612702,0.17411367675998365,1.43492251691601,1150,3707,0.8,20
Fornax-A,6,-0.9037452666643127,0.581993945988485,-0.7515026768485662,1128,3520,0.7,20
Fornax-A,7,1.5123963847384685,0.005295019839980083,1.5150566469106215,1160,3572,0.75,20
Fornax-A,8,-0.1816467308988298,1.0162244899629447,1.0306827331203903,1100,3436,0.7,20
Fornax-A,9,0.6760808119703139,1.0244311750196142,0.12504217873242238,1233,3877,0.45,20
Jupiter,1,-0.004167184158835579,0.651195166817189,4.202323085581774,2,5092,1.0,20
Jupiter,2,0.906696209152139,0.010956334539636344,1.2305425752928325,4,4709,1.0,20
Jupiter,3,1.1316443072845328,0.005824537732241504,1.2518903830826156,3,4724,1.0,20
Jupiter,5,6.443609840388686,0.06822470772006335,7.188265354558671,2,4855,1.0,20
Jupiter,6,2.0752232708234257,1.2815695731929437,0.9291240795469431,4,4644,0.1,20
Jupiter,7,0.628983373012324,1.1698704957157757,1.5453089760025156,3,4729,0.95,20
Jupiter,8,1.0242427133984524,0.0028626548501400105,1.0268080037378187,4,4532,0.9,20
Mars,1,0.4038299994158434,0.7813104254521588,-0.7613741285007307,165,4929,0.1,20
Mars,2,1.0630641934748892,0.00880197315516527,1.3107794652372404,154,4559,1.0,20
Mars,3,0.6477786296405379,0.015268266124143944,1.1556820935605667,140,4587,1.0,20
Mars,4,-0.09786612757368915,0.16632296847115088,0.0387843712629579,131,4540,0.75,20
Mars,5,1.7018436192947821,0.25577999084098163,6.460159069427692,188,4669,1.0,20
Mars,6,2.5120951883122773,1.1846736915715508,0.7111601060577074,131,4517,0.0,20
Mars,7,-0.8550989087420927,0.007272528409256258,1.5624753160786833,148,4584,1.0,20
Mars,8,0.2172129729803071,1.0156549862155493,1.0154194066033295,147,4389,0.4,20
Mars,9,0.6296937942898555,0.8147957776349601,-0.37956062685024256,134,4976,0.3,20
Mercury,1,-0.005837393439751976,0.7557530723844997,0.5324601717536507,21,5073,0.7,20
Mercury,2,1.2712216859819283,0.013308043330624726,1.1606039187928492,15,4698,0.0,20
Mercury,3,1.0081224116572578,0.07939007250255369,1.2278190709174501,11,4716,1.0,20
Mercury,4,0.9649404725437597,0.1276278262577481,2.1840842315066293,12,4659,1.0,20
Mercury,5,0.6087033556332268,1.2793711071544265,7.393058316325984,13,4844,1.0,20
Mercury,6,1.245800725422294,0.42224131636010276,0.5492919421580111,16,4632,0.05,20
Mercury,7,-0.2442416902433055,0.6013948571925789,1.524853480589668,18,4714,1.0,20
Mercury,8,1.02032001409823,0.018325280266594256,1.033716718632741,16,4520,1.0,20
Mercury,9,-0.9410521352908734,0.4779740111666427,-0.9958561557247354,11,5099,0.55,20
Neptune,1,-0.3637406130735156,0.6280395141334055,-0.2795081921218218,693,4401,0.55,20
Neptune,2,-0.8801021368839066,0.6114447851229373,1.2852580275353205,641,4072,1.0,20
Neptune,3,1.1155895041355741,0.01869993384781098,1.0023301497809003,616,4111,0.0,20
Neptune,4,-0.7555586677380975,0.037035654140801004,-0.903530766797521,636,4035,0.0,20
Neptune,5,0.19109329979783804,0.7309634354837575,1.9752779960092732,649,4208,1.0,20
Neptune,6,-1.2799180251675648,0.35847179876530694,2.449817969073293,613,4035,1.0,20
Neptune,7,1.2163907970623535,0.42180836258342397,1.4578104969618424,635,4097,0.3,20
Neptune,8,0.9511933553257139,0.04145392394807886,1.0247318999945134,623,3913,1.0,20
Neptune,9,1.6479811367474055,0.9711663460274774,0.6171499031829579,709,4401,0.15,20
Sag-A,1,0.6351680438935089,1.175201416683133,0.1301246872921219,786,4308,0.45,20
Sag-A,2,1.1041807403860133,0.11518949559703223,1.0383321759966515,720,3993,0.65,20
Sag-A,3,0.6726793459123408,0.2590907763184536,0.4753044091525388,686,4041,0.25,20
Sag-A,4,-1.0496511732525564,0.13638126351257202,-1.5390474405552224,731,3940,0.0,20
Sag-A,5,1.3120571755532098,0.28141151441526324,0.823919178256562,737,4120,0.1,20
Sag-A,6,4.007209194773845,0.8709840829908135,4.059712594557774,665,3983,0.3,20
Sag-A,7,0.09252136864314942,1.0155151478262636,-0.8915935487776895,682,4050,0.3,20
Sag-A,8,1.0241659592810166,0.002512272036651642,1.0245273375002049,681,3855,0.55,20
Sag-A,9,0.8216583081290073,0.08583067926202344,0.917269505090322,776,4334,0.8,20
Saturn,1,-0.7565252085324289,0.6968584071723851,-0.8651688124491143,776,4318,0.65,20
Saturn,2,1.2686694714949878,0.004794841538992126,1.2596327507791942,715,3998,0.0,20
Saturn,3,1.0053965640494191,0.04870681193501363,0.9205281963285888,702,4025,0.0,20
Saturn,4,0.1091572374756512,1.0615329039794283,0.6764542769840035,697,3974,0.5,20
Saturn,5,-1.7165611938431014,0.08710683227943165,-1.5661928304731316,755,4102,0.9,20
Saturn,6,2.393744983521743,1.8483989553696234,1.7462788587084679,701,3947,0.65,20
Saturn,7,0.4302017803964017,0.8896784852848212,-0.4508400611501082,721,4011,0.0,20
