target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Random-00,random,rv2_coarse,1,0.45,775,4319,3237883863.594919,1696931212.4134347,-1540952651.1814845,-0.7738122242638695,0.4390418424916498
Random-00,random,rv2_coarse,2,0.7,734,3979,15232546.145776566,355884652.59915656,340652106.45338,1.2648266523797913,0.20593347500493486
Random-00,random,rv2_coarse,3,0.9,717,4010,2220376.969665272,11894159.128584787,9673782.158919515,1.1057445656722134,0.268837094729772
Random-00,random,rv2_coarse,4,1.31,707,3964,1917763.5459688825,2127732.3546291622,209968.80866027973,0.8465272776381019,0.3972586633985926
Random-00,random,rv2_coarse,5,2.2,766,4091,3479403.910737598,2586092.39724395,-893311.5134936478,-0.7238118268336055,0.46918126751720624
Random-00,random,rv2_coarse,6,3.93,705,3943,1380840.7664007093,1645146.1358737003,264305.369472991,1.5402954347976743,0.12348835607322717
Random-00,random,rv2_coarse,7,4.7,734,3998,3552518.313606948,2041766.271929544,-1510752.0416774042,-0.4367270603716368,0.6623093019834387
Random-00,random,rv2_coarse,8,6.55,683,3853,2462371.9922218155,185163852.1910068,182701480.198785,1.023651560306341,0.30599988246608767
Random-00,random,rv2_coarse,9,9.18,809,4301,415358809.0323992,317974919.10817796,-97383889.92422122,-0.26567659678088107,0.7904882888766527
Random-01,random,rv2_coarse,1,0.45,1028,4066,3394586773.1476774,1561429094.4180706,-1833157678.7296069,-1.1581869007477597,0.246787772784971
Random-01,random,rv2_coarse,2,0.7,940,3773,12723902.457446808,375108733.9658213,362384831.5083745,1.2760854398020105,0.20192531799962765
Random-01,random,rv2_coarse,3,0.9,994,3733,2755561.9432218308,12469477.584064426,9713915.640842594,1.0299218199796825,0.30304670690798563
Random-01,random,rv2_coarse,4,1.31,985,3686,2625069.082360406,1954556.9274620186,-670512.1548983874,-0.744802847546129,0.4563909132248667
Random-01,random,rv2_coarse,5,2.2,1024,3833,3112963.765319824,2623859.2478639446,-489104.5174558796,-0.726253691483271,0.4676832625114451
Random-01,random,rv2_coarse,6,3.93,965,3683,1246260.296761658,1699066.7302979908,452806.4335363328,3.024016632331766,0.0024944272462681383
Random-01,random,rv2_coarse,7,4.7,1011,3721,384067.0841857729,2790174.193832303,2406107.10964653,1.5037029654890537,0.13265786533024548
Random-01,random,rv2_coarse,8,6.55,981,3555,20617857.297400612,195468918.2992649,174851061.00186428,0.9020721098076865,0.36701856335727134
Random-01,random,rv2_coarse,9,9.18,1038,4072,1064533801.7844789,147016040.60392812,-917517761.1805508,-1.74213119495383,0.08148549015606688
Random-02,random,rv2_coarse,1,0.45,922,4172,2576902434.0346394,1788710895.6183486,-788191538.4162908,-0.5287899482850212,0.5969511714116815
Random-02,random,rv2_coarse,2,0.7,863,3850,58578499.957126305,357582461.32468677,299003961.36756045,1.0624023839992882,0.28805305198506037
Random-02,random,rv2_coarse,3,0.9,843,3884,5289503.691355279,11541847.780912075,6252344.0895567965,0.6602626302472312,0.5090853068703103
Random-02,random,rv2_coarse,4,1.31,816,3855,2212572.036764706,2071266.1734760052,-141305.8632887008,-0.5673394081122904,0.5704836077747812
Random-02,random,rv2_coarse,5,2.2,870,3987,2289894.5637931037,2822352.425946827,532457.8621537234,1.762286045584577,0.07802098036723404
Random-02,random,rv2_coarse,6,3.93,808,3840,1258880.1833230199,1677898.1161295574,419017.9328065375,2.4030070678026942,0.016260873145785393
Random-02,random,rv2_coarse,7,4.7,846,3886,6741183.780806738,1304037.1896035296,-5437146.591203208,-0.857306361070432,0.3912755939428034
Random-02,random,rv2_coarse,8,6.55,809,3727,852454020.9828926,6837354.329883703,-845616666.6530089,-0.9954385897028565,0.31952299790944183
Random-02,random,rv2_coarse,9,9.18,925,4185,136643089.90769425,376879461.2728476,240236371.36515334,1.1661872942893938,0.24353872848698632
Random-03,random,rv2_coarse,1,0.45,494,4600,3237248609.125759,1791131540.8242526,-1446117068.3015065,-0.5907574300987316,0.5546829618690401
Random-03,random,rv2_coarse,2,0.7,498,4215,84608305.97188754,328614658.4078396,244006352.43595207,0.9219749953896365,0.35654161849157084
Random-03,random,rv2_coarse,3,0.9,449,4278,2148116.3435412026,11295718.596219027,9147602.252677824,1.1156263636987551,0.26458210231716484
Random-03,random,rv2_coarse,4,1.31,463,4208,2119089.7753779697,2093405.7306915398,-25684.0446864299,-0.11474256745370177,0.9086491727802932
Random-03,random,rv2_coarse,5,2.2,528,4329,1196575.3239820076,2913637.242247055,1717061.9182650473,6.366740633425424,1.9308732390754813e-10
Random-03,random,rv2_coarse,6,3.93,475,4173,1022009.0646052632,1671423.3521147855,649414.2875095223,4.518248020796598,6.235342002947064e-06
Random-03,random,rv2_coarse,7,4.7,495,4237,11217181.615782829,1231537.6675830344,-9985643.948199794,-0.9254241057860848,0.3547453445509896
Random-03,random,rv2_coarse,8,6.55,477,4059,2873504.055776664,175843178.40059897,172969674.34482232,1.0209248417799526,0.3072900485528909
Random-03,random,rv2_coarse,9,9.18,565,4545,5840534.146895741,374111221.5178192,368270687.37092346,2.5060341960142565,0.012209381105922956
Random-04,random,rv2_coarse,1,0.45,957,4137,3462145749.0278864,1577261885.153493,-1884883863.8743935,-1.1178233135345614,0.26364246238261235
Random-04,random,rv2_coarse,2,0.7,854,3859,12629474.149882903,367053679.8753677,354424205.7254848,1.2764900697827728,0.20178233489742325
Random-04,random,rv2_coarse,3,0.9,890,3837,3064516.150561798,12134524.112294761,9070007.961732963,0.9871251877242881,0.3235812713195205
Random-04,random,rv2_coarse,4,1.31,902,3769,2843360.840493348,1917081.030147254,-926279.810346094,-0.9414121712332679,0.3464936787112145
Random-04,random,rv2_coarse,5,2.2,923,3934,4452889.729753521,2322041.223230173,-2130848.5065233484,-1.7390657454184273,0.08202319910669198
Random-04,random,rv2_coarse,6,3.93,865,3783,1150418.628034682,1709011.853241475,558593.225206793,3.8995577544050626,9.636854865857636e-05
Random-04,random,rv2_coarse,7,4.7,917,3815,381702.47319990885,2731457.098148755,2349754.624948846,1.5055981027681096,0.1321703758168391
Random-04,random,rv2_coarse,8,6.55,882,3654,11279905.15036848,192985562.73125663,181705657.58088815,0.9645153889815494,0.33478759683363757
Random-04,random,rv2_coarse,9,9.18,943,4167,1171667881.1314042,143689126.87414694,-1027978754.2572572,-1.7800157114068378,0.0750733894740292
Random-05,random,rv2_coarse,1,0.45,134,4960,374293404.6637127,1973437617.8376513,1599144213.1739385,2.75728591878664,0.005828336390089506
Random-05,random,rv2_coarse,2,0.7,95,4618,9630688.094736842,308863318.79472584,299232630.699989,1.2896606436313816,0.19716850994759882
Random-05,random,rv2_coarse,3,0.9,94,4633,375880264.09574467,3012053.435759767,-372868210.6599849,-1.007463604799184,0.3137120390915671
Random-05,random,rv2_coarse,4,1.31,90,4581,2186317.4777777777,2094176.2295896092,-92141.24818816851,-0.3204096741960356,0.7486577928654268
Random-05,random,rv2_coarse,5,2.2,83,4774,5667314.1867469875,2675856.789956012,-2991457.3967909757,-6.410048293049156,1.4547363313965889e-10
Random-05,random,rv2_coarse,6,3.93,87,4561,1059331.4992816092,1615466.3700120586,556134.8707304494,1.322871197653669,0.18587821509531466
Random-05,random,rv2_coarse,7,4.7,87,4645,435480.3879310345,2310579.807020843,1875099.4190898086,1.462688025280865,0.14355276429575525
Random-05,random,rv2_coarse,8,6.55,88,4448,6813758.572443182,160638154.63315237,153824396.06070918,0.9945692500939275,0.3199458092600622
Random-05,random,rv2_coarse,9,9.18,95,5015,6020695.528289474,339593905.78590167,333573210.25761217,2.504121600346258,0.012275583617428865
Random-06,random,rv2_coarse,1,0.45,1235,3859,2066990063.6734817,1887969207.5830364,-179020856.09044528,-0.19549295081706114,0.8450070556546974
Random-06,random,rv2_coarse,2,0.7,1196,3517,1121430683.514214,24456816.627820287,-1096973866.8863938,-1.2257052238739004,0.22030962368428053
Random-06,random,rv2_coarse,3,0.9,1246,3481,2172548.589436196,13381382.605698794,11208834.016262598,1.1121523493238399,0.2660726517886891
Random-06,random,rv2_coarse,4,1.31,1214,3457,2497743.1193369026,1954853.842601967,-542889.2767349356,-0.7413235013157801,0.45849731546386385
Random-06,random,rv2_coarse,5,2.2,1264,3593,2525758.255834652,2797764.8086209297,272006.5527862776,0.7519979973769494,0.4520522631081929
Random-06,random,rv2_coarse,6,3.93,1205,3443,1872693.956120332,1511387.6668421435,-361306.2892781885,-1.345781651355824,0.17837294456459984
Random-06,random,rv2_coarse,7,4.7,1200,3532,402362.06244791666,2912711.076564076,2510349.014116159,1.489196043730534,0.1364357523094324
Random-06,random,rv2_coarse,8,6.55,1192,3344,17589087.812126417,207581318.74718362,189992230.9350572,0.9228264387366895,0.3560976604459136
Random-06,random,rv2_coarse,9,9.18,1292,3818,233773054.2343901,367103357.12955797,133330302.89516786,0.48045659944911107,0.6309027567066159
Random-07,random,rv2_coarse,1,0.45,814,4280,749164473.0056819,2156211686.8395004,1407047213.8338184,1.8990838514177502,0.05755345198635231
Random-07,random,rv2_coarse,2,0.7,756,3957,11897119.214285715,358415845.1951084,346518725.9808227,1.279544853960527,0.2007052550633941
Random-07,random,rv2_coarse,3,0.9,723,4004,50366984.74308437,3214849.7561501,-47152134.986934274,-0.9752154422558256,0.32945340375771015
