target,kind,data_col,frequency_band,frequency_mhz,z_score,random_percentile,random_n
Fornax-A,fixed,rv2_coarse,1,0.45,-6.181511277145178,0.082,500
Cygnus-A,fixed,rv2_coarse,1,0.45,15.717318842200962,0.994,500
Sag-A,fixed,rv2_coarse,1,0.45,5.087296388724554,0.802,500
Mercury,planet,rv2_coarse,1,0.45,1.9377133551562904,0.534,500
Venus,planet,rv2_coarse,1,0.45,1.2796982940646116,0.478,500
Mars,planet,rv2_coarse,1,0.45,7.498800372103241,0.946,500
Jupiter,planet,rv2_coarse,1,0.45,0.3287969314031577,0.372,500
Saturn,planet,rv2_coarse,1,0.45,4.756552714627683,0.782,500
Uranus,planet,rv2_coarse,1,0.45,-0.29340180454834375,0.276,500
Neptune,planet,rv2_coarse,1,0.45,4.340493260172328,0.742,500
Earth,earth,rv2_coarse,1,0.45,30.42335405180951,0.996,500
Fornax-A,fixed,rv2_coarse,2,0.7,-1.702545219121966,0.178,500
Cygnus-A,fixed,rv2_coarse,2,0.7,12.981142545172007,0.896,500
Sag-A,fixed,rv2_coarse,2,0.7,2.6760543572327418,0.522,500
Mercury,planet,rv2_coarse,2,0.7,0.9435343386186611,0.386,500
Venus,planet,rv2_coarse,2,0.7,0.9205761309034919,0.384,500
Mars,planet,rv2_coarse,2,0.7,5.507661302080815,0.69,500
Jupiter,planet,rv2_coarse,2,0.7,12.918364725606942,0.874,500
Saturn,planet,rv2_coarse,2,0.7,4.140276524459112,0.628,500
Uranus,planet,rv2_coarse,2,0.7,-1.7471799819832945,0.172,500
Neptune,planet,rv2_coarse,2,0.7,1.2994397058467644,0.408,500
Earth,earth,rv2_coarse,2,0.7,13.073608802833457,0.948,500
Fornax-A,fixed,rv2_coarse,3,0.9,2.393089350655936,0.468,500
Cygnus-A,fixed,rv2_coarse,3,0.9,2.479659412405698,0.532,500
Sag-A,fixed,rv2_coarse,3,0.9,2.287838303594181,0.438,500
Mercury,planet,rv2_coarse,3,0.9,2.8699819181303856,0.672,500
Venus,planet,rv2_coarse,3,0.9,2.743111641254936,0.628,500
Mars,planet,rv2_coarse,3,0.9,2.8141947809865826,0.65,500
Jupiter,planet,rv2_coarse,3,0.9,2.946270116775721,0.726,500
Saturn,planet,rv2_coarse,3,0.9,1.5142355874375,0.264,500
Uranus,planet,rv2_coarse,3,0.9,2.962612339834931,0.738,500
Neptune,planet,rv2_coarse,3,0.9,2.1878399648869493,0.412,500
Earth,earth,rv2_coarse,3,0.9,2.5553564085762295,0.542,500
Fornax-A,fixed,rv2_coarse,4,1.31,6.775299682481991,0.564,500
Cygnus-A,fixed,rv2_coarse,4,1.31,1.3445893476896447,0.39,500
Sag-A,fixed,rv2_coarse,4,1.31,1.1245657210389204,0.38,500
Mercury,planet,rv2_coarse,4,1.31,6.141578586068759,0.538,500
Venus,planet,rv2_coarse,4,1.31,4.132003754985959,0.444,500
Mars,planet,rv2_coarse,4,1.31,4.365276257020449,0.454,500
Jupiter,planet,rv2_coarse,4,1.31,9.248006258062402,0.79,500
Saturn,planet,rv2_coarse,4,1.31,-1.5960900907104751,0.266,500
Uranus,planet,rv2_coarse,4,1.31,8.95126275121317,0.736,500
Neptune,planet,rv2_coarse,4,1.31,0.4097005283878405,0.38,500
Earth,earth,rv2_coarse,4,1.31,4.845795315632841,0.462,500
Fornax-A,fixed,rv2_coarse,5,2.2,-0.9274274809706814,0.15,500
Cygnus-A,fixed,rv2_coarse,5,2.2,3.6633062793608797,0.694,500
Sag-A,fixed,rv2_coarse,5,2.2,3.495999082062807,0.588,500
Mercury,planet,rv2_coarse,5,2.2,3.9166813156289906,0.906,500
Venus,planet,rv2_coarse,5,2.2,3.8348702049113523,0.778,500
Mars,planet,rv2_coarse,5,2.2,3.89080434957602,0.838,500
Jupiter,planet,rv2_coarse,5,2.2,3.8034836300068577,0.774,500
Saturn,planet,rv2_coarse,5,2.2,3.3794683430402666,0.548,500
Uranus,planet,rv2_coarse,5,2.2,3.91185110552747,0.894,500
Neptune,planet,rv2_coarse,5,2.2,0.2956348080853127,0.254,500
Earth,earth,rv2_coarse,5,2.2,3.4421633293977334,0.566,500
Fornax-A,fixed,rv2_coarse,6,3.93,1.880017764374033,0.436,500
