target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Random-00,random,rv2_coarse,1,0.45,132316,545874,2499251959.5387273,3628093323.849734,1128841364.3110065,6.952470849539159,3.589351038613131e-12
Random-00,random,rv2_coarse,2,0.7,134765,558828,136589193.42264652,262154502.3804644,125565308.95781788,3.671746147303706,0.0002408989044844212
Random-00,random,rv2_coarse,3,0.9,135155,558936,3783008.124707743,11159980.21407462,7376972.089366876,2.1418726947217266,0.032203727658557835
Random-00,random,rv2_coarse,4,1.31,135289,559453,3104502.2599952696,2610235.994281621,-494266.2657136484,-1.0163279781369379,0.3094732296960889
Random-00,random,rv2_coarse,5,2.2,135102,558184,2595473.9353493103,18698056.42602654,16102582.490677232,3.5218986369135714,0.0004284679373491862
Random-00,random,rv2_coarse,6,3.93,134820,557012,1901259.9881335415,8026284.960852327,6125024.9727187855,2.3185692678880523,0.02041840307454157
Random-00,random,rv2_coarse,7,4.7,132554,549972,53077930.52077277,215526802.2397063,162448871.71893352,7.829398152480519,4.884981308350689e-15
Random-00,random,rv2_coarse,8,6.55,132477,549330,192409434.73819068,329888812.89377826,137479378.15558758,4.446355746610814,8.733926859072483e-06
Random-00,random,rv2_coarse,9,9.18,120436,498227,209506054.92350537,342088686.3772576,132582631.45375222,4.589460238939996,4.443936343578869e-06
Random-01,random,rv2_coarse,1,0.45,130800,547390,3142104092.1318936,3471356111.8957677,329252019.76387405,1.8275744856317324,0.06761343790391483
Random-01,random,rv2_coarse,2,0.7,134085,559508,129077213.13463494,263802127.55620217,134724914.42156723,3.9218062502956554,8.788765146805488e-05
Random-01,random,rv2_coarse,3,0.9,134086,560005,29986768.76336642,4871744.515895638,-25115024.24747078,-1.9745954508048444,0.04831407573548563
Random-01,random,rv2_coarse,4,1.31,134085,560657,2710736.082558638,2705469.3267567526,-5266.755801885389,-0.015750378737596014,0.9874335355503743
Random-01,random,rv2_coarse,5,2.2,133993,559293,33626988.9274407,11231730.989596149,-22395257.937844552,-1.6153778294476702,0.10622889841408911
Random-01,random,rv2_coarse,6,3.93,133818,558014,4544648.178376251,7381372.475028382,2836724.296652131,0.8524275478578215,0.3939768358195066
Random-01,random,rv2_coarse,7,4.7,131466,551060,47755416.97969105,216475855.32423735,168720438.3445463,7.491675938216805,6.794564910705958e-14
Random-01,random,rv2_coarse,8,6.55,131812,549995,221190762.73444653,322824842.8716582,101634080.13721168,2.969291354442594,0.0029848743808496003
Random-01,random,rv2_coarse,9,9.18,119571,499092,285774497.7655111,323586730.91560143,37812233.15009034,1.0809086819700502,0.27973773628177456
Random-02,random,rv2_coarse,1,0.45,136297,541893,3463510846.392732,3393855797.19739,-69655049.19534206,-0.3552109445840987,0.7224315660882652
Random-02,random,rv2_coarse,2,0.7,139467,554126,207547335.3418621,245360648.46217218,37813313.12031007,0.846236522131822,0.39742081151487296
Random-02,random,rv2_coarse,3,0.9,139609,554482,2983714.809440199,11420485.648222575,8436770.838782376,2.4503075180849283,0.014273425375233684
Random-02,random,rv2_coarse,4,1.31,139966,554776,2275970.7671149406,2815101.661880337,539130.8947653966,3.625845933963226,0.0002880170423775752
Random-02,random,rv2_coarse,5,2.2,139578,553708,2674883.6274735276,18808207.106928673,16133323.479455145,3.500734492414785,0.00046397784691420974
Random-02,random,rv2_coarse,6,3.93,139079,552753,7335163.588034336,6706246.177866449,-628917.4101678878,-0.13372417823323127,0.8936206854114968
Random-02,random,rv2_coarse,7,4.7,137455,545071,432554823.66997427,121291676.12305559,-311263147.5469187,-6.780511736731389,1.1975087588211863e-11
Random-02,random,rv2_coarse,8,6.55,137064,544743,419926331.6583723,273800422.4934095,-146125909.16496277,-3.402093518033822,0.0006687175075243967
Random-02,random,rv2_coarse,9,9.18,124489,494174,378184271.6855497,300683786.23842376,-77500485.44712591,-2.161419854043137,0.030662921810240995
Random-03,random,rv2_coarse,1,0.45,84278,593912,3131472234.9860935,3447074011.505606,315601776.51951265,1.3705920639238904,0.17050215827609216
Random-03,random,rv2_coarse,2,0.7,86223,607370,239782128.78250057,237469720.95733994,-2312407.8251606226,-0.04002400879886973,0.9680739853724614
Random-03,random,rv2_coarse,3,0.9,86500,607591,2018342.3557877077,10820470.59659088,8802128.240803173,2.801716607329471,0.005083150434630479
Random-03,random,rv2_coarse,4,1.31,86603,608139,2082623.627247324,2795327.8937394833,712704.2664921593,5.282239423144615,1.2761427137242265e-07
Random-03,random,rv2_coarse,5,2.2,86383,606903,1266740.5520812834,17594549.37380162,16327808.821720336,3.8833564070718527,0.00010302438360554333
Random-03,random,rv2_coarse,6,3.93,86059,605773,10211056.397347087,6352728.840201111,-3858327.5571459765,-0.5627953108232282,0.5735742737479073
Random-03,random,rv2_coarse,7,4.7,84914,597612,484486718.4429174,141278443.66204906,-343208274.78086835,-5.702585832915065,1.1800345811607826e-08
Random-03,random,rv2_coarse,8,6.55,84632,597175,391181383.8459527,290704037.16682696,-100477346.67912573,-2.130375332451058,0.03314063865641237
Random-03,random,rv2_coarse,9,9.18,77135,541528,386477798.1075431,306279502.1151702,-80198295.99237293,-1.8360455090203467,0.0663509262871973
Random-04,random,rv2_coarse,1,0.45,118239,559951,3156738453.7377214,3460880040.057044,304141586.3193226,1.633911624548098,0.1022774085244944
Random-04,random,rv2_coarse,2,0.7,121294,572299,135844845.96216497,259356654.75868082,123511808.79651585,3.509227094131594,0.00044941100190265537
Random-04,random,rv2_coarse,3,0.9,121201,572890,33362370.756027695,4722467.604649364,-28639903.15137833,-2.0387833899796197,0.04147165076882042
Random-04,random,rv2_coarse,4,1.31,121337,573405,4118842.5955175464,2407620.0241522538,-1711222.5713652926,-2.6968761885728054,0.006999328905342939
Random-04,random,rv2_coarse,5,2.2,121257,572029,37521238.24679812,10904861.224914754,-26616377.02188337,-1.7476262178796294,0.08052877241299328
Random-04,random,rv2_coarse,6,3.93,121115,570717,4702860.912066528,7284657.563817974,2581796.6517514465,0.7532377154162745,0.4513070791990621
Random-04,random,rv2_coarse,7,4.7,118762,563764,38549140.63867791,214613252.07550612,176064111.4368282,8.121702548861025,4.440892098500626e-16
Random-04,random,rv2_coarse,8,6.55,119083,562724,227504407.45818856,319189760.7342269,91685353.27603832,2.560039098622454,0.01046603876553931
Random-04,random,rv2_coarse,9,9.18,108101,510562,280132489.57158613,323931841.6240753,43799352.05248916,1.2308293201624927,0.21838670701184482
Random-05,random,rv2_coarse,1,0.45,13223,664967,3257040368.4594197,3410853459.7195606,153813091.2601409,0.2960335626568523,0.7672044502124429
Random-05,random,rv2_coarse,2,0.7,13356,680237,362116964.82036954,235315463.17788103,-126801501.64248851,-0.7542774320311654,0.45068265068292934
Random-05,random,rv2_coarse,3,0.9,13378,680713,13892081.695554268,9641594.761824384,-4250486.933729883,-0.7959551188334548,0.4260581223953177
Random-05,random,rv2_coarse,4,1.31,13501,681241,3507504.832049478,2690611.0190429464,-816893.8130065314,-4.005882732531163,6.178629889164178e-05
Random-05,random,rv2_coarse,5,2.2,13467,679819,6697734.423020161,15735675.611072872,9037941.18805271,2.4032725881455113,0.016249070076536087
Random-05,random,rv2_coarse,6,3.93,13437,678395,856890.9825358327,6951040.125711579,6094149.143175746,2.8143110456934894,0.0048881905298094885
Random-05,random,rv2_coarse,7,4.7,13273,669253,804591.7671165147,187610244.7611014,186805652.99398488,13.686211239507267,0.0
Random-05,random,rv2_coarse,8,6.55,13132,668675,313905760.8936213,302965470.2519093,-10940290.64171201,-0.0942163912373124,0.9249372643678757
Random-05,random,rv2_coarse,9,9.18,11927,606736,259780983.39386213,317389249.01359165,57608265.61972952,0.5683392405773042,0.5698046386873188
Random-06,random,rv2_coarse,1,0.45,145977,532213,3621772317.636671,3349180459.1955233,-272591858.4411478,-1.5104842816881798,0.1309198971803014
Random-06,random,rv2_coarse,2,0.7,149679,543914,320635675.1583693,214949958.42328665,-105685716.73508266,-2.172033303112662,0.02985315103722197
Random-06,random,rv2_coarse,3,0.9,149524,544567,31523924.410833295,3737692.314120116,-27786232.096713178,-2.180509236014111,0.029219734960907573
Random-06,random,rv2_coarse,4,1.31,149458,545284,3394810.7635728274,2517821.4230736056,-876989.3404992218,-2.5066061799906145,0.012189644022873258
Random-06,random,rv2_coarse,5,2.2,149096,544190,30898209.94034548,11357816.458319725,-19540393.482025757,-1.555434261889945,0.11984267953021654
Random-06,random,rv2_coarse,6,3.93,149138,542694,13476868.26862741,5006784.173710941,-8470084.09491647,-1.059598071909604,0.2893274911500836
Random-06,random,rv2_coarse,7,4.7,147077,535449,72426020.6094213,214618379.43567818,142192358.82625687,6.145455116279493,7.97345522940418e-10
Random-06,random,rv2_coarse,8,6.55,147440,534367,294530380.5353394,305561696.29977167,11031315.764432251,0.2867092577948718,0.7743349483718793
Random-06,random,rv2_coarse,9,9.18,133730,484933,289132995.58319694,323764593.62243503,34631598.039238095,1.0233679938048026,0.30613388640369354
Random-07,random,rv2_coarse,1,0.45,131460,546730,2801726715.4653883,3553596552.8257008,751869837.3603125,4.46967817387477,7.833737853735201e-06
Random-07,random,rv2_coarse,2,0.7,133830,559763,144479641.74685255,260058289.76351035,115578648.0166578,3.2603135065888433,0.0011128912719888806
Random-07,random,rv2_coarse,3,0.9,134191,559900,3083981.739651877,11314814.378287662,8230832.638635784,2.3942716945530296,0.01665340758327516
Random-07,random,rv2_coarse,4,1.31,134553,560189,2094567.740497239,2853463.725232396,758895.9847351569,5.015512413655634,5.289230924354626e-07
Random-07,random,rv2_coarse,5,2.2,134294,558992,4382688.75326662,18245414.682656594,13862725.929389972,2.9752970205533633,0.0029270498724143224
Random-07,random,rv2_coarse,6,3.93,133926,557906,2653677.7555706925,7835851.313880618,5182173.558309926,1.958890793688915,0.05012557742877499
Random-07,random,rv2_coarse,7,4.7,131887,550639,49176066.43638328,216264584.61810923,167088518.18172595,8.169168027627087,2.220446049250313e-16
Random-07,random,rv2_coarse,8,6.55,131772,550035,260630049.54320008,313368973.5823065,52738924.03910643,1.5350256283600738,0.12477753291005511
Random-07,random,rv2_coarse,9,9.18,119756,498907,251308119.51468584,331873948.48708963,80565828.9724038,2.644440447327041,0.008182610402889479
Random-08,random,rv2_coarse,1,0.45,138737,539453,3273404956.3669286,3442432341.4829392,169027385.11601067,0.9589563635272208,0.3375807284730681
Random-08,random,rv2_coarse,2,0.7,142247,551346,338382921.53406394,211795793.32835844,-126587128.2057055,-2.4544782143082955,0.014108921330595159
Random-08,random,rv2_coarse,3,0.9,142276,551815,10370072.427344562,9556816.57685277,-813255.850491792,-0.1176960923507089,0.906308463113346
Random-08,random,rv2_coarse,4,1.31,142311,552431,3504397.944478554,2500936.7470048717,-1003461.1974736825,-4.168971509290787,3.059772300795238e-05
Random-08,random,rv2_coarse,5,2.2,141904,551382,12986616.27127847,16222431.730377963,3235815.459099492,0.5439741916059132,0.586459232825002
Random-08,random,rv2_coarse,6,3.93,141547,550285,17041907.796616666,4206609.279422011,-12835298.517194655,-1.357055236960569,0.1747636600768323
Random-08,random,rv2_coarse,7,4.7,139848,542678,308793407.7010256,151812415.4718881,-156980992.2291375,-3.6496733577314093,0.0002625739865826926
Random-08,random,rv2_coarse,8,6.55,139442,542365,437489387.49289894,268644272.95634073,-168845114.5365582,-3.5301775030513394,0.0004152809523265688
Random-08,random,rv2_coarse,9,9.18,126496,492167,474991628.76055676,275486471.2724618,-199505157.488095,-4.607957578822755,4.06643597727907e-06
Random-09,random,rv2_coarse,1,0.45,130894,547296,4134380822.0778832,3234094884.699345,-900285937.3785381,-4.322973823854321,1.539400041727923e-05
Random-09,random,rv2_coarse,2,0.7,133993,559600,331700799.44512045,215262926.5329219,-116437872.91219854,-2.133095690759287,0.032916877218257756
Random-09,random,rv2_coarse,3,0.9,134072,560019,2294168.8983606696,11502151.447518522,9207982.549157852,2.7010634037395302,0.006911816075273247
Random-09,random,rv2_coarse,4,1.31,134238,560504,1721592.452856183,2942363.009496502,1220770.556640319,8.332468940961805,0.0
Random-09,random,rv2_coarse,5,2.2,134176,559110,24535048.99887787,13406297.353374692,-11128751.64550318,-0.8433071416196792,0.39905668972606456
Random-09,random,rv2_coarse,6,3.93,133851,557981,3351755.112466773,7667696.815224265,4315941.702757492,1.5361656629191507,0.12449775514736139
Random-09,random,rv2_coarse,7,4.7,132503,550023,117694321.33707954,199945361.96395293,82251040.62687339,3.1425823965264663,0.0016746457233756118
Random-09,random,rv2_coarse,8,6.55,132235,549572,279661328.9441477,308834202.6883121,29172873.744164407,0.777427545902672,0.43690656597914
Random-09,random,rv2_coarse,9,9.18,120080,498583,195373123.83482993,345397830.3880452,150024706.55321527,5.480725373961923,4.235855510792419e-08
Random-10,random,rv2_coarse,1,0.45,132404,545786,2457333369.561541,3638444500.0019217,1181111130.4403806,7.383245109770746,1.545430450278218e-13
Random-10,random,rv2_coarse,2,0.7,134801,558792,139340567.33108982,261498860.20393077,122158292.87284094,3.5974014646039523,0.0003214121953238891
Random-10,random,rv2_coarse,3,0.9,135153,558938,4633785.079970015,10954233.222854232,6320448.142884217,1.8206318367657632,0.06866283996129385
Random-10,random,rv2_coarse,4,1.31,135434,559308,3299795.6634615385,2562818.407882751,-736977.2555787875,-1.5138481966868609,0.13006434538159106
Random-10,random,rv2_coarse,5,2.2,135211,558075,4912146.02711133,18139915.730407223,13227769.703295894,2.8350568370559452,0.004581753346329043
Random-10,random,rv2_coarse,6,3.93,134853,556979,2464714.4231728106,7890227.057225348,5425512.634052537,2.047657644881113,0.04059355674249687
Random-10,random,rv2_coarse,7,4.7,132698,549828,42728405.74400286,218067149.17794034,175338743.4339375,9.154652548580193,0.0
Random-10,random,rv2_coarse,8,6.55,132456,549351,214742876.57725883,324498660.80672103,109755784.2294622,3.4109599890173037,0.0006473459006850479
Random-10,random,rv2_coarse,9,9.18,120388,498275,198236292.22240794,344798796.70940334,146562504.4869954,5.29590384432941,1.1842914826587503e-07
Random-11,random,rv2_coarse,1,0.45,2671,675519,256439428.4418289,3420315176.3726974,3163875747.9308686,12.78591808823945,0.0
Random-11,random,rv2_coarse,2,0.7,2699,690894,3711575.28293031,238671491.38099983,234959916.09806952,13.146952988881878,0.0
Random-11,random,rv2_coarse,3,0.9,2674,691417,1340078.7703113314,9755941.484512348,8415862.714201016,3.0482109467804537,0.0023020826483224344
Random-11,random,rv2_coarse,4,1.31,2677,692065,1459676.2705453867,2711308.6351500014,1251632.3646046147,10.543880774428631,0.0
Random-11,random,rv2_coarse,5,2.2,2672,690614,1305016.8557494385,15615267.924890313,14310251.069140874,3.8728873194197817,0.00010755356098979263
Random-11,random,rv2_coarse,6,3.93,2626,689206,696456.2948638614,6856057.57347459,6159601.278610729,2.8887526296632915,0.003867732062545093
Random-11,random,rv2_coarse,7,4.7,2648,679878,296415.9739175203,184692861.91659003,184396445.94267252,13.724438274459823,0.0
Random-11,random,rv2_coarse,8,6.55,2629,679178,8416562.371627163,304317158.58033603,295900596.2087089,18.15890437138125,0.0
Random-11,random,rv2_coarse,9,9.18,2317,616346,299520628.5667333,316341635.8377599,16821007.27102661,0.06029869181608508,0.9519177438315289
Random-12,random,rv2_coarse,1,0.45,122015,556175,3290252387.545767,3433654321.5266395,143401933.98087263,0.7595626203661452,0.4475160697311673
Random-12,random,rv2_coarse,2,0.7,125161,568432,174782718.59398505,251623305.98194918,76840587.38796413,1.9986807596753684,0.045642906071948985
Random-12,random,rv2_coarse,3,0.9,125178,568913,29628575.259923868,5343807.172875531,-24284768.087048337,-1.7867315816705183,0.0739808821138983
Random-12,random,rv2_coarse,4,1.31,124919,569823,2928212.6253922954,2657877.921758082,-270334.7036342132,-0.7477370075740433,0.45461880432388435
Random-12,random,rv2_coarse,5,2.2,124649,568637,36211978.93342907,11033089.098398032,-25178889.83503104,-1.6969867922374102,0.08969915760698233
Random-12,random,rv2_coarse,6,3.93,124604,567228,13998145.314945873,5258626.1809905805,-8739519.133955292,-0.9298188930950334,0.3524648624964182
Random-12,random,rv2_coarse,7,4.7,122693,559833,48788423.04116924,213605486.8066657,164817063.76549643,7.489837922494712,6.905587213168474e-14
Random-12,random,rv2_coarse,8,6.55,122915,558892,242204908.92513365,316585368.71563333,74380459.79049969,1.992238002852596,0.04634495039412223
Random-12,random,rv2_coarse,9,9.18,111409,507254,282994619.4875104,323588860.0503202,40594240.562809825,1.125798904646992,0.2602506479239668
Random-13,random,rv2_coarse,1,0.45,97054,581136,4474971149.534934,3229638135.2979546,-1245333014.2369795,-5.471741640704496,4.456341828884547e-08
Random-13,random,rv2_coarse,2,0.7,99191,594402,281371940.5894117,230478959.9443958,-50892980.645015866,-0.9269972723843376,0.3539279504772084
Random-13,random,rv2_coarse,3,0.9,99329,594762,1987603.8858358334,11015465.779005215,9027861.89316938,2.8124558075947825,0.004916477882640047
Random-13,random,rv2_coarse,4,1.31,99198,595544,1689191.8495761002,2875933.4505378036,1186741.6009617033,8.522052595574044,0.0
Random-13,random,rv2_coarse,5,2.2,99070,594216,5013561.134958355,17318477.028687276,12304915.893728921,2.745110658313046,0.006049049685038277
Random-13,random,rv2_coarse,6,3.93,98814,593018,3201760.142384303,7437693.600371115,4235933.457986812,1.695565537262257,0.08996818896286296
Random-13,random,rv2_coarse,7,4.7,97538,584988,103476327.93178368,197399817.44893226,93923489.51714858,2.9443629476443722,0.0032362024118954835
Random-13,random,rv2_coarse,8,6.55,97272,584535,245738642.83017045,312734322.1661221,66995679.33595163,1.7842672689440893,0.07438024613593863
Random-13,random,rv2_coarse,9,9.18,88557,530106,303003873.1907824,318496257.6924108,15492384.501628399,0.4223068646811024,0.6728010482010611
Random-14,random,rv2_coarse,1,0.45,2513,675677,692401377.1865052,3417953893.177667,2725552515.991162,4.596722886559035,4.291878230811008e-06
Random-14,random,rv2_coarse,2,0.7,2526,691067,6618113.332145685,238602048.07000786,231983934.73786217,12.986870021123002,0.0
Random-14,random,rv2_coarse,3,0.9,2523,691568,1070926.9473097504,9755085.856113678,8684158.908803927,3.1461938864287102,0.0016541031236283477
Random-14,random,rv2_coarse,4,1.31,2525,692217,1552752.8810396038,2710694.280748249,1157941.3997086452,9.763903713380405,0.0
Random-14,random,rv2_coarse,5,2.2,2561,690725,1205283.8626269035,15613338.037202323,14408054.17457542,3.900019259245975,9.61850364133987e-05
Random-14,random,rv2_coarse,6,3.93,2541,689291,801859.1047077922,6854909.444965011,6053050.340257219,2.840114201830294,0.004509738578729161
Random-14,random,rv2_coarse,7,4.7,2539,679987,311686.7989673592,184663246.6662506,184351559.86728323,13.723297172666923,0.0
Random-14,random,rv2_coarse,8,6.55,2493,679314,26038652.028641135,304193247.7664867,278154595.73784554,9.685660441277145,0.0
Random-14,random,rv2_coarse,9,9.18,2254,616409,17756557.89012242,317370232.90861225,299613675.01848984,15.001137026959142,0.0
Random-15,random,rv2_coarse,1,0.45,2987,675203,230830384.58421913,3421909184.323416,3191078799.7391973,14.262098737675016,0.0
Random-15,random,rv2_coarse,2,0.7,2998,690595,4392096.428161743,238770265.35492074,234378168.926759,13.109518698665767,0.0
Random-15,random,rv2_coarse,3,0.9,2965,691126,1469782.1846964587,9758928.559844749,8289146.375148291,3.001175649434148,0.0026893938203726986
Random-15,random,rv2_coarse,4,1.31,2984,691758,1625515.248366287,2711148.7347601485,1085633.4863938615,9.140394951595813,0.0
Random-15,random,rv2_coarse,5,2.2,2985,690301,1327519.6814698493,15621659.249326851,14294139.567857001,3.8667855064715497,0.00011027934093976732
Random-15,random,rv2_coarse,6,3.93,2956,688876,686106.7952258119,6859052.686590551,6172945.891364739,2.893892481177627,0.003804984285072477
Random-15,random,rv2_coarse,7,4.7,2954,679572,293779.1714439108,184775904.03953356,184482124.86808965,13.724636450768244,0.0
