target,kind,data_col,frequency_band,frequency_mhz,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Fornax-A,fixed,rv2_coarse,1,0.45,147455,530735,4333913981.30236,3150565821.414709,-1183348159.8876505,-6.181511277145178,6.349083481183015e-10
Fornax-A,fixed,rv2_coarse,2,0.7,150786,542807,300860759.1790461,220227684.0097888,-80633075.16925728,-1.702545219121966,0.08865320926710729
Fornax-A,fixed,rv2_coarse,3,0.9,150870,543221,3101466.23103044,11562676.983683113,8461210.752652673,2.393089350655936,0.016707171889904338
Fornax-A,fixed,rv2_coarse,4,1.31,151094,543648,1885616.456669413,2934626.874480045,1049010.417810632,6.775299682481991,1.241495795056835e-11
Fornax-A,fixed,rv2_coarse,5,2.2,150820,542466,24195692.565845124,13159193.93093392,-11036498.634911204,-0.9274274809706814,0.353704627863078
Fornax-A,fixed,rv2_coarse,6,3.93,150435,541397,2828544.6728002722,7945283.761014065,5116739.088213792,1.880017764374033,0.060105656907234906
Fornax-A,fixed,rv2_coarse,7,4.7,148717,533809,90638126.0744864,209981413.36734098,119343287.29285458,4.492269550248609,7.0468153536840106e-06
Fornax-A,fixed,rv2_coarse,8,6.55,148276,533531,250196945.15999597,317899885.91517055,67702940.75517458,2.0129117947780863,0.044123909517033155
Fornax-A,fixed,rv2_coarse,9,9.18,134487,484176,252073214.11142758,334112638.4460311,82039424.33460352,2.754069803817546,0.005885921304466191
Cygnus-A,fixed,rv2_coarse,1,0.45,3309,674881,209695151.7397061,3423535343.392939,3213840191.653233,15.717318842200962,0.0
Cygnus-A,fixed,rv2_coarse,2,0.7,3337,690256,6672538.15361969,238874349.00682428,232201810.8532046,12.981142545172007,0.0
Cygnus-A,fixed,rv2_coarse,3,0.9,3292,690799,2896329.1159629403,9756054.146834515,6859725.030871575,2.479659412405698,0.013150793074461653
Cygnus-A,fixed,rv2_coarse,4,1.31,3312,691430,2508265.269191576,2707435.2998709534,199170.03067937726,1.3445893476896447,0.178757885246692
Cygnus-A,fixed,rv2_coarse,5,2.2,3297,689989,2075633.0260274492,15624548.05168191,13548915.025654461,3.6633062793608797,0.0002489805320091687
Cygnus-A,fixed,rv2_coarse,6,3.93,3245,688587,1087155.9786209553,6859753.508363962,5772597.529743006,2.704007032051049,0.006850883931962315
Cygnus-A,fixed,rv2_coarse,7,4.7,3212,679314,402163.28635050205,184845456.93913355,184443293.65278307,13.716531462247861,0.0
Cygnus-A,fixed,rv2_coarse,8,6.55,3225,678582,4169138.0060065407,304597234.825977,300428096.8199705,18.999950358119175,0.0
Cygnus-A,fixed,rv2_coarse,9,9.18,2868,615795,242022830.4808324,316624476.8155475,74601646.33471513,0.33078318431786363,0.7408082635147013
Sag-A,fixed,rv2_coarse,1,0.45,134535,543655,2687767511.6562915,3586050041.2224593,898282529.5661678,5.087296388724554,3.632039866641179e-07
Sag-A,fixed,rv2_coarse,2,0.7,137803,555790,156601177.6021237,257879067.32896894,101277889.72684523,2.6760543572327418,0.0074494561995419595
Sag-A,fixed,rv2_coarse,3,0.9,138138,555953,3430215.0889310814,11287220.524170434,7857005.435239352,2.287838303594181,0.022146939301880053
Sag-A,fixed,rv2_coarse,4,1.31,138329,556413,2570119.466533209,2740387.640610955,170268.174077746,1.1245657210389204,0.2607731063688643
Sag-A,fixed,rv2_coarse,5,2.2,137793,555493,2692303.083350116,18752043.91226298,16059740.828912864,3.495999082062807,0.00047229032462325904
Sag-A,fixed,rv2_coarse,6,3.93,137163,554669,11550309.98117235,5666063.440118156,-5884246.541054193,-0.8697718594468186,0.3844250928513706
Sag-A,fixed,rv2_coarse,7,4.7,135461,547065,605028602.0378367,79719263.74924178,-525309338.2885949,-9.261861672055977,0.0
Sag-A,fixed,rv2_coarse,8,6.55,134979,546828,472553501.4121919,261367097.52542704,-211186403.88676488,-4.560391538459159,5.105832933116616e-06
Sag-A,fixed,rv2_coarse,9,9.18,122294,496369,516008508.32103777,267069753.87632227,-248938754.4447155,-5.759399876023936,8.441351173615885e-09
Mercury,planet,rv2_coarse,1,0.45,38388,639802,2919664147.7083387,3437145820.1744413,517481672.4661026,1.9377133551562904,0.0526582036584895
Mercury,planet,rv2_coarse,2,0.7,39144,654449,179104817.7953398,241265308.55741596,62160490.76207617,0.9435343386186611,0.34540765980945
Mercury,planet,rv2_coarse,3,0.9,39425,654666,1830015.4967628408,10198878.211284855,8368862.714522014,2.8699819181303856,0.0041049527230985206
Mercury,planet,rv2_coarse,4,1.31,39359,655383,1977344.8866968164,2750274.3381592683,772929.4514624518,6.141578586068759,8.17053757984354e-10
Mercury,planet,rv2_coarse,5,2.2,39432,653854,1144070.725647951,16429503.606103215,15285432.880455265,3.9166813156289906,8.977629998674352e-05
Mercury,planet,rv2_coarse,6,3.93,39075,652757,20845299.096161228,5993861.188822089,-14851437.907339139,-0.8290742251259634,0.4070624076271565
Mercury,planet,rv2_coarse,7,4.7,38798,643728,1011572175.8363402,134097664.23944272,-877474511.5968975,-6.919364581505653,4.53681536782824e-12
Mercury,planet,rv2_coarse,8,6.55,38470,643337,918414700.8504783,266386408.26041806,-652028292.5900602,-5.732823185622257,9.877258566604041e-09
Mercury,planet,rv2_coarse,9,9.18,34924,583739,1133854985.8603714,267364592.14179888,-866490393.7185725,-8.06519564318816,6.661338147750939e-16
Venus,planet,rv2_coarse,1,0.45,47313,630877,3091194648.749923,3431602586.439465,340407937.6895418,1.2796982940646116,0.2006512648254657
Venus,planet,rv2_coarse,2,0.7,48121,645472,188088641.52698585,241460056.18981618,53371414.66283032,0.9205761309034919,0.35727176879537526
Venus,planet,rv2_coarse,3,0.9,48397,645694,2174578.7117951526,10289338.414348185,8114759.702553032,2.743111641254936,0.006085999018238919
Venus,planet,rv2_coarse,4,1.31,48295,646447,2157956.4154687338,2747465.5445477716,589509.1290790378,4.132003754985959,3.596145447692933e-05
Venus,planet,rv2_coarse,5,2.2,48369,644917,1443296.197109719,16618880.96291579,15175584.76580607,3.8348702049113523,0.00012563061881309956
Venus,planet,rv2_coarse,6,3.93,48063,643769,28570864.561695553,5209731.202940289,-23361133.358755264,-1.2679069638777019,0.2048311769215856
Venus,planet,rv2_coarse,7,4.7,47664,634862,994931135.1707555,123092893.97829363,-871838241.1924618,-7.436804029832343,1.0325074129013956e-13
Venus,planet,rv2_coarse,8,6.55,47176,634631,856719861.694647,262027902.95060253,-594691958.7440444,-5.8592793995595045,4.6487997895638955e-09
Venus,planet,rv2_coarse,9,9.18,42808,575855,973040574.3393954,267456165.6530347,-705584408.6863607,-7.489750531529285,6.905587213168474e-14
Mars,planet,rv2_coarse,1,0.45,42237,635953,1818572955.572515,3513407077.908209,1694834122.3356938,7.498800372103241,6.439293542825908e-14
Mars,planet,rv2_coarse,2,0.7,43226,650367,39864552.40166882,250909922.8062903,211045370.40462148,5.507661302080815,3.636321710409618e-08
Mars,planet,rv2_coarse,3,0.9,43244,650847,1984055.1259871311,10237749.707935505,8253694.5819483735,2.8141947809865826,0.004889958917935866
Mars,planet,rv2_coarse,4,1.31,43308,651434,2190905.885741376,2740762.0908052824,549856.2050639065,4.365276257020449,1.269621989452574e-05
Mars,planet,rv2_coarse,5,2.2,43183,650103,1239315.3819341522,16511371.723527962,15272056.34159381,3.89080434957602,9.991247130769487e-05
Mars,planet,rv2_coarse,6,3.93,43105,648727,20485201.27337606,5925528.47241685,-14559672.800959209,-0.8953856021951061,0.37058099450220716
Mars,planet,rv2_coarse,7,4.7,42562,639964,1438236562.3635783,100560615.77886839,-1337675946.58471,-8.525725475009557,0.0
Mars,planet,rv2_coarse,8,6.55,42472,639335,991010092.2174057,257482330.2902123,-733527761.9271934,-6.551774241498363,5.685740767091829e-11
Mars,planet,rv2_coarse,9,9.18,38292,580371,1294341449.27396,251747534.59916276,-1042593914.6747973,-8.76282264940187,0.0
Jupiter,planet,rv2_coarse,1,0.45,670,677520,2680495349.6844215,3408573777.0946794,728078427.4102578,0.3287969314031577,0.742309182633059
Jupiter,planet,rv2_coarse,2,0.7,687,692906,7739549.366812227,237985241.630839,230245692.26402676,12.918364725606942,0.0
Jupiter,planet,rv2_coarse,3,0.9,675,693416,1617063.2156481482,9731410.360243093,8114347.144594945,2.946270116775721,0.003216313937964843
Jupiter,planet,rv2_coarse,4,1.31,674,694068,1599563.8059161722,2707560.72597519,1107996.9200590176,9.248006258062402,0.0
Jupiter,planet,rv2_coarse,5,2.2,683,692603,1558916.043374817,15573921.724366104,14015005.680991288,3.8034836300068577,0.00014267542587020898
Jupiter,planet,rv2_coarse,6,3.93,659,691173,1217819.0036039455,6838030.952440366,5620211.948836421,2.641972132479417,0.00824248374525638
Jupiter,planet,rv2_coarse,7,4.7,660,681866,348902.67547348485,184155197.95364562,183806295.27817214,13.720509279019238,0.0
Jupiter,planet,rv2_coarse,8,6.55,635,681172,5150517.802048475,303454011.16597015,298303493.36392164,18.86297431178951,0.0
Jupiter,planet,rv2_coarse,9,9.18,634,618029,186571873.75880447,316411696.8790882,129839823.12028375,0.9903027199422526,0.3220261775276976
Saturn,planet,rv2_coarse,1,0.45,119289,558901,2709361511.845953,3556937296.506685,847575784.6607318,4.756552714627683,1.969268330848095e-06
Saturn,planet,rv2_coarse,2,0.7,121399,572194,122238420.23261139,262266114.1676675,140027693.93505612,4.140276524459112,3.4688740556454434e-05
Saturn,planet,rv2_coarse,3,0.9,121476,572615,5470349.226251482,10625797.475477872,5155448.24922639,1.5142355874375,0.12996609873633558
