target,kind,data_col,n_blocked,n_visible,mean_blocked,mean_visible,diff_visible_minus_blocked,z_score,p_value
Fornax-A,fixed,rv2_coarse,1332940,4795790,580467694.9768862,470087696.4853772,-110379998.49150896,-4.875158657499235,1.0872103872738847e-06
Cygnus-A,fixed,rv2_coarse,29097,6099633,49943962.83287702,496213012.12442636,446269049.2915493,13.82859298649188,0.0
Sag-A,fixed,rv2_coarse,1216495,4912235,488954626.2800206,495367103.8078561,6412477.527835488,0.2906303974358131,0.7713340093058603
Random-00,random,rv2_coarse,1192914,4935816,342350187.7832932,530768600.64491445,188418412.86162126,9.853333014117124,0.0
Random-01,random,rv2_coarse,1183716,4945014,428647494.91757923,509760656.93165714,81113162.0140779,3.8207722040781564,0.00013303448556478692
Random-02,random,rv2_coarse,1233004,4895726,541145173.8563641,482244373.83229905,-58900800.02406508,-2.4900524662746992,0.012772423896264096
Random-03,random,rv2_coarse,762727,5366003,511309040.81550187,491647371.8885385,-19661668.92696339,-0.7020164152467379,0.48266892641835124
Random-04,random,rv2_coarse,1070389,5058341,431004117.11457425,507444717.02400976,76440599.90943551,3.4876171663522353,0.00048734534019678755
Random-05,random,rv2_coarse,118694,6010036,467340321.2215116,494622659.6950554,27282338.473543823,0.43203345772046864,0.6657170962569543
Random-06,random,rv2_coarse,1321119,4807611,515675786.25554615,488163747.90055954,-27512038.354986608,-1.2675209471541125,0.20496907846934342
Random-07,random,rv2_coarse,1185669,4943061,388148315.09510684,519507054.16332054,131358739.0682137,6.616994402457345,3.6657565871678344e-11
Random-08,random,rv2_coarse,1254808,4873922,536160612.709183,483264167.3702847,-52896445.3388983,-2.395426248924099,0.016601053609920813
Random-09,random,rv2_coarse,1186042,4942688,561469861.2667301,477926918.72794366,-83542942.53878641,-3.3979533520232326,0.0006789199553591807
Random-10,random,rv2_coarse,1193398,4935332,338690836.8080131,531671935.3439825,192981098.53596944,10.234632555825906,0.0
Random-11,random,rv2_coarse,23613,6105117,60334367.79302731,495771957.82544404,435437590.0324167,11.094210535641825,0.0
Random-12,random,rv2_coarse,1103543,5025187,453950171.3003301,502910030.88697344,48959859.58664334,2.192035602691908,0.028376935982566964
Random-13,random,rv2_coarse,876023,5252707,598421451.0704981,476695069.5020619,-121726381.5684362,-4.533994701799331,5.7878481334316945e-06
Random-14,random,rv2_coarse,22475,6106255,83390341.91728327,495605945.9252042,412215604.007921,6.202339610150045,5.562987848151124e-10
Random-15,random,rv2_coarse,26314,6102416,54537960.7942543,495989682.0160669,441451721.2218126,12.456910158918113,0.0
Random-16,random,rv2_coarse,1207110,4921620,505652525.6053337,491259435.5286762,-14393090.076657474,-0.6597680532918082,0.5094026873411228
Random-17,random,rv2_coarse,357453,5771277,358846043.1484405,502471097.5765948,143625054.42815435,4.47594494348219,7.6074088535271756e-06
Random-18,random,rv2_coarse,1234950,4893780,503940774.54210645,491609517.33615416,-12331257.205952287,-0.5736416669574445,0.5662103096643123
Random-19,random,rv2_coarse,1243666,4885064,369815283.0026983,525733908.4030964,155918625.40039808,8.140171908133082,4.440892098500626e-16
Random-20,random,rv2_coarse,1321618,4807112,632754185.3693867,455972559.4724193,-176781625.89696735,-7.279447381120534,3.352873534367973e-13
Random-21,random,rv2_coarse,1176520,4952210,618284008.5385587,464589947.0225037,-153694061.51605505,-6.038173716816349,1.5586820723001438e-09
Random-22,random,rv2_coarse,1017491,5111239,389609218.8478105,514894061.80681807,125284842.95900756,5.815098264038232,6.0598277507040166e-09
Random-23,random,rv2_coarse,6352,6122378,221090657.93224698,494377530.3339507,273286872.4017037,1.9174209603919417,0.05518447348327116
Random-24,random,rv2_coarse,964346,5164384,345226655.6531024,521892357.1131913,176665701.4600889,8.542022232858853,0.0
Random-25,random,rv2_coarse,351924,5776806,585396258.2360778,488532156.0887841,-96864102.14729369,-2.425542522905668,0.015285524925644944
Random-26,random,rv2_coarse,1078956,5049774,328836375.55972457,529403989.7313582,200567614.1716336,10.391638301743022,0.0
Random-27,random,rv2_coarse,1255787,4872943,588330488.3531326,469809046.46177524,-118521441.89135736,-5.073875603286685,3.8979392913418565e-07
