Receiver,Date,Channel_Freq,Time_Offset_Min,Actual_Time,Log_Cal_Temp
RAE-B BURST RECEIVER 1,1975/5/3,0.130,0.4498,1975-05-03 02:00:26,7.2853
RAE-B BURST RECEIVER 1,1975/5/3,0.130,0.5739,1975-05-03 02:00:34,7.1147
RAE-B BURST RECEIVER 1,1975/5/3,0.130,0.698,1975-05-03 02:00:41,7.2213
RAE-B BURST RECEIVER 1,1975/5/3,0.130,0.8221,1975-05-03 02:00:49,7.3493
RAE-B BURST RECEIVER 1,1975/5/3,0.130,0.9617,1975-05-03 02:00:57,7.3493
RAE-B BURST RECEIVER 1,1975/5/3,0.130,1.0858,1975-05-03 02:01:05,7.264
RAE-B BURST RECEIVER 1,1975/5/3,0.130,1.241,1975-05-03 02:01:14,6.9653
RAE-B BURST RECEIVER 1,1975/5/3,0.130,1.3806,1975-05-03 02:01:22,4.0853
RAE-B BURST RECEIVER 1,1975/5/3,0.130,1.5047,1975-05-03 02:01:30,4.0427
RAE-B BURST RECEIVER 1,1975/5/3,0.130,1.6287,1975-05-03 02:01:37,6.4747
RAE-B BURST RECEIVER 1,1975/5/3,0.130,1.7839,1975-05-03 02:01:47,6.1547
RAE-B BURST RECEIVER 1,1975/5/3,0.130,1.908,1975-05-03 02:01:54,6.0693
RAE-B BURST RECEIVER 1,1975/5/3,0.130,2.0321,1975-05-03 02:02:01,5.92
RAE-B BURST RECEIVER 1,1975/5/3,0.130,2.1562,1975-05-03 02:02:09,6.0053
RAE-B BURST RECEIVER 1,1975/5/3,0.130,2.4199,1975-05-03 02:02:25,6.0053
RAE-B BURST RECEIVER 1,1975/5/3,0.130,2.544,1975-05-03 02:02:32,6.0267
RAE-B BURST RECEIVER 1,1975/5/3,0.130,2.668,1975-05-03 02:02:40,6.112
RAE-B BURST RECEIVER 1,1975/5/3,0.130,2.7921,1975-05-03 02:02:47,6.1333
RAE-B BURST RECEIVER 1,1975/5/3,0.130,2.9317,1975-05-03 02:02:55,6.1333
RAE-B BURST RECEIVER 1,1975/5/3,0.130,3.0558,1975-05-03 02:03:03,6.1333
RAE-B BURST RECEIVER 1,1975/5/3,0.130,3.1799,1975-05-03 02:03:10,6.1547
RAE-B BURST RECEIVER 1,1975/5/3,0.130,3.3506,1975-05-03 02:03:21,5.984
RAE-B BURST RECEIVER 1,1975/5/3,0.130,3.4747,1975-05-03 02:03:28,5.984
RAE-B BURST RECEIVER 1,1975/5/3,0.130,3.5988,1975-05-03 02:03:35,5.984
RAE-B BURST RECEIVER 1,1975/5/3,0.130,3.7229,1975-05-03 02:03:43,6.0053
RAE-B BURST RECEIVER 1,1975/5/3,0.130,3.8625,1975-05-03 02:03:51,6.0053
RAE-B BURST RECEIVER 1,1975/5/3,0.130,3.9866,1975-05-03 02:03:59,6.1547
RAE-B BURST RECEIVER 1,1975/5/3,0.130,4.1417,1975-05-03 02:04:08,6.0053
RAE-B BURST RECEIVER 1,1975/5/3,0.130,4.2658,1975-05-03 02:04:15,6.0267
RAE-B BURST RECEIVER 1,1975/5/3,0.130,4.4209,1975-05-03 02:04:25,6.8373
RAE-B BURST RECEIVER 1,1975/5/3,0.130,4.545,1975-05-03 02:04:32,6.0053
RAE-B BURST RECEIVER 1,1975/5/3,0.130,4.6691,1975-05-03 02:04:40,5.9413
RAE-B BURST RECEIVER 1,1975/5/3,0.130,5.3206,1975-05-03 02:05:19,5.9413
RAE-B BURST RECEIVER 1,1975/5/3,0.130,5.6929,1975-05-03 02:05:41,6.6027
RAE-B BURST RECEIVER 1,1975/5/3,0.130,7.2906,1975-05-03 02:07:17,5.8987
RAE-B BURST RECEIVER 1,1975/5/3,0.130,7.4147,1975-05-03 02:07:24,5.8773
RAE-B BURST RECEIVER 1,1975/5/3,0.130,7.7094,1975-05-03 02:07:42,6.112
